AnimID	Name	AinmName	Layer	WrapMode	PlayMode	QueueMode	SPEED	TransitTime	LoopTime	LoopOverAnimId	IsCanBreak	StartEffect01	IsStartEffectAutoEnd01	StartEffect02	IsStartEffectAutoEnd02	StartEffect03	IsStartEffectAutoEnd03	StartEffect04	IsStartEffectAutoEnd04	StartEffect05	IsStartEffectAutoEnd05	EndEffect	IsCallEnd	NextAnimId	SoundID	SoundBreakKeep	DelayFrameSpeed	DelayFrameTime	DelaySpeedTime
INT	STRING	STRING	BYTE	BYTE	BYTE	BYTE	FLOAT	FLOAT	INT	int	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	SHORT	SHORT	FLOAT	FLOAT	FLOAT
#预留																													
#本行程序不读 动画ID	描述	动画名称	优先级	播放模式1(1一次 2循环)	播放模式2	播放模式3	速度	过渡时间	循环次数	循环结束动作	是否能被打断	起始特效01ID	起始特效01是否自动结束	起始特效02ID	起始特效02是否自动结束	起始特效03ID	起始特效03是否自动结束	起始特效04ID	起始特效04是否自动结束	起始特效05ID	起始特效05是否自动结束	结束特效ID	结束后是否回调	结束后的下一动作	动作音效	动作在被打断时是否保持音效	顿帧速度	顿帧开始时间	持续时间
0	站立	Stand	1	2	4	0	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
1	跑动	Run	1	2	4	0	1	0.3	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
2	少林普攻1	Attack_01	2	1	4	2	1	0.1	-1	-1	0	1	0	-1	0	-1	0	-1	0	-1	0	-1	1	3	57	1	0	0	0
3	少林普攻2	Attack_02	2	1	4	2	1	0.1	-1	-1	0	2	1	-1	0	-1	0	-1	0	-1	0	-1	1	4	58	1	0	0	0
4	少林普攻3	Attack_03	2	1	4	2	1	0.1	-1	-1	0	3	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	59	1	0	0	0
5	少林罗汉棍	Skill_Luohangun	2	1	4	2	1	0.2	-1	-1	0	4	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	70	1	0	0	0
6	少林摩诃无量	Skill_Mohewuliang	2	2	4	2	1	0.2	13	-1	0	5	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	67	1	0	0	0
7	少林XP起手	Skill_Xp_Loop	2	2	4	2	1	0.2	2	8	0	6	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	76	1	0	0	0
8	少林XP结束	Skill_Xp_End	2	1	4	2	1	0.2	-1	-1	0	7	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	80	1	0	0	0
9	怪物普攻	Attack	2	1	4	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	241	1	0	0	0
10	受击	Hit	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
11	击倒	Knockback_01	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
12	击飞飞出	Knockback_02	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	250	-1	1	0	0	0
13	死亡	Die	2	1	4	2	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	53	-1	1	0	0	0
14	主角受击	Hit	2	1	4	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
15	骑摩托站立女	Bike_Stand	1	2	4	0	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
16	骑摩托跑动女	Bike_Run	1	2	4	0	1	0.1	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
17	逍遥普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	12	1	57	1	-1	0	-1	0	-1	0	-1	1	18	63	1	0	0	0
18	逍遥普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	13	1	58	1	-1	0	-1	0	-1	0	-1	1	19	64	1	0	0	0
19	逍遥普攻3	Attack_03	2	1	4	0	1	0.2	-1	-1	0	14	1	59	1	-1	0	-1	0	-1	0	-1	1	-1	65	1	0	0	0
20	北冥神功起始(废弃)	Skill_Beimingshengong_Start	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	22	71	1	0	0	0
21	北冥神功循环(废弃)	Skill_Beimingshengong_Loop	2	2	4	0	1	0.1	1	22	0	19	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
22	北冥神功终止(废弃)	Skill_Beimingshengong_End	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
23	小无相功	Skill_Xiaowuxiang	2	1	4	0	1	0.2	-1	-1	0	17	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	82	1	0	0	0
24	毁天灭地起始	Skill_Xp_Huitianmiedi_Start	2	1	4	0	1	0.2	-1	-1	0	15	1	-1	0	-1	0	-1	0	-1	0	-1	1	26	77	1	0	0	0
25	毁天灭地循环（废弃）	Skill_Xp_Huitianmiedi_Loop	2	2	4	0	1	0.1	1	26	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
26	毁天灭地终止	Skill_Xp_Huitianmiedi_End	2	1	4	0	1	0.1	-1	-1	0	16	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	81	1	0	0	0
27	祝融掌起始	Skill_Zhurongzhang_Start	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	28	-1	1	0	0	0
28	祝融掌循环	Skill_Zhurongzhang_Loop	2	2	4	0	1	0.1	3	29	0	21	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	68	1	0	0	0
29	祝融掌停止	Skill_Zhurongzhang_End	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
30	寒冰掌	Skill_Hanbingjing	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
31	天山普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	22	1	-1	0	-1	0	-1	0	-1	0	-1	1	32	60	1	0	0	0
32	天山普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	23	1	-1	0	-1	0	-1	0	-1	0	-1	1	33	61	1	0	0	0
33	天山普攻3	Attack_03	2	1	4	0	1	0.1	-1	-1	0	24	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	62	1	0	0	0
