AnimCurveId	Desc	KeyframesIndex	Time	Value	inTangent	outTangent	tangentMode	preWrapMode	postWrapMode
INT	STRING	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT
#预留									
#本行程序不读 动画曲线ID	描述	曲线节点索引	时间	值	切入正切角度	切出正切角度	正切模式	开始WrapMode（0Default 1Clamp 1Once 2Loop 4PingPong 8ClampForever）	结束WrapMode（0Default 1Clamp 1Once 2Loop 4PingPong 8ClampForever）
1	通用震屏1X位置偏移曲线	0	0	0	-9.604455	4.104153	21	2	2
		1	0.04245973	0.1742612	4.104153	-5.341796	21	2	2
		2	0.06412875	0.05850975	-5.341796	1.773715	21	2	2
		3	0.08494782	0.09543685	1.773715	-6.325942	21	2	2
		4	0.1000127	0.000137484	-6.325942	-0.282	21	2	2
2	通用震屏1Y位置偏移曲线	0	0	0.000151753	0	-53.38905	21	8	2
		1	0.06175072	-3.29834	-53.38905	89.90163	21	8	2
		2	0.09738848	-0.09444623	89.90163	2.097638	21	8	2
		3	0.09899081	-0.09108514	2.097638	-59.89166	21	8	2
		4	0.126171	-1.71895	-59.89166	88.85738	21	8	2
		5	0.1438084	-0.1517301	88.85738	8.414585	21	8	2
		6	0.1618375	-0.000290221	8.414585	0	5	8	2
3	通用震屏2X位置偏移曲线	0	0	0	-9.604455	4.104153	21	2	2
		1	0.04245973	0.1742612	4.104153	-5.341796	21	2	2
		2	0.06412875	0.05850975	-5.341796	1.773715	21	2	2
		3	0.08494782	0.09543685	1.773715	-6.325942	21	2	2
		4	0.1000127	0.000137484	-6.325942	-0.282	21	2	2
4	通用震屏2Y位置偏移曲线	0	0	0	0	119.0407	21	2	2
		1	0.00958025	1.140473	119.0407	-41.17299	21	2	2
		2	0.03205492	0.215124	-41.17299	43.93069	21	2	2
		3	0.05421348	1.188565	43.93069	-46.6273	21	2	2
		4	0.07458179	0.2388457	-46.6273	22.15868	21	2	2
		5	0.09450423	0.6803005	22.15868	-123.839	21	2	2
		6	0.1	-0.000290221	-123.839	-40.838	21	2	2
5	通用震屏3X位置偏移曲线	0	0	0	-9.604455	4.104153	21	2	2
		1	0.04245973	0.1742612	4.104153	-5.341796	21	2	2
		2	0.06412875	0.05850975	-5.341796	1.773715	21	2	2
		3	0.08494782	0.09543685	1.773715	-6.325942	21	2	2
		4	0.1000127	0.000137484	-6.325942	-0.282	21	2	2
6	通用震屏3Y位置偏移曲线	0	0	0	0	119.0407	21	2	2
		1	0.00958025	1.140473	119.0407	-41.17299	21	2	2
		2	0.03205492	0.215124	-41.17299	43.93069	21	2	2
		3	0.05421348	1.188565	43.93069	-46.6273	21	2	2
		4	0.07458179	0.2388457	-46.6273	22.15868	21	2	2
		5	0.09450423	0.6803005	22.15868	-123.839	21	2	2
		6	0.1	-0.000290221	-123.839	-40.838	21	2	2
7	通用震屏4 Y位置偏移	0	0	0	-41.53132	-41.53132	10	8	4
		1	0.004261803	-0.1769983	61.30903	61.30903	10	8	4
		2	0.009102073	0.617529	12.70842	12.70842	10	8	4
