Id	Description	DstSceneID	X	Z	TargetName	TargetJob	Color	Type
INT	STRING	INT	FLOAT	FLOAT	STRING	STRING	STRING	INT
#预留								
#本行程序不读 自动寻路ID，目前作为场景ID索引	描述（程序不读）	目标场景ID	坐标X	坐标Z	目标名称	功能	"颜色(显示的颜色，采用RGB表示,三种颜色各占两个16进制位FF)"	"类型(1传送,2任务,3怪物,4仓库)"
5	异次元之门	5	12	5	异次元之门	传送	69faff	1
	贝因	5	64.47	9.28	贝因	任务	FFFF69	2
	卡娜	5	79.1	22.6	卡娜	任务	FFFF69	2
	杰西卡	5	82.81	58.83	杰西卡	任务	FFFF69	2
	弗里德	5	71.17	37.69	弗里德	任务	FFFF69	2
	莉莉丝	5	77.52	84.11	莉莉丝	任务	FFFF69	2
	斯卡伊德	5	13.63	44.79	斯卡伊德	任务	FFFF69	2
	派特太太	5	45.2	86	派特太太	任务	FFFF69	3
	猿猴	5	75.8	72.9	顶角豹	怪物	E60012	3
	丛林野猪	5	15.9	62.4	丛林野猪	怪物	E60012	3
	顶角豹	5	13.73	28.42	雨林兽人	怪物	E60012	3
27	黄昏之湖	27	24	75	黄昏之湖	传送	69faff	1
	勒克斯港	27	57	78	勒克斯港	传送	69faff	1
	皮亚索拉	27	67.72	81.55	皮亚索拉	任务	FFFF69	2
	莉莉丝	27	66.34	19.91	莉莉丝	任务	FFFF69	2
	弗里德	27	80.95	48.72	弗里德	任务	FFFF69	2
	琳	27	53.31	33.86	琳	任务	FFFF69	2
	石锤兽	27	84.24	24.36	石锤兽	怪物	E60012	3
	狗头人	27	29.75	22.69	狗头人	怪物	E60012	3
36	黄昏湖畔	36	83	19	黄昏湖畔	传送	69faff	1
	黄昏要塞	36	13	62	黄昏要塞	传送	69faff	1
	佩特伦	36	70.35	25.1	佩特伦	任务	FFFF69	2
	土著祭祀	36	54.76	17.93	土著祭祀	任务	FFFF69	2
	莉莉丝	36	18.47	14.82	莉莉丝	任务	FFFF69	2
	琳	36	24.81	57.35	琳	任务	FFFF69	2
	银木	36	13.33	83.75	银木	任务	FFFF69	2
	鸟兽	36	46.73	23.81	鸟兽	怪物	E60012	3
	酒翁土人	36	15.16	33.3	酒翁土人	怪物	E60012	3
	半兽人	36	33.95	70.54	半兽人	怪物	E60012	3
12	黄昏之湖	12	30	11	黄昏之湖	传送	69faff	1
	异次元之门	12	81	20	异次元之门	传送	69faff	1
	佩特伦	12	8.03	9.91	佩特伦	任务	FFFF69	2
	土著祭祀	12	29.83	29.33	土著祭祀	任务	FFFF69	2
	佛里德	12	13.18	45.7	佛里德	任务	FFFF69	2
	琳	12	44.12	71.63	琳	任务	FFFF69	2
	皮亚索拉	12	85.16	78.63	皮亚索拉	任务	FFFF69	2
	阿尔得巴兰	12	54.78873	35.49168	阿尔得巴兰	任务	FFFF69	2
	莉莉丝	12	67.5	68.13	莉莉丝	任务	FFFF69	2
	僵尸囚犯	12	18.05	66.43	僵尸囚犯	怪物	E60012	3
	残暴食人魔	12	42.93	84.78	残暴食人魔	怪物	E60012	3
	双斧巨魔	12	63.18	23.68	双斧巨魔	怪物	E60012	3
	改装型X02	12	67.08	55.97	改装型X02	怪物	E60012	3
	机械蜘蛛	12	91.38	25.66	机械蜘蛛	怪物	E60012	3
23	异次元之门	23	72	89	异次元之门	传送	69faff	1
	瑟克萨斯	23	6.84	13.35	瑟克萨斯	任务	FFFF69	2
	梅里娅	23	61.46	88.3	梅里娅	任务	FFFF69	2
	贝蕾格莉	23	7.88	71.87	贝蕾格莉	任务	FFFF69	2
	贝因	23	48.85	10.28	贝因	任务	FFFF69	2
	特斯基	23	85.7	8.2	特斯基	任务	FFFF69	2
