Id	Desc	BelleCount	BelleID	AdditionValue_1	AdditionValue_2	AdditionValue_3	AdditionValue_4	AdditionValue_5
INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=500;TableType=Hash;								
#本行程序不读	描述	美人总数	加成美人ID	1阶加成值	2阶加成值	3阶加成值	4阶加成值	5阶加成值
0		2	0	12	7	7	7	10
1		2	1	17	7	7	7	10
2		2	2	15	8	8	9	13
3		2	3	15	8	8	9	13
4		2	4	21	8	8	9	13
5		2	5	131	8	8	9	13
6		2	6	105	7	7	7	10
7		2	7	21	8	8	9	13
8		2	8	131	8	8	9	13
9		2	9	9	5	5	5	8
10		2	10	7	4	4	4	6
11		2	11	13	5	5	5	8
12		2	12	10	4	4	4	6
13		2	13	78	5	5	5	8
14		2	14	65	4	4	4	6
15		2	15	19	7	7	8	12
16		2	16	13	7	7	8	12
17		2	17	118	7	7	8	12
18		2	18	118	7	7	8	12
19		3	0	24	14	14	15	21
20		3	1	35	14	14	15	21
21		3	2	30	17	17	19	27
22		3	3	30	17	17	19	27
23		3	4	43	17	17	19	27
24		3	5	262	17	17	19	27
25		3	6	210	14	14	15	21
26		3	7	43	17	17	19	27
27		3	8	262	17	17	19	27
28		3	9	18	10	10	11	16
29		3	10	15	8	8	9	13
30		3	11	26	10	10	11	16
31		3	12	21	8	8	9	13
32		3	13	157	10	10	11	16
33		3	14	131	8	8	9	13
34		3	15	39	15	15	17	24
35		3	16	27	15	15	17	24
36		3	17	236	15	15	17	24
37		3	18	236	15	15	17	24
38		4	0	36	21	21	22	32
39		4	1	52	21	21	22	32
40		4	2	46	26	26	28	41
41		4	3	46	26	26	28	41
42		4	4	65	26	26	28	41
43		4	5	394	26	26	28	41
44		4	6	315	21	21	22	32
45		4	7	65	26	26	28	41
46		4	8	394	26	26	28	41
47		4	9	27	15	15	17	24
48		4	10	22	13	13	14	20
49		4	11	39	15	15	17	24
50		4	12	32	13	13	14	20
51		4	13	236	15	15	17	24
52		4	14	197	13	13	14	20
53		4	15	59	23	23	25	36
54		4	16	41	23	23	25	36
55		4	17	354	23	23	25	36
56		4	18	354	23	23	25	36
57		5	0	49	28	28	30	43
58		5	1	70	28	28	30	43
59		5	2	61	35	35	38	54
60		5	3	61	35	35	38	54
61		5	4	87	35	35	38	54
62		5	5	525	35	35	38	54
63		5	6	420	28	28	30	43
64		5	7	87	35	35	38	54
65		5	8	525	35	35	38	54
66		5	9	36	21	21	23	32
67		5	10	30	17	17	19	27
68		5	11	52	21	21	23	32
69		5	12	43	17	17	19	27
70		5	13	315	21	21	23	32
71		5	14	262	17	17	19	27
72		5	15	78	31	31	34	49
73		5	16	55	31	31	34	49
74		5	17	473	31	31	34	49
75		5	18	473	31	31	34	49
76		6	0	61	35	35	38	54
77		6	1	87	35	35	38	54
78		6	2	76	43	43	48	68
79		6	3	76	43	43	48	68
80		6	4	109	43	43	48	68
81		6	5	657	43	43	48	68
82		6	6	525	35	35	38	54
83		6	7	109	43	43	48	68
84		6	8	657	43	43	48	68
85		6	9	46	26	26	28	41
86		6	10	38	22	22	24	34
87		6	11	65	26	26	28	41
88		6	12	54	22	22	24	34
89		6	13	394	26	26	28	41
90		6	14	328	22	22	24	34
91		6	15	98	39	39	43	61
92		6	16	69	39	39	43	61
93		6	17	591	39	39	43	61
94		6	18	591	39	39	43	61
95		7	0	73	42	42	45	65
96		7	1	105	42	42	45	65
97		7	2	92	52	52	57	82
98		7	3	92	52	52	57	82
99		7	4	131	52	52	57	82
100		7	5	788	52	52	57	82
101		7	6	630	42	42	45	65
102		7	7	131	52	52	57	82
103		7	8	788	52	52	57	82
104		7	9	55	31	31	34	49
105		7	10	45	26	26	28	41
106		7	11	78	31	31	34	49
107		7	12	65	26	26	28	41
108		7	13	473	31	31	34	49
109		7	14	394	26	26	28	41
110		7	15	118	47	47	51	73
111		7	16	82	47	47	51	73
112		7	17	709	47	47	51	73
113		7	18	709	47	47	51	73
114		8	0	85	49	49	53	76
115		8	1	122	49	49	53	76
116		8	2	107	61	61	67	95
117		8	3	107	61	61	67	95
118		8	4	153	61	61	67	95
119		8	5	919	61	61	67	95
120		8	6	736	49	49	53	76
121		8	7	153	61	61	67	95
122		8	8	919	61	61	67	95
123		8	9	64	36	36	40	57
124		8	10	53	30	30	33	47
125		8	11	92	36	36	40	57
126		8	12	76	30	30	33	47
127		8	13	551	36	36	40	57
128		8	14	459	30	30	33	47
129		8	15	137	55	55	60	86
130		8	16	96	55	55	60	86
131		8	17	827	55	55	60	86
132		8	18	827	55	55	60	86
133		9	0	98	56	56	61	87
134		9	1	140	56	56	61	87
135		9	2	122	70	70	76	109
136		9	3	122	70	70	76	109
137		9	4	175	70	70	76	109
138		9	5	1051	70	70	76	109
139		9	6	841	56	56	61	87
140		9	7	175	70	70	76	109
141		9	8	1051	70	70	76	109
142		9	9	73	42	42	46	65
143		9	10	61	35	35	38	54
144		9	11	105	42	42	46	65
145		9	12	87	35	35	38	54
146		9	13	630	42	42	46	65
147		9	14	525	35	35	38	54
148		9	15	157	63	63	68	98
149		9	16	110	63	63	68	98
150		9	17	946	63	63	68	98
151		9	18	946	63	63	68	98
152		10	0	110	63	63	68	98
153		10	1	157	63	63	68	98
154		10	2	138	78	78	86	123
155		10	3	138	78	78	86	123
156		10	4	197	78	78	86	123
157		10	5	1182	78	78	86	123
158		10	6	946	63	63	68	98
159		10	7	197	78	78	86	123
160		10	8	1182	78	78	86	123
161		10	9	82	47	47	51	73
162		10	10	68	39	39	43	61
163		10	11	118	47	47	51	73
164		10	12	98	39	39	43	61
165		10	13	709	47	47	51	73
166		10	14	591	39	39	43	61
167		10	15	177	71	71	77	110
168		10	16	124	71	71	77	110
169		10	17	1064	71	71	77	110
170		10	18	1064	71	71	77	110
171		11	0	122	70	70	76	109
172		11	1	175	70	70	76	109
173		11	2	153	87	87	96	137
174		11	3	153	87	87	96	137
175		11	4	219	87	87	96	137
176		11	5	1314	87	87	96	137
177		11	6	1051	70	70	76	109
178		11	7	219	87	87	96	137
179		11	8	1314	87	87	96	137
180		11	9	92	52	52	57	82
181		11	10	76	44	44	48	68
182		11	11	131	52	52	57	82
183		11	12	109	44	44	48	68
184		11	13	788	52	52	57	82
185		11	14	657	44	44	48	68
186		11	15	197	79	79	86	123
187		11	16	138	79	79	86	123
188		11	17	1182	79	79	86	123
189		11	18	1182	79	79	86	123
190		12	0	134	77	77	84	120
191		12	1	192	77	77	84	120
192		12	2	168	96	96	105	150
193		12	3	168	96	96	105	150
194		12	4	240	96	96	105	150
195		12	5	1445	96	96	105	150
196		12	6	1156	77	77	84	120
197		12	7	240	96	96	105	150
198		12	8	1445	96	96	105	150
199		12	9	101	57	57	63	90
200		12	10	84	48	48	52	75
201		12	11	144	57	57	63	90
202		12	12	120	48	48	52	75
203		12	13	867	57	57	63	90
204		12	14	722	48	48	52	75
205		12	15	216	86	86	94	135
206		12	16	151	86	86	94	135
207		12	17	1300	86	86	94	135
208		12	18	1300	86	86	94	135
209		13	0	147	84	84	91	131
210		13	1	210	84	84	91	131
211		13	2	184	105	105	115	164
212		13	3	184	105	105	115	164
213		13	4	262	105	105	115	164
214		13	5	1576	105	105	115	164
215		13	6	1261	84	84	91	131
216		13	7	262	105	105	115	164
217		13	8	1576	105	105	115	164
218		13	9	110	63	63	69	98
219		13	10	91	52	52	57	82
220		13	11	157	63	63	69	98
221		13	12	131	52	52	57	82
222		13	13	946	63	63	69	98
223		13	14	788	52	52	57	82
224		13	15	236	94	94	103	147
225		13	16	165	94	94	103	147
226		13	17	1419	94	94	103	147
227		13	18	1419	94	94	103	147
228		14	0	159	91	91	99	142
229		14	1	227	91	91	99	142
230		14	2	199	113	113	124	178
231		14	3	199	113	113	124	178
232		14	4	284	113	113	124	178
233		14	5	1708	113	113	124	178
234		14	6	1366	91	91	99	142
235		14	7	284	113	113	124	178
236		14	8	1708	113	113	124	178
237		14	9	119	68	68	74	106
238		14	10	99	57	57	62	89
239		14	11	170	68	68	74	106
240		14	12	142	57	57	62	89
241		14	13	1025	68	68	74	106
242		14	14	854	57	57	62	89
243		14	15	256	102	102	111	159
244		14	16	179	102	102	111	159
245		14	17	1537	102	102	111	159
246		14	18	1537	102	102	111	159
247		15	0	171	98	98	107	153
248		15	1	245	98	98	107	153
249		15	2	214	122	122	134	191
250		15	3	214	122	122	134	191
251		15	4	306	122	122	134	191
252		15	5	1839	122	122	134	191
253		15	6	1472	98	98	107	153
254		15	7	306	122	122	134	191
255		15	8	1839	122	122	134	191
256		15	9	128	73	73	80	114
257		15	10	107	61	61	67	95
258		15	11	184	73	73	80	114
259		15	12	153	61	61	67	95
260		15	13	1103	73	73	80	114
261		15	14	919	61	61	67	95
262		15	15	275	110	110	120	172
263		15	16	193	110	110	120	172
264		15	17	1655	110	110	120	172
265		15	18	1655	110	110	120	172
266		16	0	183	105	105	114	164
267		16	1	262	105	105	114	164
268		16	2	230	131	131	144	205
269		16	3	230	131	131	144	205
270		16	4	328	131	131	144	205
271		16	5	1971	131	131	144	205
272		16	6	1577	105	105	114	164
273		16	7	328	131	131	144	205
274		16	8	1971	131	131	144	205
275		16	9	138	78	78	86	123
276		16	10	114	66	66	72	102
277		16	11	197	78	78	86	123
278		16	12	164	66	66	72	102
279		16	13	1182	78	78	86	123
280		16	14	985	66	66	72	102
281		16	15	295	118	118	129	184
282		16	16	207	118	118	129	184
283		16	17	1773	118	118	129	184
284		16	18	1773	118	118	129	184
285		17	0	196	112	112	122	175
286		17	1	280	112	112	122	175
287		17	2	245	140	140	153	219
288		17	3	245	140	140	153	219
289		17	4	350	140	140	153	219
290		17	5	2102	140	140	153	219
291		17	6	1682	112	112	122	175
292		17	7	350	140	140	153	219
293		17	8	2102	140	140	153	219
294		17	9	147	84	84	92	131
295		17	10	122	70	70	76	109
296		17	11	210	84	84	92	131
297		17	12	175	70	70	76	109
298		17	13	1261	84	84	92	131
299		17	14	1051	70	70	76	109
300		17	15	315	126	126	137	196
301		17	16	220	126	126	137	196
302		17	17	1892	126	126	137	196
303		17	18	1892	126	126	137	196
304		18	0	208	119	119	130	186
305		18	1	297	119	119	130	186
306		18	2	260	148	148	163	232
