Id	Belle	Belle	Name	Desc	Pic
INT	INT	INT	STRING	STRING	STRING
#MAX_ID=100;MAX_RECORD=100;TableType=Hash;					
#本行程序不读		魂器ID	魂器名字	月奖励魂器信息	月奖励魂器半身像
1		0	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
2		1	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
3		2	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
4		3	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
5		4	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
6		5	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
7		6	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
8		7	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
9		8	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
10		9	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
11		10	赤焰魔婴	因为与魔王签订了契约，死去的孩童的灵魂被禁锢在魔物的体内产生的魔灵	ChiYanMoYing
12					
