Index	Desc	BelleId	CloseLevel	CloseMaxValue	AddAttrValue
INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=9999;TableType=Index;					
#本行程序不读	描述	美人Id	亲密等级	当前等级上限	亲密加成属性值
0	钟灵	0	1	50	20
1	钟灵	0	2	55	21
2	钟灵	0	3	60	22
3	钟灵	0	4	65	23
4	钟灵	0	5	70	24
5	钟灵	0	6	75	25
6	钟灵	0	7	80	26
7	钟灵	0	8	85	27
8	钟灵	0	9	90	28
9	钟灵	0	10	95	29
10	钟灵	0	11	100	30
11	钟灵	0	12	105	31
12	钟灵	0	13	110	32
13	钟灵	0	14	115	33
14	钟灵	0	15	120	34
15	钟灵	0	16	125	35
16	钟灵	0	17	130	36
17	钟灵	0	18	135	37
18	钟灵	0	19	140	38
19	钟灵	0	20	145	39
20	钟灵	0	21	150	40
21	钟灵	0	22	155	41
22	钟灵	0	23	160	42
23	钟灵	0	24	165	43
24	钟灵	0	25	170	44
25	钟灵	0	26	175	45
26	钟灵	0	27	180	46
27	钟灵	0	28	185	47
28	钟灵	0	29	190	48
29	钟灵	0	30	195	49
30	钟灵	0	31	200	50
31	钟灵	0	32	205	51
32	钟灵	0	33	210	52
33	钟灵	0	34	215	53
34	钟灵	0	35	220	54
35	钟灵	0	36	225	55
36	钟灵	0	37	230	56
37	钟灵	0	38	235	57
38	钟灵	0	39	240	58
39	钟灵	0	40	245	59
40	钟灵	0	41	250	60
41	钟灵	0	42	255	61
42	钟灵	0	43	260	62
43	钟灵	0	44	265	63
44	钟灵	0	45	270	64
45	钟灵	0	46	275	65
46	钟灵	0	47	280	66
47	钟灵	0	48	285	67
48	钟灵	0	49	290	68
49	钟灵	0	50	295	69
50	钟灵	0	51	300	70
51	钟灵	0	52	305	71
52	钟灵	0	53	310	72
53	钟灵	0	54	315	73
54	钟灵	0	55	320	74
55	钟灵	0	56	325	75
56	钟灵	0	57	330	76
57	钟灵	0	58	335	77
58	钟灵	0	59	340	78
59	钟灵	0	60	345	79
60	钟灵	0	61	350	80
61	钟灵	0	62	355	81
62	钟灵	0	63	360	82
63	钟灵	0	64	365	83
64	钟灵	0	65	370	84
65	钟灵	0	66	375	85
66	钟灵	0	67	380	86
67	钟灵	0	68	385	87
68	钟灵	0	69	390	88
69	钟灵	0	70	395	89
70	钟灵	0	71	400	90
71	钟灵	0	72	405	91
72	钟灵	0	73	410	92
73	钟灵	0	74	415	93
74	钟灵	0	75	420	94
75	钟灵	0	76	425	95
76	钟灵	0	77	430	96
77	钟灵	0	78	435	97
78	钟灵	0	79	440	98
79	钟灵	0	80	445	99
80	钟灵	0	81	450	100
81	钟灵	0	82	455	101
82	钟灵	0	83	460	102
83	钟灵	0	84	465	103
84	钟灵	0	85	470	104
85	钟灵	0	86	475	105
86	钟灵	0	87	480	106
87	钟灵	0	88	485	107
88	钟灵	0	89	490	108
89	钟灵	0	90	495	109
90	钟灵	0	91	500	110
91	钟灵	0	92	505	111
92	钟灵	0	93	510	112
93	钟灵	0	94	515	113
94	钟灵	0	95	520	114
95	钟灵	0	96	525	115
96	钟灵	0	97	530	116
97	钟灵	0	98	535	117
98	钟灵	0	99	540	118
99	木婉清	1	1	50	20
100	木婉清	1	2	55	21
101	木婉清	1	3	60	22
102	木婉清	1	4	65	23
103	木婉清	1	5	70	24
104	木婉清	1	6	75	25
105	木婉清	1	7	80	26
106	木婉清	1	8	85	27
107	木婉清	1	9	90	28
108	木婉清	1	10	95	29
109	木婉清	1	11	100	30
110	木婉清	1	12	105	31
111	木婉清	1	13	110	32
112	木婉清	1	14	115	33
113	木婉清	1	15	120	34
114	木婉清	1	16	125	35
115	木婉清	1	17	130	36
116	木婉清	1	18	135	37
117	木婉清	1	19	140	38
118	木婉清	1	20	145	39
119	木婉清	1	21	150	40
120	木婉清	1	22	155	41
121	木婉清	1	23	160	42
122	木婉清	1	24	165	43
123	木婉清	1	25	170	44
124	木婉清	1	26	175	45
125	木婉清	1	27	180	46
126	木婉清	1	28	185	47
127	木婉清	1	29	190	48
128	木婉清	1	30	195	49
129	木婉清	1	31	200	50
130	木婉清	1	32	205	51
131	木婉清	1	33	210	52
132	木婉清	1	34	215	53
133	木婉清	1	35	220	54
134	木婉清	1	36	225	55
135	木婉清	1	37	230	56
136	木婉清	1	38	235	57
137	木婉清	1	39	240	58
138	木婉清	1	40	245	59
139	木婉清	1	41	250	60
140	木婉清	1	42	255	61
141	木婉清	1	43	260	62
142	木婉清	1	44	265	63
143	木婉清	1	45	270	64
144	木婉清	1	46	275	65
145	木婉清	1	47	280	66
146	木婉清	1	48	285	67
147	木婉清	1	49	290	68
148	木婉清	1	50	295	69
149	木婉清	1	51	300	70
150	木婉清	1	52	305	71
151	木婉清	1	53	310	72
152	木婉清	1	54	315	73
153	木婉清	1	55	320	74
154	木婉清	1	56	325	75
155	木婉清	1	57	330	76
156	木婉清	1	58	335	77
157	木婉清	1	59	340	78
158	木婉清	1	60	345	79
159	木婉清	1	61	350	80
160	木婉清	1	62	355	81
161	木婉清	1	63	360	82
162	木婉清	1	64	365	83
163	木婉清	1	65	370	84
164	木婉清	1	66	375	85
165	木婉清	1	67	380	86
166	木婉清	1	68	385	87
167	木婉清	1	69	390	88
168	木婉清	1	70	395	89
169	木婉清	1	71	400	90
170	木婉清	1	72	405	91
171	木婉清	1	73	410	92
172	木婉清	1	74	415	93
173	木婉清	1	75	420	94
174	木婉清	1	76	425	95
175	木婉清	1	77	430	96
176	木婉清	1	78	435	97
177	木婉清	1	79	440	98
178	木婉清	1	80	445	99
179	木婉清	1	81	450	100
180	木婉清	1	82	455	101
181	木婉清	1	83	460	102
182	木婉清	1	84	465	103
183	木婉清	1	85	470	104
184	木婉清	1	86	475	105
185	木婉清	1	87	480	106
186	木婉清	1	88	485	107
187	木婉清	1	89	490	108
188	木婉清	1	90	495	109
189	木婉清	1	91	500	110
190	木婉清	1	92	505	111
191	木婉清	1	93	510	112
192	木婉清	1	94	515	113
193	木婉清	1	95	520	114
194	木婉清	1	96	525	115
195	木婉清	1	97	530	116
196	木婉清	1	98	535	117
197	木婉清	1	99	540	118
198	王语嫣	2	1	50	20
199	王语嫣	2	2	55	21
200	王语嫣	2	3	60	22
201	王语嫣	2	4	65	23
202	王语嫣	2	5	70	24
203	王语嫣	2	6	75	25
204	王语嫣	2	7	80	26
205	王语嫣	2	8	85	27
206	王语嫣	2	9	90	28
207	王语嫣	2	10	95	29
208	王语嫣	2	11	100	30
209	王语嫣	2	12	105	31
210	王语嫣	2	13	110	32
211	王语嫣	2	14	115	33
212	王语嫣	2	15	120	34
213	王语嫣	2	16	125	35
214	王语嫣	2	17	130	36
215	王语嫣	2	18	135	37
216	王语嫣	2	19	140	38
217	王语嫣	2	20	145	39
218	王语嫣	2	21	150	40
219	王语嫣	2	22	155	41
220	王语嫣	2	23	160	42
221	王语嫣	2	24	165	43
222	王语嫣	2	25	170	44
223	王语嫣	2	26	175	45
224	王语嫣	2	27	180	46
225	王语嫣	2	28	185	47
226	王语嫣	2	29	190	48
227	王语嫣	2	30	195	49
228	王语嫣	2	31	200	50
229	王语嫣	2	32	205	51
230	王语嫣	2	33	210	52
231	王语嫣	2	34	215	53
232	王语嫣	2	35	220	54
233	王语嫣	2	36	225	55
234	王语嫣	2	37	230	56
235	王语嫣	2	38	235	57
236	王语嫣	2	39	240	58
237	王语嫣	2	40	245	59
238	王语嫣	2	41	250	60
239	王语嫣	2	42	255	61
240	王语嫣	2	43	260	62
241	王语嫣	2	44	265	63
242	王语嫣	2	45	270	64
243	王语嫣	2	46	275	65
244	王语嫣	2	47	280	66
245	王语嫣	2	48	285	67
246	王语嫣	2	49	290	68
247	王语嫣	2	50	295	69
248	王语嫣	2	51	300	70
249	王语嫣	2	52	305	71
250	王语嫣	2	53	310	72
251	王语嫣	2	54	315	73
252	王语嫣	2	55	320	74
253	王语嫣	2	56	325	75
254	王语嫣	2	57	330	76
255	王语嫣	2	58	335	77
256	王语嫣	2	59	340	78
257	王语嫣	2	60	345	79
258	王语嫣	2	61	350	80
259	王语嫣	2	62	355	81
260	王语嫣	2	63	360	82
261	王语嫣	2	64	365	83
262	王语嫣	2	65	370	84
263	王语嫣	2	66	375	85
264	王语嫣	2	67	380	86
265	王语嫣	2	68	385	87
266	王语嫣	2	69	390	88
267	王语嫣	2	70	395	89
268	王语嫣	2	71	400	90
269	王语嫣	2	72	405	91
270	王语嫣	2	73	410	92
271	王语嫣	2	74	415	93
272	王语嫣	2	75	420	94
273	王语嫣	2	76	425	95
274	王语嫣	2	77	430	96
275	王语嫣	2	78	435	97
276	王语嫣	2	79	440	98
277	王语嫣	2	80	445	99
278	王语嫣	2	81	450	100
279	王语嫣	2	82	455	101
280	王语嫣	2	83	460	102
281	王语嫣	2	84	465	103
282	王语嫣	2	85	470	104
283	王语嫣	2	86	475	105
284	王语嫣	2	87	480	106
285	王语嫣	2	88	485	107
286	王语嫣	2	89	490	108
287	王语嫣	2	90	495	109
288	王语嫣	2	91	500	110
289	王语嫣	2	92	505	111
290	王语嫣	2	93	510	112
291	王语嫣	2	94	515	113
292	王语嫣	2	95	520	114
293	王语嫣	2	96	525	115
294	王语嫣	2	97	530	116
295	王语嫣	2	98	535	117
296	王语嫣	2	99	540	118
297	阿朱	3	1	50	20
298	阿朱	3	2	55	21
299	阿朱	3	3	60	22
300	阿朱	3	4	65	23
301	阿朱	3	5	70	24
302	阿朱	3	6	75	25
303	阿朱	3	7	80	26
304	阿朱	3	8	85	27
305	阿朱	3	9	90	28
306	阿朱	3	10	95	29
307	阿朱	3	11	100	30
308	阿朱	3	12	105	31
309	阿朱	3	13	110	32
310	阿朱	3	14	115	33
311	阿朱	3	15	120	34
312	阿朱	3	16	125	35
313	阿朱	3	17	130	36
314	阿朱	3	18	135	37
315	阿朱	3	19	140	38
316	阿朱	3	20	145	39
317	阿朱	3	21	150	40
318	阿朱	3	22	155	41
319	阿朱	3	23	160	42
320	阿朱	3	24	165	43
321	阿朱	3	25	170	44
322	阿朱	3	26	175	45
323	阿朱	3	27	180	46
324	阿朱	3	28	185	47
325	阿朱	3	29	190	48
326	阿朱	3	30	195	49
327	阿朱	3	31	200	50
328	阿朱	3	32	205	51
329	阿朱	3	33	210	52
330	阿朱	3	34	215	53
331	阿朱	3	35	220	54
332	阿朱	3	36	225	55
333	阿朱	3	37	230	56
334	阿朱	3	38	235	57
335	阿朱	3	39	240	58
336	阿朱	3	40	245	59
337	阿朱	3	41	250	60
338	阿朱	3	42	255	61
339	阿朱	3	43	260	62
340	阿朱	3	44	265	63
341	阿朱	3	45	270	64
342	阿朱	3	46	275	65
343	阿朱	3	47	280	66
344	阿朱	3	48	285	67
345	阿朱	3	49	290	68
346	阿朱	3	50	295	69
347	阿朱	3	51	300	70
348	阿朱	3	52	305	71
349	阿朱	3	53	310	72
350	阿朱	3	54	315	73
351	阿朱	3	55	320	74
352	阿朱	3	56	325	75
353	阿朱	3	57	330	76
354	阿朱	3	58	335	77
355	阿朱	3	59	340	78
356	阿朱	3	60	345	79
357	阿朱	3	61	350	80
358	阿朱	3	62	355	81
359	阿朱	3	63	360	82
360	阿朱	3	64	365	83
361	阿朱	3	65	370	84
362	阿朱	3	66	375	85
363	阿朱	3	67	380	86
364	阿朱	3	68	385	87
365	阿朱	3	69	390	88
366	阿朱	3	70	395	89
367	阿朱	3	71	400	90
368	阿朱	3	72	405	91
369	阿朱	3	73	410	92
370	阿朱	3	74	415	93
371	阿朱	3	75	420	94
372	阿朱	3	76	425	95
373	阿朱	3	77	430	96
374	阿朱	3	78	435	97
375	阿朱	3	79	440	98
376	阿朱	3	80	445	99
377	阿朱	3	81	450	100
378	阿朱	3	82	455	101
379	阿朱	3	83	460	102
380	阿朱	3	84	465	103
381	阿朱	3	85	470	104
382	阿朱	3	86	475	105
383	阿朱	3	87	480	106
384	阿朱	3	88	485	107
385	阿朱	3	89	490	108
386	阿朱	3	90	495	109
387	阿朱	3	91	500	110
388	阿朱	3	92	505	111
389	阿朱	3	93	510	112
390	阿朱	3	94	515	113
391	阿朱	3	95	520	114
392	阿朱	3	96	525	115
393	阿朱	3	97	530	116
394	阿朱	3	98	535	117
395	阿朱	3	99	540	118
396	阿紫	4	1	50	20
397	阿紫	4	2	55	21
398	阿紫	4	3	60	22
399	阿紫	4	4	65	23
400	阿紫	4	5	70	24
401	阿紫	4	6	75	25
402	阿紫	4	7	80	26
403	阿紫	4	8	85	27
404	阿紫	4	9	90	28
405	阿紫	4	10	95	29
406	阿紫	4	11	100	30
407	阿紫	4	12	105	31
408	阿紫	4	13	110	32
409	阿紫	4	14	115	33
410	阿紫	4	15	120	34
411	阿紫	4	16	125	35
412	阿紫	4	17	130	36
413	阿紫	4	18	135	37
414	阿紫	4	19	140	38
415	阿紫	4	20	145	39
416	阿紫	4	21	150	40
417	阿紫	4	22	155	41
418	阿紫	4	23	160	42
419	阿紫	4	24	165	43
420	阿紫	4	25	170	44
421	阿紫	4	26	175	45
422	阿紫	4	27	180	46
423	阿紫	4	28	185	47
424	阿紫	4	29	190	48
425	阿紫	4	30	195	49
426	阿紫	4	31	200	50
427	阿紫	4	32	205	51
428	阿紫	4	33	210	52
429	阿紫	4	34	215	53
430	阿紫	4	35	220	54
431	阿紫	4	36	225	55
432	阿紫	4	37	230	56
433	阿紫	4	38	235	57
434	阿紫	4	39	240	58
435	阿紫	4	40	245	59
436	阿紫	4	41	250	60
437	阿紫	4	42	255	61
438	阿紫	4	43	260	62
439	阿紫	4	44	265	63
440	阿紫	4	45	270	64
441	阿紫	4	46	275	65
442	阿紫	4	47	280	66
443	阿紫	4	48	285	67
444	阿紫	4	49	290	68
445	阿紫	4	50	295	69
446	阿紫	4	51	300	70
447	阿紫	4	52	305	71
448	阿紫	4	53	310	72
449	阿紫	4	54	315	73
450	阿紫	4	55	320	74
451	阿紫	4	56	325	75
452	阿紫	4	57	330	76
453	阿紫	4	58	335	77
454	阿紫	4	59	340	78
455	阿紫	4	60	345	79
456	阿紫	4	61	350	80
457	阿紫	4	62	355	81
458	阿紫	4	63	360	82
459	阿紫	4	64	365	83
460	阿紫	4	65	370	84
461	阿紫	4	66	375	85
462	阿紫	4	67	380	86
463	阿紫	4	68	385	87
464	阿紫	4	69	390	88
465	阿紫	4	70	395	89
466	阿紫	4	71	400	90
467	阿紫	4	72	405	91
468	阿紫	4	73	410	92
469	阿紫	4	74	415	93
470	阿紫	4	75	420	94
471	阿紫	4	76	425	95
472	阿紫	4	77	430	96
473	阿紫	4	78	435	97
474	阿紫	4	79	440	98
475	阿紫	4	80	445	99
476	阿紫	4	81	450	100
477	阿紫	4	82	455	101
478	阿紫	4	83	460	102
479	阿紫	4	84	465	103
480	阿紫	4	85	470	104
481	阿紫	4	86	475	105
482	阿紫	4	87	480	106
483	阿紫	4	88	485	107
484	阿紫	4	89	490	108
485	阿紫	4	90	495	109
486	阿紫	4	91	500	110
487	阿紫	4	92	505	111
488	阿紫	4	93	510	112
489	阿紫	4	94	515	113
490	阿紫	4	95	520	114
491	阿紫	4	96	525	115
492	阿紫	4	97	530	116
493	阿紫	4	98	535	117
494	阿紫	4	99	540	118
495	西夏公主	5	1	50	20
496	西夏公主	5	2	55	21
497	西夏公主	5	3	60	22
498	西夏公主	5	4	65	23
499	西夏公主	5	5	70	24
500	西夏公主	5	6	75	25
501	西夏公主	5	7	80	26
502	西夏公主	5	8	85	27
503	西夏公主	5	9	90	28
