Id	Desc	BelleId	Level	MainLevel	SubLevel	Duration	ConsumeType_1	ConsumeSubType_1	ConsumeNum_1	ConsumeType_2	ConsumeSubType_2	ConsumeNum_2	AttrType_1	AttrValue_1	AttrType_2	AttrValue_2	AttrType_3	AttrValue_3	AttrType_4	AttrValue_4	AttrType_5	AttrValue_5	AttrType_6	AttrValue_6
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=9999;TableType=Hash;																								
#本行程序不读	描述	美人Id	总等级	品阶等级	子等级	进化时间（秒）	消耗类型1（1元宝2金币3代币4经验5道具）	消耗子类型1（当类型为代币时，1真气2体力3帮贡，当类型为道具时，填道具id）	消耗数量1	消耗类型2	消耗子类型2	消耗数量2	加成属性类型1	加成属性值1	加成属性类型2	加成属性值2	加成属性类型3	加成属性值3	加成属性类型4	加成属性值4	加成属性类型5	加成属性值5	加成属性类型6	加成属性值6
1		0	1	1	1	60	5	59064	1	2	1	100	1001	27	10	0	8	0	1001	0	1000	0	0	0
2		0	2	1	2	120	5	59064	1	2	1	200	1001	54	10	0	8	0	1001	0	1000	0	0	0
3		0	3	1	3	300	5	59064	1	2	1	300	1001	81	10	0	8	0	1001	0	1000	0	0	0
4		0	4	1	4	480	5	59064	2	2	1	800	1001	108	10	0	8	0	1001	0	1000	0	0	0
5		0	5	1	5	600	5	59064	2	2	1	1000	1001	135	10	0	8	0	1001	0	1000	0	0	0
6		0	6	1	6	900	5	59064	2	2	1	1200	1001	162	10	0	8	0	1001	0	1000	0	0	0
7		0	7	1	7	1200	5	59064	2	2	1	1400	1001	189	10	0	8	0	1001	0	1000	0	0	0
8		0	8	1	8	1500	5	59064	2	2	1	1600	1001	216	10	0	8	0	1001	0	1000	0	0	0
9		0	9	1	9	1800	5	59064	2	2	1	1800	1001	243	10	0	8	0	1001	0	1000	0	0	0
10		0	10	2	1	2100	5	59064	5	2	1	5000	1001	243	10	16	8	0	1001	0	1000	0	0	0
