Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=8192;TableType=Hash;																																																																																											
#ID	程序不读	名称	头像	模型(CharModel.txt)	UI预览(FakeObject.txt)	宠物类型 0  宝宝 1 成年宠物 2 变异宠物	对应宝宝伙伴ID	变异等级 1- 10	种类ID 1：动物，2：人形	元素属性 1：水，2：风，3：地，4：火	是否可用人民币购买，0 不行， 1 可以	出战等级	攻击类型（物理=1；魔法=2）	普攻技能id（SkillBase）	初始攻击下限 白	初始攻击上限 白	初始攻击下限 绿	初始攻击上限 绿	初始攻击下限 蓝	初始攻击上限 蓝	初始攻击下限 紫	初始攻击上限 紫	初始攻击下限 橙	初始攻击上限 橙	初始命中下限 白	初始命中上限 白	初始命中下限 绿	初始命中上限 绿	初始命中下限 蓝	初始命中上限 蓝	初始命中下限 紫	初始命中上限 紫	初始命中下限 橙	初始命中上限 橙	初始暴击下限 白	初始暴击上限 白	初始暴击下限 绿	初始暴击上限 绿	初始暴击下限 蓝	初始暴击上限 蓝	初始暴击下限 紫	初始暴击上限 紫	初始暴击下限 橙	初始暴击上限 橙	初始守护下限 白	初始守护上限 白	初始守护下限 绿	初始守护上限 绿	初始守护下限 蓝	初始守护上限 蓝	初始守护下限 紫	初始守护上限 紫	初始守护下限 橙	初始守护上限 橙	初始加持下限 白	初始加持上限 白	初始加持下限 绿	初始加持上限 绿	初始加持下限 蓝	初始加持上限 蓝	初始加持下限 紫	初始加持上限 紫	初始加持下限 橙	初始加持上限 橙	等级提升攻击增量	等级提升命中增量	等级提升暴击增量	等级提升守护增量	等级提升加持增量	附加值攻击偏移	附加值命中偏移	附加值暴击偏移	附加值守护偏移	附加值加持偏移	附加攻击修正加成系数  程序用的时候 会除 100  策划填表注意	附加命中加成系数  程序用的时候 会除 100  策划填表注意	附加暴击加成系数  程序用的时候 会除 100  策划填表注意	附加守护加成系数  程序用的时候 会除 100  策划填表注意	附加加持加成系数  程序用的时候 会除 100  策划填表注意	被吞噬时获得的升星经验值	被吞噬时获得的升星经验值	被吞噬时获得的升星经验值	被吞噬时获得的升星经验值	被吞噬时获得的升星经验值	天赋技能个数	天赋技能1	天赋技能2	天赋技能3	天赋技能4	天赋技能5	是否开放
0	宠物狗-宝宝	猎犬宝宝	petxiaoliequan	22	11	0	0	0	3	3	0	1	1	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	22	3	3	5	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	1
1	宠物机器人_成年	完全体机器人	petjiqiren	476	79	1	40	0	2	2	0	1	1	50000	118	159	229	310	464	628	-1	-1	-1	-1	9	12	17	23	35	48	-1	-1	-1	-1	7	10	14	20	29	40	-1	-1	-1	-1	15	20	29	39	59	79	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	41	3	3	5	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	1
2	宠物狗-1变	变异猎犬	petxiaoliequan	22	11	2	0	1	3	3	0	1	1	50000	78	106	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	27	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
3	宠物狗-2变	变异猎犬	petxiaoliequan	22	11	2	0	2	3	3	0	1	1	50000	98	133	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	34	5	4	8	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
4	宠物狗-3变	变异猎犬	petxiaoliequan	22	11	2	0	3	3	3	0	1	1	50000	-1	-1	132	178	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	45	7	6	11	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
5	宠物狗-4变	变异猎犬	petxiaoliequan	22	11	2	0	4	3	3	0	1	1	50000	-1	-1	185	250	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	22	30	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	64	9	8	15	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
6	宠物狗-5变	变异猎犬	petxiaoliequan	22	11	2	0	5	3	3	0	1	1	50000	-1	-1	-1	-1	265	359	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	32	44	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	91	13	11	22	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
