Id	Desc	BaseSkill	Type	Level	NextSkillId	NeedBookId	NeedBookCount
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=1024;TableType=Hash;							
#技能ID	程序不读	一级技能ID	类型（1水 2气 3地 4火）	技能级别	下一级技能	对应技能书ID	激活需要消耗技能书数量
50001	火焰弹1级	50001	4	1	50002	71009	5
50002	火焰弹2级	50001	4	2	50003	71009	10
50003	火焰弹3级	50001	4	3	50004	71009	15
50004	火焰弹4级	50001	4	4	50005	71009	20
50005	火焰弹5级	50001	4	5	50006	71009	25
50006	火焰弹6级	50001	4	6	50007	71009	30
50007	火焰弹7级	50001	4	7	50008	71009	35
50008	火焰弹8级	50001	4	8	50009	71009	40
50009	火焰弹9级	50001	4	9	50010	71009	45
50010	火焰弹10级	50001	4	10	-1	-1	-1
50101	烬燃术1级	50101	4	1	50102	71009	5
50102	烬燃术2级	50101	4	2	50103	71009	10
50103	烬燃术3级	50101	4	3	50104	71009	15
50104	烬燃术4级	50101	4	4	50105	71009	20
50105	烬燃术5级	50101	4	5	50106	71009	25
50106	烬燃术6级	50101	4	6	50107	71009	30
50107	烬燃术7级	50101	4	7	50108	71009	35
50108	烬燃术8级	50101	4	8	50109	71009	40
50109	烬燃术9级	50101	4	9	50110	71009	45
50110	烬燃术10级	50101	4	10	-1	-1	-1
50201	怒火燎原1级	50201	4	1	50202	71009	5
50202	怒火燎原2级	50201	4	2	50203	71009	10
50203	怒火燎原3级	50201	4	3	50204	71009	15
50204	怒火燎原4级	50201	4	4	50205	71009	20
50205	怒火燎原5级	50201	4	5	50206	71009	25
50206	怒火燎原6级	50201	4	6	50207	71009	30
50207	怒火燎原7级	50201	4	7	50208	71009	35
50208	怒火燎原8级	50201	4	8	50209	71009	40
50209	怒火燎原9级	50201	4	9	50210	71009	45
50210	怒火燎原10级	50201	4	10	-1	-1	-1
50301	灼伤烈焰1级	50301	4	1	50302	71009	5
50302	灼伤烈焰2级	50301	4	2	50303	71009	10
