Id	Desc	ConsumeNum	AttachAttr01	AttachAttr02	AttachAttr03	AttachAttr04	AttachAttr05
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;							
#星级	程序不读	升星消耗消耗数量	加成属性点数 数组对应伙伴品质 白 绿 蓝 紫 橙	加成属性点数 数组对应伙伴品质 白 绿 蓝 紫 橙	加成属性点数 数组对应伙伴品质 白 绿 蓝 紫 橙	加成属性点数 数组对应伙伴品质 白 绿 蓝 紫 橙	加成属性点数 数组对应伙伴品质 白 绿 蓝 紫 橙
0	0星	0	0	0	0	0	0
1	白1星	10	121	13	13	26	26
2	白2星	20	248	27	27	54	54
3	白3星	30	382	42	42	83	83
4	白4星	40	522	57	57	114	114
5	白5星	50	669	73	73	146	146
6	白6星	60	824	90	90	180	180
7	白7星	70	986	108	108	216	216
8	白8星	80	1157	126	126	253	253
9	白9星	90	1336	146	146	292	292
10	白10星	100	1524	166	166	333	333
11	白11星	110	1721	188	188	376	376
12	白12星	340	1928	211	211	421	421
13	绿1星	190	2146	234	234	469	469
14	绿2星	205	2374	259	259	519	519
15	绿3星	220	2614	286	286	571	571
16	绿4星	235	2866	313	313	626	626
17	绿5星	250	3130	342	342	684	684
18	绿6星	265	3408	372	372	745	745
19	绿7星	280	3699	404	404	808	808
20	绿8星	295	4005	438	438	875	875
21	绿9星	310	4327	473	473	946	946
22	绿10星	325	4664	510	510	1019	1019
23	绿11星	340	5019	548	548	1097	1097
24	绿12星	930	5391	589	589	1178	1178
25	蓝1星	490	5781	632	632	1263	1263
26	蓝2星	510	6191	677	677	1353	1353
27	蓝3星	530	6622	724	724	1447	1447
28	蓝4星	550	7074	773	773	1546	1546
29	蓝5星	570	7549	825	825	1650	1650
30	蓝6星	590	8048	879	879	1759	1759
31	蓝7星	610	8571	937	937	1873	1873
32	蓝8星	630	9121	997	997	1993	1993
33	蓝9星	650	9698	1060	1060	2119	2119
34	蓝10星	670	10304	1126	1126	2252	2252
35	蓝11星	690	10941	1195	1195	2391	2391
36	蓝12星	1760	11609	1268	1268	2537	2537
37	紫1星	910	12310	1345	1345	2690	2690
38	紫2星	935	13047	1426	1426	2851	2851
39	紫3星	960	13821	1510	1510	3020	3020
40	紫4星	985	14633	1599	1599	3198	3198
41	紫5星	1010	15486	1692	1692	3384	3384
42	紫6星	1035	16381	1790	1790	3580	3580
43	紫7星	1060	17321	1893	1893	3785	3785
44	紫8星	1085	18308	2000	2000	4001	4001
45	紫9星	1110	19345	2114	2114	4227	4227
46	紫10星	1135	20433	2233	2233	4465	4465
47	紫11星	1160	21576	2358	2358	4715	4715
48	紫12星	2830	22776	2489	2489	4977	4977
49	橙1星	1450	24036	2626	2626	5253	5253
50	橙2星	1480	25359	2771	2771	5542	5542
51	橙3星	1510	26748	2923	2923	5845	5845
52	橙4星	1540	28206	3082	3082	6164	6164
53	橙5星	1570	29738	3249	3249	6499	6499
54	橙6星	1600	31346	3425	3425	6850	6850
55	橙7星	1630	33034	3610	3610	7219	7219
56	橙8星	1660	34807	3803	3803	7606	7606
57	橙9星	1690	36669	4007	4007	8013	8013
58	橙10星	1720	38623	4220	4220	8440	8440
59	橙11星	1750	40676	4444	4444	8889	8889
60	橙12星	4140	42830	4680	4680	9360	9360
