Id	Desc	Name	SkillDesc	Icon	BaseSkill	LogicID	Quality	Level	NextSkillId	SkillBook	LevelUpExp	SkillUpExp	SkillUpScale	Impact
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT
#MAX_ID=99999;MAX_RECORD=1024;TableType=Hash;														
#技能ID	程序不读	技能名	技能描述	图标	一级技能ID	已废弃 逻辑ID(和技能Buff逻辑无关)	技能品质（0白色 1绿色 2蓝色 3紫色 4橙色）	技能级别	下一级技能	对应技能书ID	升级消耗经验	属性略微提升经验值段	属性略微提升比例	发送Buff
53001	炽热之力1级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	1	53002	4520	100	10	0.1	1
53002	炽热之力2级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	2	53003	4520	100	10	0.1	1
53003	炽热之力3级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	3	53004	4520	100	10	0.1	1
53004	炽热之力4级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	4	53005	4520	100	10	0.1	1
53005	炽热之力5级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	5	53006	4520	100	10	0.1	1
53006	炽热之力6级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	6	53007	4520	100	10	0.1	1
53007	炽热之力7级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	7	53008	4520	100	10	0.1	1
53008	炽热之力8级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	8	53009	4520	100	10	0.1	1
53009	炽热之力9级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	9	53010	4520	100	10	0.1	1
53010	炽热之力10级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	10	53011	4520	100	10	0.1	1
53011	炽热之力11级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	11	53012	4520	100	10	0.1	1
53012	炽热之力12级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	12	53013	4520	100	10	0.1	1
53013	炽热之力13级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	13	53014	4520	100	10	0.1	1
53014	炽热之力14级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	14	53015	4520	100	10	0.1	1
53015	炽热之力15级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	15	53016	4520	100	10	0.1	1
53016	炽热之力16级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	16	53017	4520	100	10	0.1	1
53017	炽热之力17级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	17	53018	4520	100	10	0.1	1
53018	炽热之力18级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	18	53019	4520	100	10	0.1	1
53019	炽热之力19级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	19	53020	4520	100	10	0.1	1
53020	炽热之力20级	炽热之力	增加主人攻击	ChangGuiJiNeng1	53001	1	1	20	-1	4520	100	10	0.1	1
53101	烈焰狂暴1级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	1	53102	4520	100	10	0.1	1
53102	烈焰狂暴2级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	2	53103	4520	100	10	0.1	1
53103	烈焰狂暴3级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	3	53104	4520	100	10	0.1	1
53104	烈焰狂暴4级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	4	53105	4520	100	10	0.1	1
53105	烈焰狂暴5级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	5	53106	4520	100	10	0.1	1
53106	烈焰狂暴6级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	6	53107	4520	100	10	0.1	1
53107	烈焰狂暴7级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	7	53108	4520	100	10	0.1	1
53108	烈焰狂暴8级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	8	53109	4520	100	10	0.1	1
53109	烈焰狂暴9级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	9	53110	4520	100	10	0.1	1
53110	烈焰狂暴10级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	10	53111	4520	100	10	0.1	1
53111	烈焰狂暴11级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	11	53112	4520	100	10	0.1	1
53112	烈焰狂暴12级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	12	53113	4520	100	10	0.1	1
53113	烈焰狂暴13级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	13	53114	4520	100	10	0.1	1
53114	烈焰狂暴14级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	14	53115	4520	100	10	0.1	1
53115	烈焰狂暴15级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	15	53116	4520	100	10	0.1	1
53116	烈焰狂暴16级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	16	53117	4520	100	10	0.1	1
53117	烈焰狂暴17级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	17	53118	4520	100	10	0.1	1
53118	烈焰狂暴18级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	18	53119	4520	100	10	0.1	1
53119	烈焰狂暴19级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	19	53120	4520	100	10	0.1	1
53120	烈焰狂暴20级	烈焰狂暴	增加主人暴击	ChangGuiJiNeng1	53101	1	1	20	-1	4520	100	10	0.1	1
53201	炽焰波动1级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	1	53202	4520	100	10	0.1	1
53202	炽焰波动2级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	2	53203	4520	100	10	0.1	1
53203	炽焰波动3级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	3	53204	4520	100	10	0.1	1
53204	炽焰波动4级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	4	53205	4520	100	10	0.1	1
53205	炽焰波动5级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	5	53206	4520	100	10	0.1	1
53206	炽焰波动6级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	6	53207	4520	100	10	0.1	1
53207	炽焰波动7级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	7	53208	4520	100	10	0.1	1
53208	炽焰波动8级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	8	53209	4520	100	10	0.1	1
53209	炽焰波动9级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	9	53210	4520	100	10	0.1	1
53210	炽焰波动10级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	10	53211	4520	100	10	0.1	1
53211	炽焰波动11级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	11	53212	4520	100	10	0.1	1
