Id	Desc	CopySceneType	TierLimit	ItemID1	IsBind1	ItemNum1	ItemID2	IsBind2	ItemNum2	ItemID3	IsBind3	ItemNum3	ItemID4	IsBind4	ItemNum4	ItemID5	IsBind5	ItemNum5
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;																		
#藏经阁额外奖励索引	程序不读	藏经阁奖励类型1单人2多人	领取要求藏经阁通过层级	物品ID1	是否绑定1	数量1	物品ID2	是否绑定2	数量2	物品ID3	是否绑定3	数量3	物品ID4	是否绑定4	数量4	物品ID5	是否绑定5	数量5
1	单人混沌之地层级通过10层可领取	1	10	4012	1	5	4023	1	5	-1	-1	-1	-1	1	-1	-1	1	-1
2	单人混沌之地层级通过20层可领取	1	20	4012	1	5	4023	1	5	23	1	2	-1	1	-1	-1	1	-1
3	单人混沌之地层级通过30层可领取	1	30	4013	1	5	4024	1	5	24	1	2	100001	1	1	-1	1	-1
4	单人混沌之地层级通过40层可领取	1	40	4014	1	5	4025	1	5	23	1	3	59	1	3	-1	1	-1
5	单人混沌之地层级通过50层可领取	1	50	4015	1	5	4026	1	5	24	1	5	71001	1	3	-1	1	-1
6	单人混沌之地层级通过60层可领取	1	60	4016	1	5	4027	1	5	60	1	1	71009	1	3	-1	1	-1
7	单人混沌之地层级通过70层可领取	1	70	4017	1	5	4028	1	5	24	1	10	71010	1	3	-1	1	-1
8	单人混沌之地层级通过80层可领取	1	80	4018	1	5	4029	1	5	60	1	3	71011	1	3	-1	1	-1
9	单人混沌之地层级通过90层可领取	1	90	4019	1	5	4030	1	5	24	1	15	71012	1	3	-1	1	-1
10	单人混沌之地层级通过100层可领取	1	100	4020	1	5	4030	1	5	61	1	5	100001	1	10	-1	1	-1
101	组队混沌之地层级通过10层可领取	2	10	4012	1	10	4023	1	10	-1	-1	-1	-1	1	-1	-1	1	-1
102	组队混沌之地层级通过20层可领取	2	20	4012	1	10	4023	1	10	23	1	2	-1	1	-1	-1	1	-1
103	组队混沌之地层级通过30层可领取	2	30	4013	1	10	4024	1	10	24	1	2	100001	1	3	-1	1	-1
104	组队混沌之地层级通过40层可领取	2	40	4014	1	10	4025	1	10	23	1	3	2000	1	1	-1	1	-1
105	组队混沌之地层级通过50层可领取	2	50	4015	1	10	4026	1	10	24	1	5	2006	1	1	-1	1	-1
106	组队混沌之地层级通过60层可领取	2	60	4016	1	10	4027	1	10	60	1	1	2001	1	1	-1	1	-1
107	组队混沌之地层级通过70层可领取	2	70	4017	1	10	4028	1	10	24	1	10	2007	1	1	-1	1	-1
108	组队混沌之地层级通过80层可领取	2	80	4018	1	10	4029	1	10	60	1	3	2002	1	1	-1	1	-1
109	组队混沌之地层级通过90层可领取	2	90	4019	1	10	4030	1	10	24	1	15	2008	1	1	-1	1	-1
110	组队混沌之地层级通过100层可领取	2	100	4020	1	10	4030	1	10	61	1	5	100001	1	10	-1	1	-1
