Id	Desc	Calculat	Monster1	Monster2	Monster3	Drop1	Drop2	Drop3	Drop4	Reward1	Reward2	Reward3	Level
INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Index;													
#ID	描述	推荐战力	怪物1（界面显示不出来）	怪物2（界面显示不出来	怪物3（界面显示不出来）	掉落物品1	掉落物品2	掉落物品3	掉落物品4	首次奖励1（界面显示不出来）	首次奖励2（界面显示不出来）	首次奖励3（界面显示不出来）	怪物等级
1	1层	1000	 	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	20
2	2层	1067	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	20
3	3层	1164	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	20
4	4层	1278	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	20
5	5层	1931	怪物1	怪物2	怪物3	50091	50107	50099	50115	-1	-1	-1	21
6	6层	1450	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	21
7	7层	1506	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	21
8	8层	1566	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	21
9	9层	1665	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	22
10	10层	3797	怪物1	怪物2	怪物3	50091	50107	50099	50115	-1	-1	-1	22
11	11层	2216	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	22
12	12层	2468	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	22
13	13层	2568	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	23
14	14层	2672	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	24
15	15层	6829	怪物1	怪物2	怪物3	50091	50107	50099	50115	-1	-1	-1	25
16	16层	2981	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	26
17	17层	3091	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	27
18	18层	3198	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	28
19	19层	3306	怪物1	怪物2	怪物3	50091	50107	-1	-1	-1	-1	-1	29
20	20层	9667	怪物1	怪物2	怪物3	50092	50108	50100	50116	-1	-1	-1	30
21	21层	3910	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	31
22	22层	4037	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	32
