Id	Name	Name	Title	ResPath	AnimPath	HeadPic	NPCSpriteName	HeadInfoHeight	Scale	DeadSound01	DeadSound02	DeadSound03	ModelType	EffectId01	EffectId02	EffectId03	EffectId04	EffectId05	SelectCircleSize	BornEffect1	BornEffect2
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	FLOAT	FLOAT	SHORT	SHORT	SHORT	INT	SHORT	SHORT	SHORT	SHORT	SHORT	FLOAT	SHORT	SHORT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																					
#角色ID	描述（程序不读）	名称	称号	资源路径	动作路径	头像	对话半身像	头顶信息板高度修正	缩放比例	死亡音效1	死亡音效2	死亡音效3	骨骼模型类别(-1无类型(聚宝盆 棋子一类无骨骼的) 1人形 2 人形（胖子 侏儒） 3四足兽形 4人形（段延庆 带双拐）)	模型附加特效1	模型附加特效2	模型附加特效3	模型附加特效4	模型附加特效5	脚下选中圈缩放尺寸	模型出厂动画特效id1	模型出厂动画特效id2
453	Cabal主角狂战士	主角：狂战士	主角	Zy_kuangzhanshi_002_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
454	与453保持一致	主角：狂战士	主角	Zy_kuangzhanshi_002_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
455	Cabal主角弓箭手	主角：弓箭手	主角	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	Gongjianshou	GongJianNv	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
456	与455保持一致	主角：弓箭手	主角	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	Gongjianshou	GongJianNv	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
457	Cabal主角魔导师	主角：魔导师	主角	Zy_modaoshi_010_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
458	与457保持一致	主角：魔导师	主角	Zy_modaoshi_000_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
459	Cabal主角双剑士	主角：双剑士	主角	Zy_shuangjianshi_006	Animation/Player/ShuangJianShi	Shuangjianshi	ShuangJiNv	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
