Id	Desc	ExpNeed	Quality	LevelUpRewardMoneyType	LevelUpRewardMoneyCount	LevelUpRewardItemID1	LevelUpRewardItemCount1	LevelUpRewardItemID2	LevelUpRewardItemCount2	QualityUpRewardMoneyType	QualityUpRewardMoneyCount	QualityUpRewardItemID1	QualityUpRewardItemCount1	TexturePath
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;														
#ID	程序不读	圣诞树升级所需要经验	圣诞树品质(1-5)	升级奖励货币类型(0金币1元宝2绑定元宝）	升级奖励货币数量	升级奖励道具ID1	升级奖励道具数量	升级奖励道具ID	升级奖励道具数量	升阶奖励货币类型	升阶奖励货币数量	升阶奖励货道具ID	升阶奖励货道具数量	圣诞树的贴图路径
0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	Texture/Christmas/Tree00
1	简陋1	200000	1	0	50000	4600	10	59169	1	-1	0	-1	0	Texture/Christmas/Tree01
2	简陋2	240000	1	0	51000	4600	10	59169	1	-1	0	-1	0	Texture/Christmas/Tree01
3	简陋3	320000	1	0	52000	4600	10	59169	1	-1	0	-1	0	Texture/Christmas/Tree01
4	简陋4	400000	1	0	53000	4600	10	59169	1	-1	0	-1	0	Texture/Christmas/Tree02
5	简陋5	520000	1	0	54000	4600	10	59169	1	-1	0	-1	0	Texture/Christmas/Tree02
6	简陋6	620000	1	0	55000	4600	10	59169	2	-1	0	-1	0	Texture/Christmas/Tree02
7	简陋7	740000	1	0	56000	4600	10	59169	2	-1	0	-1	0	Texture/Christmas/Tree03
8	简陋8	880000	1	0	57000	4600	10	59169	2	-1	0	-1	0	Texture/Christmas/Tree03
9	简陋9	1020000	1	0	58000	4600	10	59169	2	-1	0	-1	0	Texture/Christmas/Tree03
10	简陋10	1200000	1	0	59000	4600	10	59169	2	0	20000	4600	10	Texture/Christmas/Tree04
11	普通1	1400000	2	0	60000	4600	20	59169	3	-1	0	-1	0	Texture/Christmas/Tree04
12	普通2	1580000	2	0	61000	4600	20	59169	3	-1	0	-1	0	Texture/Christmas/Tree04
13	普通3	1780000	2	0	62000	4600	20	59169	3	-1	0	-1	0	Texture/Christmas/Tree05
14	普通4	1980000	2	0	63000	4600	20	59169	3	-1	0	-1	0	Texture/Christmas/Tree05
15	普通5	2200000	2	0	64000	4600	20	59169	3	-1	0	-1	0	Texture/Christmas/Tree05
16	普通6	2420000	2	0	65000	4600	20	59169	4	-1	0	-1	0	Texture/Christmas/Tree05
