Id	Desc	TargetPosX	TargetPosY	TargetPosZ	TargetPosRadius	CameraMove	DialogType	SpeakerID	SpriteName	Story	NextPageTime	SendMsgOnOver	PauseOnOver
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	FLOAT	INT	INT
#													
#id唯一标示	策划维护，程序不读	目标X坐标	目标Y坐标	目标Z坐标	距离目标半径	移动摄像机到目标（0不移动，1移动到目标坐标，2移回玩家）	"界面表现类型（0不显示任何，1显示传统大对话，2,显示小对话，3显示电影大对话，4显示电影小对话，5只显示电影黑边）"	说话者ID(-1为玩家)	Sprite名称	剧情内容	文字显示完成后翻页时间	翻页时是否触发逻辑	翻页时是否暂停
1	任务1	56.05	0	8.91	2	0	0	-1	MainPlayer	头好晕，我到底是怎么了？[ca12ff]“方舟”[b4ffd1]呢？	5	0	0
						0	0	-1	MainPlayer	这里是哪里？这里是……暮色雨林！	5	0	0
						0	0	-1	MainPlayer	不行，我一定要马上告诉其他人[ca12ff]“方舟”[b4ffd1]已经被魔王摧毁了！	5	0	0
						0	0	6	BeiYin	[ffffff]$N[b4ffd1]你醒了？你别着急动！“方舟”的事莉莉丝大人已经告知了。放心，贤者们一定能守护我们的。	5	0	0
2	任务3	79.1	0	22.6	2	0	0	-1	MainPlayer	你为什么会对魔王这么感兴趣啊……	5	0	0
						0	0	1152	Karna	女人这种生物就是会对强大的存在感到向往的啦~好啦快点告诉我吧~	5	0	0
						0	0	-1	MainPlayer	好吧……他很强大……比我要厉害得多，但是我不会放弃，我一定要打倒他！	5	0	0
3	任务5	79.1	0	22.6	2	0	0	-1	MainPlayer	刚刚击杀顶角豹的过程中，我发现我的能力全都没了……	5	0	0
						0	0	8	JieXiKa	难道跟你之前受伤有关？刚好贤者乔安娜大人和那个莉莉丝大人都来了，相信她们一定知道些什么~	5	0	0
						0	0	-1	MainPlayer	嗯，也只有这样了，不然的话，我这状况，再也没办法进贤者之塔进修了啊！	5	0	0
4	任务8	77.52	0	84.11	2	0	0	-1	MainPlayer	不是你跟乔安娜大人一起救我回来的吗，竟然才认出我……我发现我的能力好像消失了…	5	0	0
						0	0	9	Lilith	哎哟~我记人能力差嘛~话说当时[ca12ff]“方舟”[b4ffd1]的碎片有一些融入了你体内，也许是因为这个~	5	0	0
						0	0	-1	MainPlayer	这难道说我…不能恢复了吗？那我…不！我要重新锻炼自己，我一定要战胜魔王！	5	0	0
5	任务9	77.52	0	84.11	2	0	0	-1	MainPlayer	我之前习惯了独来独往，也并不觉得有什么不方便之处啊？	5	0	0
6	任务11	45.2	0	86	2	0	0	-1	MainPlayer	帮手吗？我并不需要，虽然我现在失去了能力，但是我一定会强大起来打败魔王的！	5	0	0
7	任务12	45.2	0	86	2	0	0	-1	MainPlayer	狗确实是人类难得的忠实伙伴。	5	0	0
8	任务52	66.1	0	70.9	2	0	0	-1	MainPlayer	……小孩……是贝因先生拜托我来确认情况的！	5	0	0
						0	0	31	Tyski	贝因？那家伙还真是多管闲事！刚才出现了那么多[ff0006]骷髅[b4ffd1]，我们启动了这里的机器人，但是却失控了！这种小事而已！	5	0	0
						0	0	-1	MainPlayer	会不会是启动的时候操作失误了……	5	0	0
9	任务16	21.76	0	60.37	2	0	0	-1	MainPlayer	什么叫做“小家伙”！我可是要进贤者之塔的人！	5	0	0
						0	0	7	JiCheShi	好的好的我知道啦！还真是个有志气的小家伙啊！	5	0	0
						0	0	-1	MainPlayer	你……算了，你在这里是遇到了什么困难吗？	5	0	0
10	任务18	21.76	0	60.37	2	0	0	-1	MainPlayer	你这样？你是指？	5	0	0
								7	JiCheShi	你看这机车！还有这翅膀！在这个大陆上，这就是实力的象征！	5	0	0
								-1	MainPlayer	还有这样的规矩吗！那要怎么才能获得这些呢？	5	0	0
11	任务53	66.1	0	70.9	2	0	0	-1	MainPlayer	看起来还有很长一段话的样子……	5	0	0
						0	0	31	Tyski	在这个城镇里有着大陆闻名的机械研究院，我们研究出来的机械那是出了名的先进！	5	0	0
12	任务54	66.1	0	70.9	2	0	0	-1	MainPlayer	另一个研究所？	5	0	0
						0	0	31	Tyski	哼！难道你以为我们这种大陆闻名的研究所只有这一个地方？！	5	0	0
						0	0	-1	MainPlayer	哦不不不，我的意思是那个地方在哪……	5	0	0
13	任务23	8.2	0	21.2	2	0	0	-1	MainPlayer	哎？奇怪的事情？	5	0	0
						0	0	1155	MeiLiYa	嗯对，首先就是这里突然就聚集了大量的蚊子……是不是我们有什么地方触怒了守护神呢……	5	0	0
						0	0	-1	MainPlayer	蚊子吗……包在我身上！	5	0	0
14	任务25	8.2	0	21.2	2	0	0	-1	MainPlayer	果然是“方舟”被破坏了导致的吗……	5	0	0
						0	0	1155	MeiLiYa	很有可能……如果没有被破坏就好了呢……	5	0	0
15	任务26	8.2	0	21.2	2	0	0	-1	MainPlayer	那是什么？	5	0	0
						0	0	12	Lilith	我想你身体里可能产生了一个[ffffff]魂器[b4ffd1]，而它通过吸收魔灵来让你变得更加强大。	5	0	0
						0	0	-1	MainPlayer	可为什么我突然会有这个能力？	5	0	0
16	任务27	8.2	0	21.2	2	0	0	-1	MainPlayer	哎？是什么？	5	0	0
						0	0	1155	MeiLiYa	最近我们部落的小孩们经常会离奇失踪……	5	0	0
						0	0	-1	MainPlayer	小孩失踪啊……会不会只是贪玩走丢了？	5	0	0
17	任务56	66.1	0	70.9	2	0	0	31	Tyski	小孩子，你去看看那些机器人有没有什么可疑的地方？	5	0	0
18	任务57	66.1	0	70.9	2	0	0	-1	MainPlayer	是个什么样的魔法？	5	0	0
19	任务30	8.2	0	21.2	2	0	0	-1	MainPlayer	之前我清理蚊子的时候就有这种感受，如果一般镇民遭遇了它们可不是什么好事儿。	5	0	0
20	任务32	8.2	0	21.2	2	0	0	-1	MainPlayer	要研制解药吗？我终于开始觉得你确实是位贤者了。	5	0	0
21	任务59	28.9	0	60.7	2	0	0	-1	MainPlayer	就是这个部件……小心点毕竟不知道会发生什么……	5	0	0
								32	ALiAoNaiEr	就交给我吧！啊呀！（阿里奥奈尔不小心摔坏了部件）	5	0	0
								-1	MainPlayer	你……算啦我再去找找还有没有吧……	5	0	0
22	任务34	8.2	0	21.2	2	0	0	-1	MainPlayer	你在呼啸沙漠……难道那些孩子都是在这里失踪的？	5	0	0
23	任务36	85.1	0	38.7	2	0	0	-1	MainPlayer	是这样的瑟克萨斯先生，最近这里不是经常会发生一些异变吗？我之前已经解决了蚊子的那个……	5	0	0
						0	0	14	Sekesasi	什么！那我真得替贤者之塔好好谢谢你啊！	5	0	0
						0	0	-1	MainPlayer	不不不！还有另外一件棘手的事情，你知道最近这里有小孩失踪的事情吗？	5	0	0
24	任务60	28.9	0	60.7	2	0	0	-1	MainPlayer	呃……只是推测嘛……	5	0	0
						0	0	32	ALiAoNaiEr	对啊，你看机器人们碰了它之后就狂暴了，我碰到它的时候也是头一晕，那不是这种魔法会是什么？	5	0	0
						0	0	-1	MainPlayer	我竟无言以对……不过不知道这里还有没有幸免于难的机器人啊……	5	0	0
25	任务38	85.1	0	38.7	2	0	0	-1	MainPlayer	其实还好，不过瑟克萨斯先生，这个不太像是你的东西啊？	5	0	0
						0	0	14	Sekesasi	呃……嗯……其实……是我女儿的……	5	0	0
						0	0	-1	MainPlayer	瑟克萨斯先生你原来还有个女儿？肯定很可爱~	5	0	0
