SceneID	Desc	Index	CharModelID	PosX	PosY	PosZ	RotX	RotY	RotZ	Radius	Count	IsAutoLife	AutoLifeTime	BornMonster
SHORT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	BOOL	SHORT	INT
#														
#唯一标示	策划维护，此列程序不读	当前场景物品索引	CharModel表索引	位置X	位置Y	位置Z	模型旋转X	模型旋转Y	模型旋转Z	物品分布半径	物品数量	采集后后是否自动生成	自动生成时间（s）	触发出生怪物（详见CollectBornMonster表）
5	任务-采取提神草	0	17	77.7	20	66.9	270	130	0	0	1	1	1	-1
27	任务75	0	17	84.5	1.69	59.23	270	130	0	0	1	1	1	-1
36	任务112	0	17	22.58	16.35	24.76	270	130	0	0	1	1	1	-1
21	【主】143美食38	0	53	46.17	16	43.74	270	130	0	0	1	1	1	-1
39	止疼草	0	17	57.07	24.07	50.58	270	130	0	0	1	1	1	-1
23	黄昏边境采药	0	118	14.82	18.9	88.79	0	0	0	0	1	1	1	-1
38	研究资料	0	17	10.27	22.52	64.38	270	130	0	0	1	1	1	-1
12	采集水样	0	17	11.02	24.76	35.34	270	130	0	0	1	1	1	-1
34	解毒草	0	17	49.09	15	24.01	270	130	0	0	1	1	1	4
51	草药	0	17	19.39	9.99	69.73	270	130	0	0	1	1	1	-1
