Id	Desc	Name	Icon	Tips	ClassID	SubClassID	ThirdClassID	Quality	MinLevelRequire	MaxLevelRequire	CanUse	BindType	CanSell	SellPrice	SellMoneyType	MaxStackSize	ProfessionRequire	SortId	CompoundType	CompondLevel	MaxStorageCount	HyperLinkColor	SoundID	ExistTime	DropIcon	DropScaling	DropEffectId	CanThrow	Exp	IsCanConsign	IsCanCangKu	IsCanQianKunDai	IsCanBatchUse	IsNeedAddRemind
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;																																		
#ID	（本列程序不读）	名称	图标	描述	物品分类ID	次级分类ID	三级分类ID	品质	需求等级下限	需求等级上限	可以使用	绑定类型（0无1拾取绑定2装备绑定）	可以出售给NPC	卖出价格	卖出货币类型(0铜币1点券2绑定点券)	最大堆叠数量	职业需求(-1无0狂战士1双剑士2弓箭手3魔导士)	排序显示ID	合成类别	合成级别	最大持有量	聊天栏名字颜色	音效	有效时间（单位分钟 配置上限一年即512640）	掉落显示图标	掉落图标比例	掉落特效	是否可以丢弃	经验(装备强化)	是否可以寄售	是否可以放入仓库	是否可以放入工匠之盒参与合成	是否可以批量使用	获得时是否需要弹提示
1	测试用	GM剑	Equip-weapon	GM剑	1	1	1	1	1	200	0	0	1	10	0	1	1	1000	1	1	1	1	1	-1	DiaoLuo_WuQi_DaLi	0.005	-1	0	100	0	1	0	1	0
2	测试用	大力丸	Potion	大力丸	5	1	1	1	1	200	1	0	1	10	0	1	1	8200	1	1	1	1	1	-1	DiaoLuo_HongYao	0.005	-1	0	100	0	1	0	1	0
3	测试用	打造图	PetSkillBook	打造图	2	1	1	1	1	200	0	0	1	10	0	1	1	7200	1	1	1	1	1	-1	DiaoLuo_DaZaoTu	0.005	-1	0	100	0	1	0	1	0
4	测试用	盔甲	XiuHuaXie	盔甲	1	2	1	1	1	200	0	0	1	10	0	1	1	1000	1	1	1	1	1	-1	DiaoLuo_MaoZi	0.005	-1	0	100	0	1	0	1	0
5	测试用	符文	Jewel	符文	3	1	1	1	1	200	0	0	1	10	0	1	1	9100	1	1	1	1	1	-1	DiaoLuo_BaoShi	0.005	-1	0	100	0	1	0	1	0
6	测试用	魔灵	Beauty	魔灵	3	7	1	1	1	200	0	0	1	10	0	1	1	7600	1	1	1	1	1	-1	DiaoLuo_BaoShi	0.005	-1	0	100	0	1	0	1	0
7	测试用	GM剑-狂战士	Equip-weapon	少侠，愿你有一份不悔的姻缘	1	1	1	1	1	200	0	0	1	10	0	1	0	1000	1	1	1	1	1	-1	DiaoLuo_WuQi_DaLi	0.005	-1	0	100	0	1	0	1	0
