Id	Desc	CDTime
INT	STRING	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Index;		
#ID 冷却ID	描述（程序不读）	冷却持续时间（单位:毫秒）
0	怪物攻击冷却时间	1200
1	普攻	200
14	技能公共CD	500
16	血	15000
17	蓝	15000
47	动物普攻	200
48	爪击	8000
49	淬毒	8000
50	削铁	9000
51	横扫	10000
52	阳炎	10000
53	阳炎高等级	8000
54	咆哮	20000
55	咆哮高等级	15000
56	狂野	20000
57	狂野高等级	15000
58	荆棘之狩	1000
59	熔炼之狩	1000
60	群兽怒吼	30000
61	人型普攻	200
62	永久加持类CD	200
63	疗伤	15000
64	霜瀑	15000
65	霜瀑高等级	13000
66	护主	20000
67	护主高等级	15000
68	绊足	20000
69	绊足高级	15000
70	碧波护体	20000
71	般若心经	1000
72	般若心经2	1000
73	般若心经3	1000
74	借力	25000
75	借力高级	20000
76	御敌	25000
77	御敌高级	20000
78	看破	25000
79	看破高级	20000
80	新狂野	18000
129	传送戒指	300000
139	组队召集传送技能	30000
140	聚宝盆传送技能	30000
142	组队传送技能	10
143	队员传送技能	15000
166	双剑-剑刃龙卷	12000
167	双剑-影遁	14000
168	双剑-十字斩	8000
169	双剑-死亡风暴	12000
170	双剑-突刺	9000
171	双剑-PVE/PVP变身	1000
172	双剑-3变特殊技能	12000
173	demo阶段BOSS技能1	15000
174	demo阶段BOSS技能2	15000
175	demo阶段BOSS技能3	20000
176	骑乘冲锋	20000
177	连续斩	8000
178	狂暴旋风	8000
179	裂地斩	12000
180	夺魂之镰	13000
181	变身血之盾	12000
182	变身舍命一击	10000
183	火焰弹1	15000
184	火焰弹2	16000
185	火焰弹3	17000
186	火焰弹4	18000
187	火焰弹5	19000
188	火焰弹6	20000
189	烬燃术1	15000
190	烬燃术2	16000
191	烬燃术3	17000
192	烬燃术4	18000
193	烬燃术5	19000
194	烬燃术6	20000
195	怒火燎原1	15000
196	怒火燎原2	16000
197	怒火燎原3	17000
198	怒火燎原4	18000
199	怒火燎原5	19000
200	怒火燎原6	20000
201	灼伤烈焰	45000
202	晕眩术	45000
203	烈焰狂怒1	22000
204	烈焰狂怒2	23000
205	烈焰狂怒3	24000
206	烈焰狂怒4	25000
207	强攻之火1	22000
208	强攻之火2	23000
209	强攻之火3	24000
210	强攻之火4	25000
211	空气炮1	15000
212	空气炮2	16000
213	空气炮3	17000
214	空气炮4	18000
215	空气炮5	19000
216	空气炮6	20000
217	雷暴1	15000
218	雷暴2	16000
219	雷暴3	17000
220	雷暴4	18000
221	雷暴5	19000
222	雷暴6	20000
223	气守1	22000
224	气守2	23000
225	气守3	24000
226	气守4	25000
227	极致风行1	22000
228	极致风行2	23000
229	极致风行3	24000
230	极致风行4	25000
231	致盲	45000
232	狂暴气旋1	22000
233	狂暴气旋2	23000
234	狂暴气旋3	24000
235	狂暴气旋4	25000
236	沙暴1	22000
237	沙暴2	23000
238	沙暴3	24000
239	沙暴4	25000
240	回复术	30000
241	再生术	30000
242	水流护盾1	15000
243	水流护盾2	16000
244	水流护盾3	17000
245	水流护盾4	18000
246	水流护盾5	19000
247	水流护盾6	20000
248	水之御1	22000
249	水之御2	23000
250	水之御3	24000
251	水之御4	25000
252	海啸之力1	22000
253	海啸之力2	23000
254	海啸之力3	24000
255	海啸之力4	25000
256	海洋之守1	22000
257	海洋之守2	23000
258	海洋之守3	24000
259	海洋之守4	25000
260	冰冻术	45000
261	落石1	15000
262	落石2	16000
263	落石3	17000
264	落石4	18000
265	落石5	19000
266	落石6	20000
267	木之祝福	30000
268	死亡缠绕	45000
269	裂铁术	12000
270	针刺护甲	1000
271	大地占卜1	15000
272	大地占卜2	16000
273	大地占卜3	17000
274	大地占卜4	18000
275	大地占卜5	19000
276	大地占卜6	20000
277	地脉守护	12000
278	火凤燎原	8000
279	冰封吐息	8000
280	雷暴闪烁	12000
281	冰冻世界	14000
282	熔岩巨龙	12000
283	静默立场	12000
284	双剑乱舞	8000
285	龙卷风暴	12000
286	狂怒	10000
287	旋风斩	12000
288	天崩地裂	12000
289	开山憾地	12000
290	暴风龙卷	12000
291	流星风暴	12000
292	冰霜轰爆	12000
293	制裁之雷	12000
294	世界BOSS技能1	40000
295	世界bOSS技能2	20000
