Id	Desc	Name	DescInfo	ScriptID	PlayersDemandMin	PlayersDemandMax	WaitTime	HeartbeatTime	Rule1	Rule2	Rule3	RuleTeam1	RuleTeam2	RuleTeam3	ExistTime
INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;															
#ID	描述(程序不读)	副本名称	副本描述	脚本ID	最小开启人数	最大开启人数	等待关闭时间	心跳间隔时间	单人副本简单Id	单人副本困难Id	单人副本地狱Id	组队副本简单Id	组队副本困难Id	组队副本地狱Id	副本存在时间(单位:秒)如果配置Rule表的话不走这个
0	剑湖宫	剑湖宫	剑湖宫	3000	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
1	雁门关	雁门关	雁门关	3001	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
2	武道之巅	武道之巅	武道之巅	3002	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
3	雷纳堡	雷纳堡	古老的雷纳堡里有很多不为人知的强大装备，虽然冒险但是值得去潜入探寻。	3003	1	5	60000	1000	0	1	2	3	4	5	600
4	混沌之地	混沌之地	混沌之地	3008	1	5	60000	1000	24	24	24	37	37	37	600
5	忘忧谷	忘忧谷	忘忧谷	3006	1	1	20000	5000	-1	-1	-1	-1	-1	-1	600
6	华山论剑	华山论剑	华山论剑	3007	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
7	切磋	切磋	切磋	3005	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
8	黄昏要塞	黄昏要塞	姑苏慕容乃江南第一世家，门丁家臣皆为高手。可获得装备强化材料【玄铁】	3009	1	5	60000	1000	6	7	8	9	10	11	3600
9	冰冻墓地	冰冻墓地	未知的墓地，隐藏在一片冰封之中。可获得大量金币	3010	1	5	60000	1000	18	19	20	21	22	23	600
10	机械研究所	机械研究所	被机械之灵控制的机械研究所失去了威胁。可获得经验和宝石。	3011	1	5	60000	1000	12	13	14	15	16	17	600
11	遗忘废墟	遗忘废墟	嵩山南麓之佛教名山，高手云集，为难度最高之挑战，亦可获得极佳奖励	3012	1	5	60000	1000	-1	-1	-1	25	26	27	600
12	帮战副本	帮战副本	帮战副本	3013	1	8	40000	1000	-1	-1	-1	-1	-1	-1	900
13	废弃城市	废弃城市	大宋水军威风于世。助其铲除奸细，可获得【冰魄神丹】和【一品升星丹】	3014	1	1	20000	1000	28	29	30	-1	-1	-1	600
14	世界BOSS副本	世界BOSS副本	世界BOSS副本	3015	1	8	40000	1000	-1	-1	-1	-1	-1	-1	900
15	武林大会	武林大会	武林大会	3016	1	1	20000	1000	-1	-1	-1	-1	-1	-1	600
16	恶人洞	恶人洞	恶人洞	3017	2	4	1000	1000	-1	-1	-1	31	-1	32	600
17	精英恶人洞(废弃)	精英恶人洞（废弃）	精英恶人洞（废弃）	-1	2	4	60000	1000	-1	-1	-1	-1	-1	-1	600
18	年兽-燕王古墓	年兽巢穴	后燕皇室之墓。羊年年兽竟将其霸占。可获得大量金币	3018	1	4	60000	1000	-1	-1	-1	33	-1	-1	600
19	守卫雁门关	守卫雁门关	抵御契丹南下之险隘。保家卫国，建立功勋，即可获取非凡奖励	3019	1	4	60000	1000	-1	-1	-1	34	35	36	600
20	惊天动地新手副本	惊天动地	惊天动地新手副本	3020	1	1	20000	1000	-1	-1	-1	-1	-1	-1	60000
21	试水	试水	试水	3021	1	1	60000	1000	-1	-1	-1	-1	-1	-1	600
22	再试	再试	再试	3022	1	1	60000	1000	-1	-1	-1	-1	-1	-1	600
