Id	Desc	Stamina	level	Battle	Number	StartTime	EndTime	Exp	PetExp	Money	GuidContribute	MasterContribute	Score1	RewardID1	Score2	RewardID2	Score3	RewardID3	Score4	RewardID4	Score5	RewardID5	SweepRewardID	ScoreCalcID	ExistTime	Buyback1	Buyback2
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;																											
#ID	描述(程序不读)	消耗体能	参与等级	最低战斗力	每天剩余次数	开始时间	结束时间	经验	宠物经验	金钱	帮贡	师门	S级分数	S级通关奖励ID	A级分数	A级通关奖励ID	B级分数	B级通关奖励ID	C级分数	C级通关奖励ID	D级分数	D级通关奖励ID	扫荡奖励	计算公式ID(CopySceneScoreCalc.txt中的ID)	副本存在时间(单位:秒)	回购价格	活动期间回购价格
0	机械研究所单人简单规则	0	24	12300	3	-1	-1	5000	1600	1280	0	0	100	302	85	303	70	304	50	305	1	306	1	1	600	10	50
1	机械研究所单人困难规则	0	55	108400	3	-1	-1	20000	6600	6380	0	0	100	302	85	303	70	304	50	305	1	306	2	2	600	10	50
2	机械研究所单人挑战规则	0	75	288000	3	-1	-1	80000	26600	23780	0	0	100	302	85	303	70	304	50	305	1	306	3	3	600	10	50
3	机械研究所组队简单规则	0	24	12300	2	-1	-1	8750	2900	2130	1	1	100	302	85	303	70	304	50	305	1	306	0	4	600	20	100
4	机械研究所组队困难规则	0	55	108400	2	-1	-1	35000	11600	10630	1	1	100	302	85	303	70	304	50	305	1	306	0	5	600	20	100
5	机械研究所组队挑战规则	0	75	288000	2	-1	-1	140000	46600	39630	1	1	100	302	85	303	70	304	50	305	1	306	0	6	600	20	100
6	黄昏要塞单人简单规则	0	45	61900	3	-1	-1	5000	1600	1280	0	0	100	302	85	303	70	304	50	305	1	306	4	7	600	10	50
7	黄昏要塞单人困难规则	0	60	148900	3	-1	-1	20000	6600	6380	0	0	100	302	85	303	70	304	50	305	1	306	5	8	600	10	50
8	黄昏要塞单人挑战规则	0	80	349300	3	-1	-1	80000	26600	23780	0	0	100	302	85	303	70	304	50	305	1	306	6	9	600	10	50
9	黄昏要塞组队简单规则	0	45	61900	2	-1	-1	8750	2900	2130	2	1	100	302	85	303	70	304	50	305	1	306	0	10	600	20	100
10	黄昏要塞组队困难规则	0	60	148900	2	-1	-1	35000	11600	10630	2	1	100	302	85	303	70	304	50	305	1	306	0	11	600	20	100
11	黄昏要塞组队挑战规则	0	80	349300	2	-1	-1	140000	46600	39630	2	1	100	302	85	303	70	304	50	305	1	306	0	12	600	20	100
12	雷纳堡单人简单规则	0	36	27300	3	-1	-1	5000	1600	99000	0	0	100	302	85	303	70	304	50	305	1	306	13	13	600	10	50
13	雷纳堡单人困难规则	0	50	83700	3	-1	-1	20000	6600	255000	0	0	100	302	85	303	70	304	50	305	1	306	14	14	1200	10	50
14	雷纳堡单人挑战规则	0	70	238100	3	-1	-1	80000	26600	952500	0	0	100	302	85	303	70	304	50	305	1	306	15	15	1800	10	50
15	雷纳堡组队简单规则	0	36	27300	2	-1	-1	8750	2900	165000	2	1	100	302	85	303	70	304	50	305	1	306	0	16	600	20	100
16	雷纳堡组队困难规则	0	50	83700	2	-1	-1	35000	11600	425000	2	1	100	302	85	303	70	304	50	305	1	306	0	17	1200	20	100
17	雷纳堡组队挑战规则	0	70	238100	2	-1	-1	140000	46600	1587500	2	1	100	302	85	303	70	304	50	305	1	306	0	18	1800	20	100
18	冰冻墓地单人简单规则	0	15	7200	3	-1	-1	5000	1600	1280	0	0	100	302	85	303	70	304	50	305	1	306	7	22	600	10	50
19	冰冻墓地单人困难规则	0	40	47400	3	-1	-1	20000	6600	6380	0	0	100	302	85	303	70	304	50	305	1	306	8	23	600	10	50
