Id	Desc	HitPointPer	PassTimePer	DeadTimesPer	KFactor
INT	STRING	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;					
#唯一标示	描述，策划维护，此列程序不读	[废除，无意义!]连击排名（100为基数）	通关时间（100为基数）	死亡次数（100为基数）	放大倍数（100为基数）
1	雷纳堡单人简单奖励计算规则	120	-10	-600	12000
2	雷纳堡单人困难奖励计算规则	120	-10	-600	12000
3	雷纳堡单人挑战奖励计算规则	120	-10	-600	12000
4	雷纳堡组队简单奖励计算规则	120	-10	-600	12000
5	雷纳堡组队困难奖励计算规则	120	-10	-600	12000
6	雷纳堡组队挑战奖励计算规则	120	-10	-600	12000
7	黄昏要塞单人简单奖励计算规则	120	-10	-600	12000
8	黄昏要塞单人困难奖励计算规则	120	-10	-600	12000
9	黄昏要塞单人挑战奖励计算规则	120	-10	-600	12000
10	黄昏要塞组队简单奖励计算规则	120	-10	-600	12000
11	黄昏要塞组队困难奖励计算规则	120	-10	-600	12000
12	黄昏要塞组队挑战奖励计算规则	120	-10	-600	12000
13	机械研究所单人简单奖励计算规则	120	-10	-600	12000
14	机械研究所单人困难奖励计算规则	120	-10	-600	12000
15	机械研究所单人挑战奖励计算规则	120	-10	-600	12000
16	机械研究所组队简单奖励计算规则	120	-10	-600	12000
17	机械研究所组队困难奖励计算规则	120	-10	-600	12000
18	机械研究所组队挑战奖励计算规则	120	-10	-600	12000
19	废弃都市简单	120	-10	-600	12000
20	废弃都市困难	120	-10	-600	12000
21	废弃都市挑战	120	-10	-600	12000
22	冰冻墓地单人简单规则	120	-10	-600	12000
23	冰冻墓地单人困难规则	120	-10	-600	12000
24	冰冻墓地单人挑战规则	120	-10	-600	12000
25	冰冻墓地组队简单规则	120	-10	-600	12000
26	冰冻墓地组队困难规则	120	-10	-600	12000
27	冰冻墓地组队挑战规则	120	-10	-600	12000
28	恶人洞	120	-10	-600	12000
29	精英恶人洞	120	-10	-600	12000
30	年兽巢穴组队挑战规则	120	-10	0	12000
31	守卫雁门关组队普通奖励计算规则	120	-5	-600	15000
32	守卫雁门关组队困难奖励计算规则	120	-5	-600	15000
33	守卫雁门关组队挑战奖励计算规则	120	-5	-600	15000
34	遗忘废墟组队普通奖励计算规则	120	-5	-600	15000
35	遗忘废墟组队困难奖励计算规则	120	-5	-600	15000
36	遗忘废墟组队挑战奖励计算规则	120	-5	-600	15000
