DamageBoardTypeID	Name	OriginX	OriginY	VelocityX	VelocityY	AccelerationX	AccelerationY	ShowTime	FadeTime	TextColor	OutlineColor	TextSize	MaxNum	ScaleDelayTime	TextSizeMax	ScalePlusTime	TextSizeOver	ScaleMinusTime
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING	STRING	FLOAT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#预留																		
#程序不读 ID	描述	起始坐标X	起始坐标Y	X方向初速度	Y方向初速度	X方向加速度	Y方向加速度	正常显示时间	消失效果时间	正常颜色	描边颜色	正常大小	最大显示数目	尺寸变化延迟时间	最大尺寸	由初始到最大的时间	结束尺寸	由最大到结束的时间
0	我方HP增加	0	0	0	1	0	2	0.4	0.8	70E718	262626	1	10	0	1.6	0.4	1.4	0.8
1	我方HP减少	0	0	0	1	0	2	0.4	0.8	ff0000	262626	1.3	5	0	1.6	0.4	1.4	0.8
2	我方XP增加	0	0	0	1	0	2	0.4	0.8	00ffff	262626	1	5	0	1.6	0.4	1.4	0.8
3	我方XP减少	0	0	0	1	0	2	0.4	0.8	00ffff	262626	1	5	0	1.6	0.4	1.4	0.8
4	我方MP增加	0	0	0	1	0	2	0.4	0.8	18C3E7	262626	1	10	0	1.6	0.4	1.4	0.8
5	我方MP减少	0	0	0	1	0	2	0.4	0.8	57dad8	262626	1	10	0	1.6	0.4	1.4	0.8
6	我方伙伴造成对方HP减少	0	0	0	1	0	2	0.4	0.8	ffd700	262626	1	7	0	1.6	0.4	1.4	0.8
7	我方主角造成对方HP减少	0	1.6	0	1	0	2	0.4	0.8	ffffff	ff2b2b	1	10	0	1.6	0.4	1.4	0.8
8	我方对象攻击对方时未命中	0	0	0	1	0	2	0.4	0.8	ffffff	ff2b2b	1	10	0	1.6	0.4	1.4	0.8
9	我方对象被对方攻击时未命中	0	0	0	1	0	2	0.4	0.8	E71818	262626	1	5	0	1.6	0.4	1.4	0.8
10	技能名称	0	0	0	1	0	2	0.4	0.8	ffffff	ff2b2b	1.3	10	0	1.6	0.4	1.4	0.8
11	我方攻击出暴击伤害	0	5	0	1	0	2	0.4	0.8	ffA500	ff2b2b	1	7	0	1.6	0.4	1.4	0.8
12	对方攻击出暴击伤害	0	5	0	1	0	2	0.4	0.8	E71818	262626	1.3	5	0	1.6	0.4	1.4	0.8
13	我方伙伴攻击出暴击伤害	0	0	0	1	0	2	0.4	0.8	ffd700	262626	1.3	10	0	1.6	0.4	1.4	0.8
14	我方攻击 出免疫	0	0	0	1	0	2	0.4	0.8	ffffff	ff2b2b	1	10	0	1.6	0.4	1.4	0.8
15	对方攻击 出免疫	0	0	0	1	0	2	0.4	0.8	E71818	262626	1	5	0	1.6	0.4	1.4	0.8
16	我方伙伴攻击 出免疫	0	0	0	1	0	2	0.4	0.8	ffd700	262626	1	10	0	1.6	0.4	1.4	0.8
17	我方伙伴攻击 出未命中	0	0	0	1	0	2	0.4	0.8	ffd700	262626	1	5	0	1.6	0.4	1.4	0.8
18	NPC技能名称	0	0	0	1	0	2	0.4	0.8	E71818	262626	1.3	7	0	1.6	0.4	1.4	0.8
