Id	Desc	ResPath	PosX	PosY	PosZ	RotX	RotY	RotZ	ScaleX	ScaleY	ScaleZ
INT	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;											
#ID	程序不读	资源名	坐标X	坐标Y	坐标Z	旋转X	旋转Y	旋转Z	缩放X	缩放Y	缩放Z
0	阻挡一	Boss	20	10	20	0	0	0	1	1	1
1	阻挡二	Boss	20	10	20	0	0	0	1	1	1
2	阻挡三	Boss	20	10	20	0	0	0	1	1	1
3	CabalDemo阻挡1	DynamisObstacleRoot	71.78	59.37	54.47	0	0	0	8	1	1
4	CabalDemo阻挡2	DynamisObstacleRoot	34	57.6	22.72	0	0	0	6.4	1	2.4
5	CabalDemo阻挡3	DynamisObstacleRoot	16.26	0.96	17.76	0	90	0	1	1	25.6
6	雨林之怒阻挡1	DynamisObstacleRoot	81.86	14.59	12.5	0	0	0	15.93	1	1
7	雨林之怒阻挡2	DynamisObstacleRoot	75.05	14.59	14.57	0	0	0	1	1	26.02
8	副本黄昏边境2	DynamisObstacleRoot	80.11	16.42	7.39	0	0	0	1	1	16.65
9	副本黄昏边境2	DynamisObstacleRoot	64	16.18	6	0	0	0	1	1	17.44
10	副本黄昏边境2	DynamisObstacleRoot	87.95	16.36	14.99	0	0	0	12.99	1	1
11	副本黄昏边境3	DynamisObstacleRoot	27.62	18.61	23.71	0	0	0	1	1	9.2
12	CabalDemo阻挡4	DynamisObstacleRoot	71.85	58.4	60.38	0	0	0	8	1	1
13	副本暮色雨林1	DynamisObstacleRoot	81.34	15.02	5.83	0	271.3065	0	1	1	6.34
14	副本暮色雨林1	DynamisObstacleRoot	71.42	16.82	17.31	0	268.8998	0	7.55	1	1
15	副本暮色雨林1	DynamisObstacleRoot	72.44	16.63	35.6	0	268.8998	0	9.91	1	1
