EffectID	Name	Path	DelayTime	IsOnlyDeactive	Type	ParentName	IsFellowOwner	MaxOwnNum	IsCanHide	X	Y	Z	RotationX	RotationY	RotationZ	Duration	BindTargetType
INT	STRING	STRING	FLOAT	BOOL	BYTE	STRING	BOOL	INT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BYTE
#预留																	
#本行程序不读 动画ID	描述	prefab路径或modelID	特效延迟时间	是否播放完只失效(0销毁，1不销毁只失效）	类型（0-普通 1-人物变身特效 2材质变蓝特效 3 材质变红特效）	绑定GameObjet名称（EffectPoint 通用绑定点 CenterPoint 身体中心点 HeadPoint头 LHandPoint左手 RHandPoint右手 LFootPoint左脚 RFootPoint右脚 LShoulderPoint 左肩 RShoulderPoint 右肩 RHandBackPoint 右手手指 LHandBackPoint 左手手指 AddonsPoint 附加物绑定点 MountCenterPoint 坐骑中心店 MountLFlankPoint 坐骑左翼 MountRFlankPoint 坐骑右翼 LWeaponPoint 左手武器 RWeaponPoint 右手武器）	是否随拥有者移动	同一特效同时存在的最大数量（99 表示不作限制）	是否可以被隐藏	坐标X	坐标Y	坐标Z	旋转坐标X	旋转坐标Y	旋转坐标Z	持续时间 0代表循环	与客户端枚举EEffectBindTargetType相同 0 人物 1 坐骑 2 武器 3 ui
1	少林普攻1特效	Prefab/Effect/shaolin_attack_001	0.15	1	0	EffectPoint	1	-1	1	-0.044	0.497	4.221	-3.415	280.515	2.658	0.4	0
2	少林普攻2特效	Prefab/Effect/shaolin_attack_002	0.1	1	0	EffectPoint	1	-1	1	-0.5	0	-0.8	0	0	0	0.4	0
3	少林普攻3特效	Prefab/Effect/shaolin_attack_003	0.1	1	0	EffectPoint	1	-1	1	0.2	0	1.5	0	0	0	1.5	0
4	少林罗汉棍	Prefab/Effect/shaolin_luohangun_001	0.6	1	0	EffectPoint	0	-1	1	0	0.2	2.1	0	0	0	1.5	0
5	少林摩诃无量	Prefab/Effect/shaolin_mohewuliang_001	0	1	0	EffectPoint	1	-1	1	0	0.6	0	0	0	0	0	0
6	少林XP起手特效	Prefab/Effect/shaolin_xp_loop_001	0	0	0	EffectPoint	1	-1	1	0	0.2	0	0	0	0	0	0
7	少林XP结束特效	Prefab/Effect/shaolin_xp_End_002	1.14	0	0	EffectPoint	0	-1	1	0	0.2	0	0	0	0	2.2	0
8	受击特效	Prefab/Effect/ty_shouji	0	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	0.6	0
9	天山雪特效（废弃）	Prefab/Effect/scene_xue	0	0	0	EffectPoint	1	-1	1	2.689	-6.268	1.706	0	0	0	0	0
10	放毒烟特效	Prefab/Effect/scene_shiliduanhun_001	0	0	0	EffectPoint	0	-1	1	-1.2	0	-0.3	0	0	0	10	0
11	变身	3	0	0	1	0	1	-1	1	0	0	0	0	0	0	0	0
12	逍遥普攻1特效	Prefab/Effect/loli_attack01_001	0.2	1	0	EffectPoint	0	-1	1	0.61	0.24	0.4	0	292.78	0	0.45	0
13	逍遥普攻2特效	Prefab/Effect/loli_attack02_002	0	1	0	EffectPoint	0	-1	1	0.3	0.2	-1	0	0	0	0.7	0
14	逍遥普攻3特效	Prefab/Effect/loli_attack03_003	0.3	1	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	0.8	0
15	毁天灭地起手特效	Prefab/Effect/loli_skill_xp_loop	0	0	0	EffectPoint	1	-1	1	0	1.5	0	0	0	0	2.4	0
16	毁天灭地结束特效	Prefab/Effect/loli_skill_xp_end	0	0	0	EffectPoint	0	-1	1	0	0.7	0	0	0	0	1.51	0
17	小无相功特效1	Prefab/Effect/loli_skill_shandian_001	0	1	0	EffectPoint	1	-1	1	0	2	0	0	0	0	1.3	0
18	小无相功特效2	Prefab/Effect/loli_skill_shandian_lian001	0.4	1	0	EffectPoint	1	-1	1	0	2	-0.21	0	0	0	0.5	0
19	北冥神功特效1	Prefab/Effect/loli_skill_bingshuangxinxing_001	0	1	0	EffectPoint	1	-1	1	0	1.5	0	0	0	0	2	0
