Id	Desc	ModelId	EffectId	Component	SetId	Durable	HP	HP_Per	MP	MP_Per	PhysicsAttack	PhysicsAttack_Per	MagicAttack	MagicAttack_Per	PhysicsDefence	PhysicsDefence_Per	MagicDefence	MagicDefence_Per	AttackSpeed	AttackSpeed_Per	AllAttack	AllAttack_Per	AllDefence	AllDefence_Per	AddAttrType1	AddAttrValue1	AddAttrPer1	AddAttrType2	AddAttrValue2	AddAttrPer2	AddAttrType3	AddAttrValue3	AddAttrPer3	AddAttrType4	AddAttrValue4	AddAttrPer4	AttrFactorMin	AttrFactorMax
INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;																																						
#ID	程序不读	模型Id	特效Id	部件	套装ID	耐久度	生命	生命(百分比)	法术	法术(百分比)	物理攻击	物理攻击(百分比)	法术攻击	法术攻击(百分比)	物理防御	物理防御(百分比)	法术防御	法术防御(百分比)	攻速	攻速(百分比)	全攻击	全攻击（百分比）	全防御	全防御（百分比）	附加属性类型1	附加属性值1	附加属性百分比1	附加属性类型2	附加属性值2	附加属性百分比2	附加属性类型3	附加属性值3	附加属性百分比3	附加属性类型4	附加属性值4	附加属性百分比4	属性下浮系数	属性上浮系数
1	GM剑	-1	1	1	-1	1	500	0	100	0	50	0	50	0	20	20	20	0	5	0	0	0	0	0	1	10	0.01	2	20	0	3	30	0.01	4	40	0.01	0	0
7	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01	0	0
8	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01	0	0
9	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01	0	0
10	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01	0	0
11	GM剑	-1	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01	0	0
13	鞋子	-1	1	32	-1	100	0	0	0	0	0	0	0	0	7	7	5	0	0	0	0	0	0	0	121	106	0.01	141	39	0	-1	0	0.01	-1	0	0.01	0	0
14	饰品1	-1	1	64	-1	100	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	111	73	0.01	131	78	0	-1	0	0.01	-1	0	0.01	0	0
15	饰品2	-1	1	64	-1	100	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	111	73	0.01	131	78	0	-1	0	0.01	-1	0	0.01	0	0
12119	职业橙套狂战士头部(90)1阶	-1	-1	2	65	-1	0	0	0	0	0	0	0	0	1294	0	975	0	-1	0	0	0	0	0	-1	0	0	8	288	0	-1	0	0	10	926	0	-0.2	0.2
12120	职业橙套狂战士头部(100)1阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1426	0	1074	0	-1	0	0	0	0	0	-1	0	0	8	315	0	-1	0	0	10	1016	0	-0.2	0.2
12128	职业橙套狂战士头部(80)2阶	-1	-1	2	57	-1	0	0	0	0	0	0	0	0	1196	0	902	0	-1	0	0	0	0	0	-1	0	0	8	266	0	-1	0	0	10	851	0	-0.2	0.2
12129	职业橙套狂战士头部(90)2阶	-1	-1	2	65	-1	0	0	0	0	0	0	0	0	1331	0	1004	0	-1	0	0	0	0	0	-1	0	0	8	297	0	-1	0	0	10	953	0	-0.2	0.2
