Id	Desc	Name	EquipId1	EquipId2	EquipId3	EquipId4	EffectType1	EffectValue1	EffectType2	EffectValue2	EffectType3	EffectValue3
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=512;MAX_RECORD=512;TableType=Hash;												
#ID	程序不读	套装名	套装装备ID1	套装装备ID2	套装装备ID3	套装装备ID4	2件套效果类型	2件套效果值	3件套效果类型	3件套效果值	4件套效果类型	4件套效果值
1	狂战士职业紫50级套系1	圣光祝佑	38105	38205	38305	38405	8	324	1001	298	0	2561
2	狂战士职业紫50级套系2	惩戒之力	38505	38605	38705	-1	9	324	1000	426	-1	-1
3	双剑士职业紫50级套系1	圣光祝佑	39105	39205	39305	39405	8	324	1001	298	0	2561
4	双剑士职业紫50级套系2	惩戒之力	39505	39605	39705	-1	9	324	1000	426	-1	-1
5	弓箭手职业紫50级套系1	圣光祝佑	41105	41205	41305	41405	8	324	1001	298	0	2561
6	弓箭手职业紫50级套系2	惩戒之力	41505	41605	41705	-1	9	324	1000	426	-1	-1
7	魔导士职业紫50级套系1	圣光祝佑	40105	40205	40305	40405	8	324	1001	298	0	2561
8	魔导士职业紫50级套系2	惩戒之力	40505	40605	40705	-1	9	324	1000	426	-1	-1
9	狂战士职业紫60级套系1	圣光祝佑	38106	38206	38306	38406	8	378	1001	374	0	3213
10	狂战士职业紫60级套系2	惩戒之力	38506	38606	38706	-1	9	378	1000	535	-1	-1
11	双剑士职业紫60级套系1	圣光祝佑	39106	39206	39306	39406	8	378	1001	374	0	3213
12	双剑士职业紫60级套系2	惩戒之力	39506	39606	39706	-1	9	378	1000	535	-1	-1
13	弓箭手职业紫60级套系1	圣光祝佑	41106	41206	41306	41406	8	378	1001	374	0	3213
14	弓箭手职业紫60级套系2	惩戒之力	41506	41606	41706	-1	9	378	1000	535	-1	-1
15	魔导士职业紫60级套系1	圣光祝佑	40106	40206	40306	40406	8	378	1001	374	0	3213
16	魔导士职业紫60级套系2	惩戒之力	40506	40606	40706	-1	9	378	1000	535	-1	-1
17	狂战士职业紫70级套系1	圣光祝佑	38107	38207	38307	38407	8	432	1001	460	0	3949
18	狂战士职业紫70级套系2	惩戒之力	38507	38607	38707	-1	9	432	1000	657	-1	-1
19	双剑士职业紫70级套系1	圣光祝佑	39107	39207	39307	39407	8	432	1001	460	0	3949
20	双剑士职业紫70级套系2	惩戒之力	39507	39607	39707	-1	9	432	1000	657	-1	-1
21	弓箭手职业紫70级套系1	圣光祝佑	41107	41207	41307	41407	8	432	1001	460	0	3949
22	弓箭手职业紫70级套系2	惩戒之力	41507	41607	41707	-1	9	432	1000	657	-1	-1
23	魔导士职业紫70级套系1	圣光祝佑	40107	40207	40307	40407	8	432	1001	460	0	3949
24	魔导士职业紫70级套系2	惩戒之力	40507	40607	40707	-1	9	432	1000	657	-1	-1
25	狂战士职业紫80级套系1	圣光祝佑	38108	38208	38308	38408	8	486	1001	556	0	4775
26	狂战士职业紫80级套系2	惩戒之力	38508	38608	38708	-1	9	486	1000	795	-1	-1
27	双剑士职业紫80级套系1	圣光祝佑	39108	39208	39308	39408	8	486	1001	556	0	4775
28	双剑士职业紫80级套系2	惩戒之力	39508	39608	39708	-1	9	486	1000	795	-1	-1
29	弓箭手职业紫80级套系1	圣光祝佑	41108	41208	41308	41408	8	486	1001	556	0	4775
30	弓箭手职业紫80级套系2	惩戒之力	41508	41608	41708	-1	9	486	1000	795	-1	-1
