Id	Desc	TransferId
INT	STRING	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;		
#ID	程序不读	转换后ID
59254	职业神器少林武器(60)	42606
59255	职业神器少林武器(70)	42607
59256	职业神器少林武器(80)	42608
59257	职业神器少林武器(90)	42609
59258	职业神器少林武器(100)	42610
59259	职业神器天山武器(60)	43606
59260	职业神器天山武器(70)	43607
59261	职业神器天山武器(80)	43608
59262	职业神器天山武器(90)	43609
59263	职业神器天山武器(100)	43610
59264	职业神器逍遥武器(60)	44606
59265	职业神器逍遥武器(70)	44607
59266	职业神器逍遥武器(80)	44608
59267	职业神器逍遥武器(90)	44609
59268	职业神器逍遥武器(100)	44610
59269	职业神器大理武器(60)	45606
59270	职业神器大理武器(70)	45607
59271	职业神器大理武器(80)	45608
59272	职业神器大理武器(90)	45609
59273	职业神器大理武器(100)	45610
59274	Vip神器少林武器(90)	59017
59275	Vip神器天山武器(90)	59018
59276	Vip神器逍遥武器(90)	59019
59277	Vip神器大理武器(90)	59020
68105	职业橙套丐帮武器(60)	66606
68106	职业橙套丐帮武器(70)	66607
68107	职业橙套丐帮武器(80)	66608
68108	职业橙套丐帮武器(90)	66609
68109	职业橙套丐帮武器(100)	66610
68110	VIP神器丐帮武器(90)	68001
12118	职业橙套少林头部(80)1阶	42108
12218	职业橙套少林上衣(80)1阶	42208
12318	职业橙套少林下衣(80)1阶	42308
12418	职业橙套少林鞋子(80)1阶	42408
12518	职业橙套少林手腕(80)1阶	42508
12618	职业橙套少林武器(80)1阶	42608
12718	职业橙套少林饰品1(80)1阶	42708
12818	职业橙套少林饰品2(80)1阶	42808
12128	职业橙套少林头部(80)2阶	42108
12228	职业橙套少林上衣(80)2阶	42208
12328	职业橙套少林下衣(80)2阶	42308
12428	职业橙套少林鞋子(80)2阶	42408
12528	职业橙套少林手腕(80)2阶	42508
12628	职业橙套少林武器(80)2阶	42608
12728	职业橙套少林饰品1(80)2阶	42708
12828	职业橙套少林饰品2(80)2阶	42808
12138	职业橙套少林头部(80)3阶	42108
12238	职业橙套少林上衣(80)3阶	42208
12338	职业橙套少林下衣(80)3阶	42308
12438	职业橙套少林鞋子(80)3阶	42408
12538	职业橙套少林手腕(80)3阶	42508
12638	职业橙套少林武器(80)3阶	42608
12738	职业橙套少林饰品1(80)3阶	42708
12838	职业橙套少林饰品2(80)3阶	42808
12148	职业橙套少林头部(80)4阶	42108
12248	职业橙套少林上衣(80)4阶	42208
12348	职业橙套少林下衣(80)4阶	42308
12448	职业橙套少林鞋子(80)4阶	42408
12548	职业橙套少林手腕(80)4阶	42508
12648	职业橙套少林武器(80)4阶	42608
12748	职业橙套少林饰品1(80)4阶	42708
12848	职业橙套少林饰品2(80)4阶	42808
12158	职业橙套少林头部(80)5阶	42108
12258	职业橙套少林上衣(80)5阶	42208
12358	职业橙套少林下衣(80)5阶	42308
12458	职业橙套少林鞋子(80)5阶	42408
12558	职业橙套少林手腕(80)5阶	42508
12658	职业橙套少林武器(80)5阶	42608
12758	职业橙套少林饰品1(80)5阶	42708
12858	职业橙套少林饰品2(80)5阶	42808
12119	职业橙套少林头部(90)1阶	42109
12219	职业橙套少林上衣(90)1阶	42209
12319	职业橙套少林下衣(90)1阶	42309
12419	职业橙套少林鞋子(90)1阶	42409
12519	职业橙套少林手腕(90)1阶	42509
12619	职业橙套少林武器(90)1阶	42609
12719	职业橙套少林饰品1(90)1阶	42709
12819	职业橙套少林饰品2(90)1阶	42809
12129	职业橙套少林头部(90)2阶	42109
12229	职业橙套少林上衣(90)2阶	42209
12329	职业橙套少林下衣(90)2阶	42309
12429	职业橙套少林鞋子(90)2阶	42409
12529	职业橙套少林手腕(90)2阶	42509
12629	职业橙套少林武器(90)2阶	42609
12729	职业橙套少林饰品1(90)2阶	42709
12829	职业橙套少林饰品2(90)2阶	42809
12139	职业橙套少林头部(90)3阶	42109
12239	职业橙套少林上衣(90)3阶	42209
12339	职业橙套少林下衣(90)3阶	42309
12439	职业橙套少林鞋子(90)3阶	42409
12539	职业橙套少林手腕(90)3阶	42509
12639	职业橙套少林武器(90)3阶	42609
12739	职业橙套少林饰品1(90)3阶	42709
12839	职业橙套少林饰品2(90)3阶	42809
12149	职业橙套少林头部(90)4阶	42109
12249	职业橙套少林上衣(90)4阶	42209
12349	职业橙套少林下衣(90)4阶	42309
12449	职业橙套少林鞋子(90)4阶	42409
12549	职业橙套少林手腕(90)4阶	42509
12649	职业橙套少林武器(90)4阶	42609
12749	职业橙套少林饰品1(90)4阶	42709
12849	职业橙套少林饰品2(90)4阶	42809
12159	职业橙套少林头部(90)5阶	42109
12259	职业橙套少林上衣(90)5阶	42209
12359	职业橙套少林下衣(90)5阶	42309
