Level	Desc	ConsumeType	ConsumeSubType	ConsumeNum	NeedCoin	AttrRate	ShowRate	MaxSatrTimes
INT	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Index;								
#星级	程序不读	消耗类型	消耗子类型	消耗数量	消耗金币	提升属性比例	客户端显示用的成功概率	打星失败最大次数
1	白	5	24	1	1100	0.017	1	0
2	白	5	24	1	1100	0.033	1	0
3	白	5	24	1	1100	0.05	1	0
4	白	5	24	1	1100	0.067	1	0
5	白	5	24	1	1100	0.083	1	0
6	白	5	24	1	1100	0.1	0.75	2
7	白	5	24	1	1100	0.117	0.75	2
8	白	5	24	1	1100	0.133	0.75	2
9	白	5	24	1	1100	0.15	0.75	2
10	白	5	24	1	1100	0.167	0.75	2
11	白	5	24	1	1100	0.183	0.65	4
12	白	5	24	1	1100	0.2	0.65	4
13	绿	5	24	1	1100	0.217	0.65	4
14	绿	5	24	1	1100	0.233	0.65	4
15	绿	5	24	1	1100	0.25	0.65	4
16	绿	5	24	1	1100	0.267	0.55	4
17	绿	5	24	1	1100	0.283	0.55	4
18	绿	5	24	1	1100	0.3	0.55	4
19	绿	5	24	1	1100	0.317	0.55	4
20	绿	5	24	1	1100	0.333	0.55	4
21	绿	5	24	1	1100	0.35	0.45	6
22	绿	5	24	1	1100	0.367	0.45	6
23	绿	5	24	1	1100	0.383	0.45	6
24	绿	5	24	1	1100	0.4	0.45	6
25	蓝	5	24	2	2200	0.417	0.45	6
26	蓝	5	24	2	2200	0.433	0.35	9
27	蓝	5	24	2	2200	0.45	0.35	9
28	蓝	5	24	2	2200	0.467	0.35	9
29	蓝	5	24	2	2200	0.483	0.35	9
30	蓝	5	24	2	2200	0.5	0.35	9
31	蓝	5	24	2	2200	0.517	0.35	11
32	蓝	5	24	2	2200	0.533	0.35	11
33	蓝	5	24	2	2200	0.55	0.35	11
34	蓝	5	24	2	2200	0.567	0.35	11
35	蓝	5	24	2	2200	0.583	0.35	11
36	蓝	5	24	2	2200	0.6	0.25	12
37	紫	5	24	5	5400	0.617	0.25	12
38	紫	5	24	6	6500	0.633	0.25	12
39	紫	5	24	7	7600	0.65	0.25	12
40	紫	5	24	8	8700	0.667	0.25	12
41	紫	5	24	9	9800	0.683	0.25	14
42	紫	5	24	10	10900	0.7	0.25	14
43	紫	5	24	11	12000	0.717	0.25	14
44	紫	5	24	12	13100	0.733	0.25	14
45	紫	5	24	13	14200	0.75	0.25	14
46	紫	5	24	14	15200	0.767	0.15	15
47	紫	5	24	15	16300	0.783	0.15	15
48	紫	5	24	16	17400	0.8	0.15	15
49	橙	5	24	18	19600	0.817	0.15	15
50	橙	5	24	20	21800	0.833	0.15	15
51	橙	5	24	22	24000	0.85	0.15	20
52	橙	5	24	24	26100	0.867	0.15	20
53	橙	5	24	26	28300	0.883	0.15	20
54	橙	5	24	28	30500	0.9	0.15	20
55	橙	5	24	30	32700	0.917	0.15	20
56	橙	5	24	32	34900	0.933	0.05	24
57	橙	5	24	34	37000	0.95	0.05	24
58	橙	5	24	36	39200	0.967	0.05	24
59	橙	5	24	38	41400	0.983	0.05	24
60	橙	5	24	40	43600	1	0.05	30
