Id	Desc	FakeObjModel	AnimPath	XOffSet	YOffSet	ZOffset	XRotation	YRotation	ZRotation	IsPlayer	Effect	Bone
INT	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	STRING
#												
#ID	名称	模型路径	动作路径	X方向偏移	Y方向偏移	Z方向偏移	X方向旋转	Y方向旋转	Z方向旋转	是否是玩家	特效ID	绑定节点路径
0	白马	Qicheng_001_baima_001		0	-2.8	0	355	288	0	0	0	
1	红马	Qicheng_001_baima_002		0	-2.8	0	355	288	0	0	0	
2	狼	Monster_001_zonglang_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	335	0	0	0	
3	背包_狂战士	Zy_kuangzhanshi_000_001	Animation/Player/KuangZhanShi	1.03	-3.09	-1.31	3.6	313.6	356	1	0	
4	背包_双剑士	Zy_shuangjianshi_000_001	Animation/Player/ShuangJianShi	0.54	-2.69	-0.24	4.46	328.6	357.4	1	0	
5	背包_魔导士	Zy_modaoshi_000_001	Animation/Player/MoDaoShi	0.76	-2.96	-0.86	3.3	308.6	356	1	0	
6	背包_弓箭手	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	0.42	-2.48	-0.14	4.67	333.7	357.8	1	0	
7	人物_狂战士	Zy_kuangzhanshi_000_001	Animation/Player/KuangZhanShi	0.98	-2.87	0.01	2.93	303.6	355.7	1	0	
8	人物_双剑士	Zy_shuangjianshi_000_001	Animation/Player/ShuangJianShi	0.78	-2.65	0.33	6.95	320.66	358.59	1	0	
9	人物_魔导士	Zy_modaoshi_000_001	Animation/Player/MoDaoShi	0.8	-2.66	0.37	1.78	305.5	358.9	1	0	
10	人物_弓箭手	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	1.28	-3	-0.2	4.67	333.7	357.8	1	0	
11	成年二哈	Npc_petgou_001	Animation/NPC/dongwu/dagou	-0.23	-2.2	0.9	0	22.67	0	0	0	
12	变异小猎犬	Npc_petgou_002	Animation/NPC/dongwu/dagou	-0.23	-2.2	0.9	0	22.67	0	0	0	
13	豹	Npc_001_baozi_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
14	进化豹	Npc_001_baozi_003	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
15	虎	Npc_001_hu_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
16	进化虎	Npc_001_hu_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
17	狮	Npc_001_shizi_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
18	进化狮	Npc_001_shizi_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0	0	
19	熊	Npc_001_xiong_001	Animation/NPC/Animal/Bear	0.17	-2.2	-0.37	0	300	0	0	0	
20	钟灵	Npc_001_zhongling_001	Animation/NPC/Women/Loli/One_Sword	-0.29	-2.2	0.61	0	335	0	0	0	
21	甘宝宝	Npc_001_ganbaobao_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
22	马夫人	Npc_001_kangmin_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
23	木婉清	Npc_001_muwanqing_001	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
24	刀白凤	Npc_001_daobaifeng_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
25	阿朱	Npc_001_azhu_001	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
26	王语嫣	Npc_001_wangyuyan_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
27	穷奇	Npc_001_qiongqi_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	296.4	0	0	0	
28	结婚马车	Qicheng_001_jiehunmache_001		0.85	-3.34	-0.87	353.5	286.2	0	0	0	
29	古刹石狮	Qicheng_001_shishizi_001		1	-3	-0.6	356	284.8	0	0	0	
30	战狮	Qicheng_001_shizi_001		0.9	-2.6	0	355	283	0	0	0	
31	麒麟	Qicheng_001_qilin_001		1	-3	-0.6	356	284.8	0	0	0	
32	笨雕	Qicheng_001_bendiao_001		0.65	-3	-0.14	351	283	1	0	0	
33	天山童姥	Npc_001_tianshantonglao_001	Animation/NPC/Women/Loli/No_Weapon	-0.22	-2.43	0.28	0	335	0	0	0	
34	秦红棉	Npc_001_qinhongmian_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
35	阮星竹	Npc_001_ruanxingzhu_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
36	阿碧	Npc_001_azhu_002	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
37	阿紫	Npc_001_azi_001	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
38	李秋水	Npc_001_liqiushui_001	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
39	王夫人	Npc_001_liqingluo_001	Animation/NPC/Women/MatureFemale/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
40	西夏公主	Npc_001_menggu_001	Animation/NPC/Women/MatureFemale/One_Sword	-0.22	-2.43	0.28	0	335	0	0	0	
41	汗血马	Qicheng_001_baima_003		0	-2.8	0	355	288	0	0	0	
42	闪电貂	Npc_001_shandiandiao_001	Animation/NPC/Animal/Mouse	-0.3	-2.2	0.6	0	300	0	0	0	
43	血麒麟	Qicheng_001_qilin_002		1	-3	-0.6	356	284.8	0	0	0	
44	VIP宝宝	Npc_001_xiaodiao_001	Animation/NPC/Animal/Bird	0.56	-3.2	-1.7	0	300	0	0	0	
45	熊猫坐骑	Qicheng_001_xiongmao_001	Animation/Ride/Panda	0.2	-2.5	0	0	300	0	0	0	
46	陆行金雕	Qicheng_001_bendiao_002		0.5	-2.8	-0.14	351	290	1	0	0	
47	凤凰	Qicheng_001_fenghuang_001		0.2	-3.5	-0.6	351	290	1	0	0	
48	圣诞雪人	Npc_001_xiaoxueren_001	Animation/NPC/Man/Special/Snowman	-0.65	-1.82	1.2	0	335	0	0	0	
49	火狐	Npc_001_huohu_001	Animation/NPC/Animal/Fox	-0.35	-2	0.85	0	300	0	0	0	
50	凤凰	Npc_001_fenghuang_001	Animation/NPC/Animal/Bird	1	-3.7	-1.7	0	300	0	0	0	
51	天龙	Qicheng_001_tianlong_001	Animation/Ride/Tianlong	1.8	-3.7	-2.4	355	288	0	0	0	
52	羊年年兽	Qicheng_001_yangnianshou_001	Animation/Ride/Tianlong	1	-3	-0.6	356	284.8	0	0	0	
53	凤凰	Qicheng_001_fenghuang_003	Animation/NPC/Animal/Bird	1	-3.7	-1.7	0	300	0	0	0	
54	金龙	Qicheng_001_tianlong_002	Animation/Ride/Tianlong	1.8	-3.7	-2.4	355	288	0	0	0	
55	凤凰	Npc_001_fenghuang_001	Animation/NPC/Animal/Bird	1	-3.7	-1.7	0	300	0	0	0	
56	乔峰	Npc_001_qiaofeng_001	Animation/NPC/Man/Strong/No_Weapon	-0.22	-2.43	0.28	0	335	0	0	0	
57	段誉	Npc_001_duanyu_001	Animation/NPC/Man/MatureMan/Magic	-0.22	-2.43	0.28	0	335	0	0	0	
58	虚竹	Npc_001_xuzhu_001	Animation/NPC/Man/MatureMan/No_Weapon	-0.22	-2.43	0.28	0	335	0	0	0	
59	羊小咩	Npc_001_yangmiemie_001	Animation/NPC/Animal/Sheep_mini	-0.35	-2	0.85	0	300	0	0	0	
60	龙宝宝伙伴	Npc_001_tianlong_001	Animation/NPC/Animal/Dragon	2.5	-4.3	-2.9	0	270	0	0	0	
61	背包_丐帮	Sz_gaibang_xsz	Animation/Player/Dali_001	0.27	-2.6	0	4.46	321.8	357.41	1	0	
