INDEX	DRS	ID	Duty	Name	MODE	LEVEL	BASE1ID	BASE1VLUE	BASE2ID	BASE2VLUE	BASE3ID	BASE3VLUE	BASE4ID	BASE4VLUE	BASE5ID	BASE5VLUE	BASE6ID	BASE6VLUE	ABSORBNUM	ABSORBID	ABSORBVLUE
INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;																					
#序号		#翅膀等级ID	"#可以使用的职业(1,少林 ，2天山，4大理，8逍遥)"	#名字	#对应资源名字	#拥有的阶段数，最大值为阶段数上限	#基础属性1类型	##基础属性1数值	#基础属性2类型	#基础属性2数值	#基础属性3类型	#基础属性3数值	#基础属性4类型	#基础属性4数值	#基础属性5类型	#基础属性5数值	#基础属性6类型	#基础属性6数值	#当前阶段的吸收次数，配置的最大值为进阶需要吸收的次数	#当前吸收下的加成属性类型	#当前吸收下的加成属性数值
0		1		一阶天使翅膀	Cb_yumao_001_001	1	0	499	1	125	3	83	4	83	7	14	9	8	1	0	0
1		1		一阶天使翅膀	Cb_yumao_001_001	1	0	999	1	250	3	166	4	166	7	27	9	15	2	3	0
2		1		一阶天使翅膀	Cb_yumao_001_001	1	0	1498	1	375	3	250	4	250	7	41	9	23	3	4	0
3		1		一阶天使翅膀	Cb_yumao_001_001	1	0	1997	1	499	3	333	4	333	7	54	9	31	4	7	0
4		1		一阶天使翅膀	Cb_yumao_001_001	1	0	2497	1	624	3	416	4	416	7	68	9	39	5	9	0
5		1		二阶天使翅膀	Cb_yumao_001_001	2	0	2996	1	749	3	499	4	499	7	81	9	46	3	0	0
6		1		二阶天使翅膀	Cb_yumao_001_001	2	0	3496	1	874	3	582	4	582	7	95	9	54	4	3	0
7		1		二阶天使翅膀	Cb_yumao_001_001	2	0	3995	1	999	3	666	4	666	7	108	9	62	5	4	0
8		1		二阶天使翅膀	Cb_yumao_001_001	2	0	4494	1	1124	3	749	4	749	7	122	9	69	6	7	0
9		1		二阶天使翅膀	Cb_yumao_001_001	2	0	4994	1	1248	3	832	4	832	7	135	9	77	7	9	0
10		1		三阶天使翅膀	Cb_yumao_001_002	3	0	5493	1	1373	3	915	4	915	7	149	9	85	5	0	0
11		1		三阶天使翅膀	Cb_yumao_001_002	3	0	5992	1	1498	3	998	4	998	7	162	9	93	6	3	0
12		1		三阶天使翅膀	Cb_yumao_001_002	3	0	6492	1	1623	3	1082	4	1082	7	176	9	100	7	4	0
13		1		三阶天使翅膀	Cb_yumao_001_002	3	0	6991	1	1748	3	1165	4	1165	7	189	9	108	8	7	0
14		1		三阶天使翅膀	Cb_yumao_001_002	3	0	7490	1	1873	3	1248	4	1248	7	203	9	116	9	9	0
15		1		四阶天使翅膀	Cb_yumao_001_002	4	0	7990	1	1997	3	1331	4	1331	7	216	9	124	7	0	0
16		1		四阶天使翅膀	Cb_yumao_001_002	4	0	8489	1	2122	3	1414	4	1414	7	230	9	131	8	3	0
17		1		四阶天使翅膀	Cb_yumao_001_002	4	0	8988	1	2247	3	1498	4	1498	7	243	9	139	9	4	0
18		1		四阶天使翅膀	Cb_yumao_001_002	4	0	9488	1	2372	3	1581	4	1581	7	257	9	147	10	7	0
19		1		四阶天使翅膀	Cb_yumao_001_002	4	0	9987	1	2497	3	1664	4	1664	7	270	9	154	11	9	0
20		1		五阶天使翅膀	Cb_yumao_001_003	5	0	10487	1	2622	3	1747	4	1747	7	284	9	162	9	0	0
21		1		五阶天使翅膀	Cb_yumao_001_003	5	0	10986	1	2746	3	1830	4	1830	7	297	9	170	10	3	0
22		1		五阶天使翅膀	Cb_yumao_001_003	5	0	11485	1	2871	3	1914	4	1914	7	311	9	178	11	4	0
23		1		五阶天使翅膀	Cb_yumao_001_003	5	0	11985	1	2996	3	1997	4	1997	7	324	9	185	12	7	0
24		1		五阶天使翅膀	Cb_yumao_001_003	5	0	12484	1	3121	3	2080	4	2080	7	338	9	193	13	9	0
25		1		六阶天使翅膀	Cb_yumao_001_003	6	0	12983	1	3246	3	2163	4	2163	7	352	9	201	11	0	0
26		1		六阶天使翅膀	Cb_yumao_001_003	6	0	13483	1	3371	3	2246	4	2246	7	365	9	208	12	3	0
27		1		六阶天使翅膀	Cb_yumao_001_003	6	0	13982	1	3496	3	2330	4	2330	7	379	9	216	13	4	0
28		1		六阶天使翅膀	Cb_yumao_001_003	6	0	14481	1	3620	3	2413	4	2413	7	392	9	224	14	7	0
29		1		六阶天使翅膀	Cb_yumao_001_003	6	0	14981	1	3745	3	2496	4	2496	7	406	9	232	15	9	0
