Id	Desc	StartTime	EndTime	ItemID	StackSize	MaxBuyCount	Price
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Hash;							
#商品ID	描述	开始时间	结束时间	物品ID(对应CommonID表ID)	堆叠数量	最大购买数量	消耗个人点券
0	磁芯碎片	1111111111	2000000000	23	1	100	9
1	完整磁心	1111111111	2000000000	60	1	100	81
2	优质磁心	1111111111	2000000000	61	1	100	792
3	打星石	1111111111	2000000000	24	1	100	48
4	找好友	1111111111	2000000000	59	1	100	20
5	符文转换药剂	1111111111	2000000000	104	1	100	10
6	魔灵转换药剂	1111111111	2000000000	105	1	100	10
7	清心胶囊	1111111111	2000000000	4084	1	100	50
8	翅膀升级用羽毛	1111111111	2000000000	71001	1	100	90
9	宠物蛋（砸开可得到宠物）	1111111111	2000000000	71002	1	100	200
10	宠物火元素升级技能书	1111111111	2000000000	71009	1	100	8
11	宠物气元素升级技能书	1111111111	2000000000	71010	1	100	8
12	宠物水元素升级技能书	1111111111	2000000000	71011	1	100	8
13	宠物地元素升级技能书	1111111111	2000000000	71012	1	100	8
14	技能书材料	1111111111	2000000000	100001	1	100	80
15	雾影寻踪	1111111111	2000000000	59	1	100	9
