Id	Desc	Name	Type	MiniLevel	MaxLevel	Weight	MissionID	AwardMoney	AwardExp
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=199;MAX_RECORD=200;TableType=Index;									
#ID(索引不可跳跃)	策划维护	分类名称	分类(0寻人1杀怪计数2寻物3副本 PS：此分类和任务分类无关)	任务最小可接等级	任务最大可接等级	刷新权重	任务ID	金钱奖励	经验奖励
1	【帮会】无量山除恶	杀怪任务	1	10	200	3	271	540	900
2	【帮会】无量山除恶	杀怪任务	1	10	200	3	272	540	900
3	【帮会】无量山除恶	杀怪任务	1	10	200	3	273	540	900
4	【帮会】万劫谷除恶	杀怪任务	1	15	200	3	274	540	900
5	【帮会】万劫谷除恶	杀怪任务	1	15	200	3	275	540	900
6	【帮会】万劫谷除恶	杀怪任务	1	15	200	3	276	540	900
7	【帮会】苍山除恶	杀怪任务	1	20	200	3	277	540	900
8	【帮会】苍山除恶	杀怪任务	1	20	200	3	278	540	900
9	【帮会】苍山除恶	杀怪任务	1	20	200	3	279	540	900
10	【帮会】燕子坞除恶	杀怪任务	1	30	200	3	280	540	900
11	【帮会】燕子坞除恶	杀怪任务	1	30	200	3	281	540	900
12	【帮会】燕子坞除恶	杀怪任务	1	30	200	3	282	540	900
13	【帮会】小镜湖除恶	杀怪任务	1	35	200	3	283	540	900
14	【帮会】小镜湖除恶	杀怪任务	1	35	200	3	284	540	900
15	【帮会】小镜湖除恶	杀怪任务	1	35	200	3	285	540	900
16	【帮会】杏子林除恶	杀怪任务	1	40	200	3	286	540	900
17	【帮会】杏子林除恶	杀怪任务	1	40	200	3	287	540	900
18	【帮会】杏子林除恶	杀怪任务	1	40	200	3	288	540	900
19	【帮会】聚贤庄除恶	杀怪任务	1	40	200	3	289	540	900
20	【帮会】聚贤庄除恶	杀怪任务	1	40	200	3	290	540	900
21	【帮会】聚贤庄除恶	杀怪任务	1	40	200	3	291	540	900
22	【帮会】少室山除恶	杀怪任务	1	45	200	3	292	540	900
23	【帮会】少室山除恶	杀怪任务	1	45	200	3	293	540	900
24	【帮会】少室山除恶	杀怪任务	1	45	200	3	294	540	900
25	【帮会】雁门关除恶	杀怪任务	1	50	200	3	295	540	900
26	【帮会】雁门关除恶	杀怪任务	1	50	200	3	296	540	900
27	【帮会】雁门关除恶	杀怪任务	1	50	200	3	297	540	900
28	【帮会】敦煌除恶	杀怪任务	1	55	200	3	298	540	900
29	【帮会】敦煌除恶	杀怪任务	1	55	200	3	299	540	900
30	【帮会】敦煌除恶	杀怪任务	1	55	200	3	300	540	900
31	【帮会】雪原除恶	杀怪任务	1	60	200	3	301	540	900
32	【帮会】雪原除恶	杀怪任务	1	60	200	3	302	540	900
33	【帮会】雪原除恶	杀怪任务	1	60	200	3	303	540	900
34	【帮会】缥缈峰除恶	杀怪任务	1	65	200	3	304	540	900
35	【帮会】缥缈峰除恶	杀怪任务	1	65	200	3	305	540	900
36	【帮会】缥缈峰除恶	杀怪任务	1	65	200	3	306	540	900
37	【帮会】丐帮除恶	杀怪任务	1	40	200	3	307	540	900
38	【帮会】丐帮除恶	杀怪任务	1	40	200	3	308	540	900
39	【帮会】丐帮除恶	杀怪任务	1	40	200	3	309	540	900
40	【帮会】琅嬛福地除恶	杀怪任务	1	85	200	3	310	540	900
41	【帮会】琅嬛福地除恶	杀怪任务	1	85	200	3	311	540	900
42	【帮会】琅嬛福地除恶	杀怪任务	1	85	200	3	312	540	900
43	【帮会】收集物资	帮会任务	2	10	200	3	313	540	900
44	【帮会】收集物资	帮会任务	2	10	200	3	314	540	900
45	【帮会】收集物资	帮会任务	2	10	200	3	315	540	900
46	【帮会】掌门问候	帮会任务	0	10	200	3	316	540	900
47	【帮会】掌门问候	帮会任务	0	10	200	3	317	540	900
48	【帮会】掌门问候	帮会任务	0	10	200	3	318	540	900
49	【帮会】燕子坞—同帮	副本任务	3	20	200	1	319	900	1440
50	【帮会】燕王古墓—同帮	副本任务	3	30	200	1	320	900	1440
51	【帮会】珍珑棋局—同帮	副本任务	3	20	200	1	321	900	1440
52	【帮会】聚贤庄—同帮	副本任务	3	25	200	1	322	900	1440
53	【帮会】少室山—同帮	副本任务	3	70	200	1	323	900	1440
