Id	Desc	MoneyFactor	ExpFactor	MoneyQualityFactor0	MoneyQualityFactor1	MoneyQualityFactor2	MoneyQualityFactor3	MoneyQualityFactor4	ExpQualityFactor0	ExpQualityFactor1	ExpQualityFactor2	ExpQualityFactor3	ExpQualityFactor4
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=999;MAX_RECORD=1000;TableType=Index;													
#ID(索引不可跳跃)	策划维护(角色等级)	金币奖励系数	经验奖励系数	金币系数(白色品质)	金币系数(绿色品质)	金币系数(蓝色品质)	金币系数(紫色品质)	金币系数(橙色品质)	经验系数(白色品质)	经验系数(绿色品质)	经验系数(蓝色品质)	经验系数(紫色品质)	经验系数(橙色品质)
1	1	0.2	6	1	1	1	1	1	1	1	1	1	1
2	2	0.4	8	1	1	1	1	1	1	1	1	1	1
3	3	0.6	10	1	1	1	1	1	1	1	1	1	1
4	4	0.8	12	1	1	1	1	1	1	1	1	1	1
5	5	1	14	1	1	1	1	1	1	1	1	1	1
6	6	1.2	16	1	1	1	1	1	1	1	1	1	1
7	7	1.4	18	1	1	1	1	1	1	1	1	1	1
8	8	1.6	20	1	1	1	1	1	1	1	1	1	1
9	9	1.8	22	1	1	1	1	1	1	1	1	1	1
10	10	2	24	1	1	1	1	1	1	1	1	1	1
11	11	2.2	26	1	1	1	1	1	1	1	1	1	1
12	12	2.4	28	1	1	1	1	1	1	1	1	1	1
13	13	2.6	30	1	1	1	1	1	1	1	1	1	1
14	14	2.8	32	1	1	1	1	1	1	1	1	1	1
15	15	3	34	1	1	1	1	1	1	1	1	1	1
16	16	3.2	36	1	1	1	1	1	1	1	1	1	1
17	17	3.4	38	1	1	1	1	1	1	1	1	1	1
18	18	3.6	40	1	1	1	1	1	1	1	1	1	1
19	19	3.8	42	1	1	1	1	1	1	1	1	1	1
20	20	4	44	1	1	1	1	1	1	1	1	1	1
21	21	4.2	46	1	1	1	1	1	1	1	1	1	1
22	22	4.4	48	1	1	1	1	1	1	1	1	1	1
23	23	4.6	50	1	1	1	1	1	1	1	1	1	1
24	24	4.8	52	1	1	1	1	1	1	1	1	1	1
25	25	5	54	1	1	1	1	1	1	1	1	1	1
26	26	5.2	56	1	1	1	1	1	1	1	1	1	1
27	27	5.4	58	1	1	1	1	1	1	1	1	1	1
28	28	5.6	60	1	1	1	1	1	1	1	1	1	1
29	29	5.8	62	1	1	1	1	1	1	1	1	1	1
30	30	6	64	1	1	1	1	1	1	1	1	1	1
31	31	6.2	66	1	1	1	1	1	1	1	1	1	1
32	32	6.4	68	1	1	1	1	1	1	1	1	1	1
33	33	6.6	70	1	1	1	1	1	1	1	1	1	1
34	34	6.8	72	1	1	1	1	1	1	1	1	1	1
35	35	7	74	1	1	1	1	1	1	1	1	1	1
36	36	7.2	76	1	1	1	1	1	1	1	1	1	1
37	37	7.4	78	1	1	1	1	1	1	1	1	1	1
38	38	7.6	80	1	1	1	1	1	1	1	1	1	1
39	39	7.8	82	1	1	1	1	1	1	1	1	1	1
40	40	8	84	1	1	1	1	1	1	1	1	1	1
41	41	8.2	86	1	1	1	1	1	1	1	1	1	1
42	42	8.4	88	1	1	1	1	1	1	1	1	1	1
43	43	8.6	90	1	1	1	1	1	1	1	1	1	1
44	44	8.8	92	1	1	1	1	1	1	1	1	1	1
45	45	9	94	1	1	1	1	1	1	1	1	1	1
46	46	9.2	96	1	1	1	1	1	1	1	1	1	1
47	47	9.4	98	1	1	1	1	1	1	1	1	1	1
48	48	9.6	100	1	1	1	1	1	1	1	1	1	1
49	49	9.8	102	1	1	1	1	1	1	1	1	1	1
50	50	10	104	1	1	1	1	1	1	1	1	1	1
51	51	10.2	106	1	1	1	1	1	1	1	1	1	1
52	52	10.4	108	1	1	1	1	1	1	1	1	1	1
