Id	Desc	OpenLevel	ItemID	StackSize	MaxBuyCount	Price
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Hash;						
#商品ID	描述	开放等级	物品ID(对应CommonID表ID)	堆叠数量	最大购买数量	消耗个人帮会积分
0	玄铁	1	23	1	10	20
1	美人碎片（阿碧）	1	59060	1	10	4
2	双倍丹	1	34	1	10	35
3	美人（阿碧）	1	56526	1	10	800
4	40级腰带	2	50134	1	10	27
5	60级腰带	2	50135	1	10	30
6	80级腰带	2	50136	1	10	33
7	100级腰带	2	50137	1	10	35
8	60级红缸	3	4001	1	10	20
9	80级红缸	3	4002	1	10	4
10	60级蓝缸	3	4006	1	10	35
11	80级蓝缸	3	4007	1	10	800
12	橙色钟灵	4	6003	1	10	27
13	橙色甘宝宝	4	6004	1	10	30
14	橙色马夫人	4	6005	1	10	33
15	橙色木婉清	4	6006	1	10	35
16	宝石炼化符	5	104	1	10	20
17	魔灵碎片转化符	5	105	1	10	4
