Id	Desc	GuildLevel	ItemDataId	WealthCost	ItemOutNum	MaxHoldNum	DescDict	InfoDict
INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Hash;								
#商品ID	描述	帮会等级	物品ID(对应CommonID表ID)	消耗财富值	产出数量	最大可拥有数量	生产时显示提示字典	描述
0	40级腰带	1	50134	7400	10	999	3957	4594
1	60级腰带	1	50135	9100	10	999	3958	4595
2	80级腰带	1	50136	11200	10	999	3959	4596
3	100级腰带	1	50137	14000	10	999	3960	4597
4	40级腰带	2	50134	7400	10	999	3957	4594
5	60级腰带	2	50135	9100	10	999	3958	4595
6	80级腰带	2	50136	11200	10	999	3959	4596
7	100级腰带	2	50137	14000	10	999	3960	4597
8	40级腰带	3	50134	7400	10	999	3957	4594
9	60级腰带	3	50135	9100	10	999	3958	4595
10	80级腰带	3	50136	11200	10	999	3959	4596
11	100级腰带	3	50137	14000	10	999	3960	4597
12	40级腰带	4	50134	7400	10	999	3957	4594
13	60级腰带	4	50135	9100	10	999	3958	4595
14	80级腰带	4	50136	11200	10	999	3959	4596
15	100级腰带	4	50137	14000	10	999	3960	4597
16	40级腰带	5	50134	7400	10	999	3957	4594
17	60级腰带	5	50135	9100	10	999	3958	4595
18	80级腰带	5	50136	11200	10	999	3959	4596
19	100级腰带	5	50137	14000	10	999	3960	4597
20	40级腰带	6	50134	7400	10	999	3957	4594
21	60级腰带	6	50135	9100	10	999	3958	4595
22	80级腰带	6	50136	11200	10	999	3959	4596
23	100级腰带	6	50137	14000	10	999	3960	4597
24	40级腰带	7	50134	7400	10	999	3957	4594
25	60级腰带	7	50135	9100	10	999	3958	4595
26	80级腰带	7	50136	11200	10	999	3959	4596
27	100级腰带	7	50137	14000	10	999	3960	4597
28	40级腰带	8	50134	7400	10	999	3957	4594
29	60级腰带	8	50135	9100	10	999	3958	4595
30	80级腰带	8	50136	11200	10	999	3959	4596
31	100级腰带	8	50137	14000	10	999	3960	4597
32	40级腰带	9	50134	7400	10	999	3957	4594
33	60级腰带	9	50135	9100	10	999	3958	4595
34	80级腰带	9	50136	11200	10	999	3959	4596
35	100级腰带	9	50137	14000	10	999	3960	4597
