ImpactID	Desc	Name	IsForever	MaxOverlayCount	MaxBuffCount	IsNeedNoticeClient	BuffIcon	BuffType	LogicID	DelayTime	EffectId	PlayTime	IsRemoveEffectFadeOut	FadeOutRule	MutexcollectionId	Mutexpriority	ParamValue_01	ParamValue_02	ParamValue_03	ParamValue_04	ParamValue_05	ParamValue_06	ParamValue_07	ParamValue_08	ParamValue_09	ParamValue_10	ParamValue_11	ParamValue_12	ParamValue_13	ParamValue_14	ParamValue_15	IsEffectToObj	StartMotionID	IsFellowTallent
INT	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999999;MAX_RECORD=30000;TableType=Hash;																																		
#程序不读 ID	描述	名称	是否是永久BUFF	最大叠加数（-1表示不叠加）	该BUFF同时存在的最大数（无限制填-1）	客户端是否关心有没有这个BUFF（需要在人物头像下面显示的增益BUFF 隐身BUFF 不能移动的减益BUFF 配成1）	BUFF图标（用于在人物头像下显示只显示非减益 IsNeedNoticeClient配成1才行 无则填-1）	Buff类型（0减益 1增益）	逻辑	延迟生效时间(单位毫秒)	Buff特效Id	特效播放的时间点（0 buff激活 1buff生效）	BUFF消失时是否移除对应的特效	BUFF消散规则（-1自然消散不做特殊检测 ）（1离开场景消散 2死亡消散 4发送者离开消散 (符合两种及以上 累加) 8登陆消散）	互斥集合ID	互斥优先级（从0开始 数值越大 优先级越高 同一优先级的互相顶替）	参数1数值	参数2数值	参数3数值	参数4数值	参数5数值	参数6数值	参数7数值	参数8数值	参数9数值	参数10数值	参数11数值	参数12数值	参数13数值	参数14数值	参数15数值	该类型对象是否生效	buff附带的起始动作	是否是伙伴被动天赋技能
109	骑乘冲锋加速	派发加速	0	-1	-1	1	jiasu	1	2	0	-1	1	1	-1	-1	-1	110	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1
110	骑乘冲锋加速	骑乘冲锋	0	-1	-1	1	-1	1	4	0	429	1	1	3	-1	-1	15	0	8000	-1	0	0	-1	0	0	3000	-1	0	0	-1	-1	127	-1	0
111	骑乘冲锋击飞和控制	骑乘冲锋派发	0	-1	-1	0	-1	1	39	0	-1	-1	0	3	-1	-1	3000	100	112	114	5	3	4	3	-1	1	110	-1	-1	-1	-1	127	-1	0
112	骑乘冲锋击飞效果	骑乘冲锋击飞子效果	0	-1	-1	1	-1	0	30	30	-1	-1	0	-1	-1	-1	100	5	500	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	0
113	骑乘冲锋控制	骑乘冲锋派发控制	0	-1	-1	0	-1	1	39	0	-1	-1	0	3	-1	-1	3000	100	114	4	4	3	4	3	-1	20	-1	-1	-1	-1	-1	127	-1	0
114	骑乘冲锋控制效果	骑乘冲锋控制子效果	0	-1	-1	1	-1	0	31	30	-1	-1	0	-1	-1	-1	3500	5	250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	0
115	骑乘冲锋伤害派发	骑乘冲锋派发	0	-1	-1	0	-1	1	39	0	-1	-1	0	3	-1	-1	3000	10	116	-1	5	3	4	3	-1	1	115	-1	-1	-1	-1	127	-1	0
116	骑乘冲锋伤害效果	骑乘冲锋伤害字效果	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	0	0	0	100	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
2211	变身过程无敌效果	变身无敌	0	-1	-1	0	-1	1	9	0	-1	-1	0	-1	-1	1	3000	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	0
5001	类型伤害	动物伙伴普攻	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	10000	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
5010	类型伤害	爪击1级	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	150	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
5011	类型伤害	爪击2级	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	170	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
5012	类型伤害	爪击3级	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	200	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
5013	类型伤害	爪击4级	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	240	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
5014	类型伤害	爪击5级	0	-1	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	300	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	127	-1	0
