Id	Desc	WayType	WayDescDictId	WayValue	WayIcon
INT	STRING	INT	INT	STRING	STRING
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;					
#唯一标示	描述，策划维护，此列程序不读	1：跳转界面 2：提示信息	功能描述字典	"WayType:1,填界面名字 WayType:2,填字符串提示名字"	获取途径图片
1	装备_聚贤庄副本	1	2427	ChatInfoRoot	2jiebianshen
2	装备_藏经阁副本	1	2428	ChatInfoRoot	2jiebianshen
3	装备_少室山副本	1	2429	ChatInfoRoot	2jiebianshen
4	装备_装备强化	1	2430	ChatInfoRoot	2jiebianshen
5	装备_装备打星	1	2431	ChatInfoRoot	2jiebianshen
6	美人_美人图鉴	1	2432	ChatInfoRoot	2jiebianshen
7	美人_美人阵法	1	2433	ChatInfoRoot	2jiebianshen
8	宝石_商城-宝石	1	2434	ChatInfoRoot	2jiebianshen
9	侠客_侠客	1	2435	ChatInfoRoot	2jiebianshen
10	技能_技能升级	1	2436	ChatInfoRoot	2jiebianshen
11	伙伴_伙伴获得	1	2437	ChatInfoRoot	2jiebianshen
12	伙伴_资质强化	1	2438	ChatInfoRoot	2jiebianshen
13	伙伴_伙伴升星	1	2439	ChatInfoRoot	2jiebianshen
14	伙伴_伙伴技能	1	2440	ChatInfoRoot	2jiebianshen
15	宝石_珍珑棋局副本	1	2668	ChatInfoRoot	2jiebianshen
16	美人_怒海锄奸	2	3086	3086	2jiebianshen
17	月度签到获取	1	10278	ChatInfoRoot	2jiebianshen
18	主线任务获取	1	10279	ChatInfoRoot	2jiebianshen
19	科技苑	1	1554	Restaurant	2jiebianshen
20	寄售行	1	2387	ConsignSaleRoot	2jiebianshen
21	野外场景	3	2428	17	2jiebianshen
22	伙伴_技能获得	2	2437	ChatInfoRoot	2jiebianshen
23	技能书获取	1	11296	PvpShop	shangcheng
24	技能书获取	2	11297	11297	jifentubiao
25	技能书获取	2	11298	11298	jifentubiao
