Id	Desc	CharModelID_ShaoLin	CharModelID_TianShan	CharModelID_DaLi	CharModelID_XiaoYao	CharModelID_GaiBang	WeaponModelID_ShaoLin	WeaponModelID_TianShan	WeaponModelID_DaLi	WeaponModelID_XiaoYao	WeaponModelID_GaiBang
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;											
#ID	描述	少林职业对应CharModel表ID	天山	大理	逍遥	丐帮	少林职业对应WeaponModel表ID	天山	大理	逍遥	丐帮
0	默认新手装	400	464	455	415	464	82	1	106	105	1
1	职业时装1	453	467	455	457	467	86	-1	-1	-1	-1
2	职业时装2	453	467	455	457	467	86	-1	-1	-1	-1
3	职业时装3	453	467	455	457	467	86	-1	-1	-1	-1
4	10级装备	453	468	455	457	468	83	5	6	88	59
5	套装10级	401	468	455	416	465	83	5	9	88	9
6	套装30级	403	466	455	418	467	85	13	14	90	61
7	套装40级	404	427	455	419	467	86	17	18	91	62
8	套装50级	433	432	455	434	467	93	21	22	99	63
9	套装20级	402	465	455	417	466	84	9	26	89	60
10	套装60级	406	467	455	421	467	94	33	34	100	64
11	套装70级	407	428	455	422	467	95	37	38	101	65
12	套装80级	408	429	455	423	467	96	41	42	102	66
13	橙装30级	453	467	455	457	467	84	-1	-1	-1	-1
14	橙装40级	453	467	455	457	467	84	-1	-1	-1	-1
15	橙装50级	453	467	455	457	467	84	-1	-1	-1	-1
16	橙装60级	453	467	455	457	467	84	-1	-1	-1	-1
17	武器9	-1	-1	-1	-1	-1	84	-1	-1	-1	-1
18	雁门关剧情装备	402	465	455	417	465	98	70	116	103	57
19	元宝时装1	300	467	298	425	428	84	-1	-1	-1	-1
20	元宝时装2	301	467	299	425	429	84	-1	-1	-1	-1
21	橙装70级	407	428	310	425	455	84	-1	-1	-1	-1
22	橙装80级	408	429	314	425	456	84	-1	-1	-1	-1
23	结婚礼服	324	467	326	327	430	84	-1	-1	-1	-1
24	套装90级	409	430	332	424	448	97	45	46	103	67
25	套装100级	410	431	336	425	449	98	53	50	104	69
26	橙装90级	410	467	340	425	457	84	-1	-1	-1	-1
27	橙装100级	410	431	344	425	458	84	-1	-1	-1	-1
28	熊猫时装	349	467	351	352	431	84	-1	-1	-1	-1
29	武器100级	-1	-1	-1	-1	-1	84	53	54	55	68
30	圣诞时装	368	467	370	371	434	84	-1	-1	-1	-1
31	春节时装	377	467	379	380	432	84	-1	-1	-1	-1
32	情人节时装	381	467	383	384	433	84	-1	-1	-1	-1
33	3阶变身	461	461	461	461	461	84	71	74	71	71
34	白色时装	1004	1000	1002	1006	-1	84	-1	-1	-1	-1
35	黑色时装	1005	1001	1003	1007	-1	84	-1	-1	-1	-1
