Id	Desc	Type	Condition	Money	BindYuanbao	ItemDataID_1	ItemIsBind_1	ItemCount_1	ItemDataID_2	ItemIsBind_2	ItemCount_2	ItemDataID_3	ItemIsBind_3	ItemCount_3	ItemDataID_4	ItemIsBind_4	ItemCount_4
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=49;MAX_RECORD=50;TableType=Index;																	
#ID(索引不可跳跃，限7行，如需扩展找程序确认)	策划维护 礼包类型，一种类型的礼包必须连续，中间不得穿插别的类型	奖励类型 0：等级礼包，1：战力礼包 一种类型的礼包必须连续，中间不得穿插别的类型	目标条件，等级礼包填所需等级，战力礼包填所需战力	奖励金钱(单位金)	绑定元宝	奖励物品ID	物品是否绑定	奖励物品数量									
0	等级礼包1	0	10	10000	-1	4014	1	20	-1	1	0	-1	1	0	-1	1	0
1	等级礼包2	0	20	20000	-1	4024	1	20	-1	1	0	-1	1	0	-1	1	0
2	等级礼包3	0	30	30000	-1	24	1	20	-1	1	0	-1	1	0	-1	1	0
3	等级礼包4	0	40	40000	-1	100001	1	5	114	1	1	-1	1	0	-1	1	0
4	等级礼包5	0	50	50000	-1	71001	1	5	4016	1	20	-1	1	0	-1	1	0
5	等级礼包6	0	60	100000	-1	8003	1	1	134	1	1	-1	1	0	-1	1	0
6	等级礼包7	0	70	150000	-1	115	1	2	71002	1	3	-1	1	0	-1	1	0
7	等级礼包8	0	80	200000	1000	128	1	10	-1	1	1	-1	1	0	-1	1	0
8	战力礼包1	1	3000	-1	100	23	1	20	-1	1	0	-1	1	0	-1	1	0
9	战力礼包2	1	5000	-1	200	24	1	20	-1	1	0	-1	1	0	-1	1	0
10	战力礼包3	1	11000	-1	300	125	1	10	-1	1	0	-1	1	0	-1	1	0
11	战力礼包4	1	21000	-1	400	134	1	3	135	1	20	-1	1	0	-1	1	0
12	战力礼包5	1	48000	-1	500	104	1	20	71001	1	20	-1	1	0	-1	1	0
13	战力礼包6	1	84000	-1	600	100001	1	10	114	1	1	-1	1	0	-1	1	0
14	战力礼包7	1	109000	-1	700	134	1	10	115	1	1	-1	1	0	-1	1	0
15	战力礼包8	1	150000	-1	800	125	1	20	116	1	1	-1	1	0	-1	1	0
16	战力礼包9	1	240000	-1	900	116	1	2	-1	1	0	-1	1	0	-1	1	0
17	战力礼包10	1	350000	-1	1000	117	1	2	-1	1	0	-1	1	0	-1	1	0
