Id	Desc	ExpNeed	FellowExpNeed
INT	STRING	INT	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;			
#ID	程序不读	人物升级所需要经验	伙伴升级需要经验
0	升级所需经验	50	16
1	升级所需经验	75	25
2	升级所需经验	125	41
3	升级所需经验	200	66
4	升级所需经验	300	100
5	升级所需经验	425	141
6	升级所需经验	575	191
7	升级所需经验	750	250
8	升级所需经验	950	316
9	升级所需经验	1175	391
10	升级所需经验	1425	475
11	升级所需经验	1700	566
12	升级所需经验	2000	666
13	升级所需经验	2325	775
14	升级所需经验	2675	891
15	升级所需经验	3050	1016
16	升级所需经验	3450	1150
17	升级所需经验	3875	1291
18	升级所需经验	4325	1441
19	升级所需经验	4800	1600
20	升级所需经验	10600	3533
21	升级所需经验	11650	3883
22	升级所需经验	12750	4250
23	升级所需经验	13900	4633
24	升级所需经验	15100	5033
25	升级所需经验	16350	5450
26	升级所需经验	17650	5883
27	升级所需经验	19000	6333
28	升级所需经验	20400	6800
29	升级所需经验	25400	8466
30	升级所需经验	31400	10466
31	升级所需经验	38400	12800
32	升级所需经验	46400	15466
33	升级所需经验	55400	18466
34	升级所需经验	65400	21800
35	升级所需经验	76400	25466
36	升级所需经验	88400	29466
37	升级所需经验	101400	33800
38	升级所需经验	200000	66666
39	升级所需经验	470030	156676
40	升级所需经验	517280	172426
41	升级所需经验	567470	189156
42	升级所需经验	620670	206890
43	升级所需经验	676990	225663
44	升级所需经验	722470	240823
45	升级所需经验	784630	261543
46	升级所需经验	850140	283380
47	升级所需经验	919110	306370
48	升级所需经验	991600	330533
49	升级所需经验	1050330	350110
50	升级所需经验	1129450	376483
51	升级所需经验	1212340	404113
52	升级所需经验	1299100	433033
53	升级所需经验	1389820	463273
54	升级所需经验	1463490	487830
55	升级所需经验	1959460	653153
56	升级所需经验	2068970	689656
57	升级所需经验	2182760	727586
58	升级所需经验	2300950	766983
59	升级所需经验	2423610	807870
60	升级所需经验	2897880	965960
61	升级所需经验	3308950	1102983
62	升级所需经验	3742650	1247550
63	升级所需经验	4199530	1399843
64	升级所需经验	4680100	1560033
65	升级所需经验	5584270	1861423
66	升级所需经验	6439590	2146530
67	升级所需经验	7339550	2446516
68	升级所需经验	8285140	2761713
69	升级所需经验	9277300	3092433
70	升级所需经验	10772410	3590803
71	升级所需经验	12236690	4078896
72	升级所需经验	13771300	4590433
73	升级所需经验	15377650	5125883
74	升级所需经验	17057150	5685716
75	升级所需经验	19326310	6442103
76	升级所需经验	21586330	7195443
77	升级所需经验	23946050	7982016
78	升级所需经验	26407350	8802450
79	升级所需经验	29423310	9807770
80	升级所需经验	33146080	11048693
81	升级所需经验	37025710	12341903
82	升级所需经验	41064970	13688323
83	升级所需经验	45266600	15088866
84	升级所需经验	50143680	16714560
85	升级所需经验	55735750	18578583
86	升级所需经验	61548230	20516076
87	升级所需经验	67584750	22528250
88	升级所需经验	73848970	24616323
89	升级所需经验	81490730	27163576
90	升级所需经验	90005570	30001856
91	升级所需经验	98838210	32946070
92	升级所需经验	107993650	35997883
93	升级所需经验	117476870	39158956
94	升级所需经验	128572000	42857333
95	升级所需经验	140713150	46904383
96	升级所需经验	153280670	51093556
97	升级所需经验	166280880	55426960
98	升级所需经验	179720120	59906706
99	升级所需经验	195733970	65244656
100	升级所需经验	211562180	70520726
101	升级所需经验	229253430	76417810
102	升级所需经验	247525390	82508463
103	升级所需经验	266386190	88795396
104	升级所需经验	288194880	96064960
105	升级所需经验	311879290	103959763
