Id	Desc	Name	Info	Icon	Type	OpenLevel	ProductGroup	StaticProductItemId	Money	Stamina	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4	SortID
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10000;TableType=Index;																			
#ID	程序不读	配方名	配方说明	图标	分类	开放等级	随机产出物分组(对应LivingSkillProduct表中ID检索 1为1~1000)	固定产出DataId	金钱消耗	体能消耗	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	排序(从1开始 1最先显示)
0	生活技能装戒指（40）	雷兽戒指	40级戒指	Jiezhi_1	0	20	1	-1	100	10	2000	1	2012	50	-1	-1	-1	-1	1
1	生活技能装戒指（60）	冬啸戒指	60级戒指	Jiezhi_2	0	40	3	-1	200	20	2001	1	2012	100	2013	100	-1	-1	2
2	生活技能装戒指（80）	德鲁伊戒指	80级戒指	Jiezhi_3	0	60	5	-1	300	30	2002	1	2013	150	2014	150	-1	-1	3
3	生活技能装戒指（100）	神迹戒指	100级戒指	Jiezhi_4	0	80	7	-1	400	40	2003	1	2014	200	2015	200	-1	-1	4
4	生活技能装耳环（40）	战车耳环	40级耳环	Erhuan_1	0	20	2	-1	100	10	2006	1	2021	50	-1	-1	-1	-1	5
5	生活技能装耳环（60）	潇雨耳环	60级耳环	Erhuan_2	0	40	4	-1	200	20	2007	1	2021	100	2022	100	-1	-1	6
6	生活技能装耳环（80）	海天使耳环	80级耳环	Erhuan_3	0	60	6	-1	300	30	2008	1	2022	150	2023	150	-1	-1	7
7	生活技能装耳环（100）	混沌耳环	100级耳环	Erhuan_4	0	80	8	-1	400	40	2009	1	2023	200	2024	200	-1	-1	8
8	胶囊药剂50级物理攻击	一级物理强化胶囊	提升物理攻击160	wugong	1	50	9	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	1
9	胶囊药剂70级物理攻击	二级物理强化胶囊	提升物理攻击646	wugong	1	70	10	-1	100	6	2040	1	2030	30	2031	30	-1	-1	2
10	胶囊药剂90级物理攻击	三级物理强化胶囊	提升物理攻击1082	wugong	1	90	11	-1	150	8	2041	1	2031	40	2032	40	-1	-1	3
11	胶囊药剂100级物理攻击	四级物理强化胶囊	提升物理攻击1788	wugong	1	100	12	-1	200	10	2042	1	2032	50	2033	50	-1	-1	4
12	胶囊药剂50级法术攻击	一级魔法强化胶囊	提升魔法攻击160	FaGong	1	50	13	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	5
13	胶囊药剂70级法术攻击	二级魔法强化胶囊	提升魔法攻击646	FaGong	1	70	14	-1	100	6	2040	1	2030	30	2031	30	-1	-1	6
14	胶囊药剂90级法术攻击	三级魔法强化胶囊	提升魔法攻击1082	FaGong	1	90	15	-1	150	8	2041	1	2031	40	2032	40	-1	-1	7
15	胶囊药剂100级法术攻击	四级魔法强化胶囊	提升魔法攻击1788	FaGong	1	100	16	-1	200	10	2042	1	2032	50	2033	50	-1	-1	8
16	胶囊药剂50级物理防御	一级磐石护甲胶囊	提升物理防御101	Wufang	1	50	17	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	9
17	胶囊药剂70级物理防御	二级磐石护甲胶囊	提升物理防御409	Wufang	1	70	18	-1	100	6	2040	1	2030	30	2031	30	-1	-1	10
18	胶囊药剂90级物理防御	三级磐石护甲胶囊	提升物理防御686	Wufang	1	90	19	-1	150	8	2041	1	2031	40	2032	40	-1	-1	11
19	胶囊药剂100级物理防御	四级磐石护甲胶囊	提升物理防御1134	Wufang	1	100	20	-1	200	10	2042	1	2032	50	2033	50	-1	-1	12
20	胶囊药剂50级法术防御	一级圣光护体胶囊	提升魔法防御101	Fafang	1	50	21	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	13
21	胶囊药剂70级法术防御	二级圣光护体胶囊	提升魔法防御409	Fafang	1	70	22	-1	100	6	2040	1	2030	30	2031	30	-1	-1	14
22	胶囊药剂90级法术防御	三级圣光护体胶囊	提升魔法防御686	Fafang	1	90	23	-1	150	8	2041	1	2031	40	2032	40	-1	-1	15
23	胶囊药剂100级法术防御	四级圣光护体胶囊	提升魔法防御1134	Fafang	1	100	24	-1	200	10	2042	1	2032	50	2033	50	-1	-1	16
24	胶囊药剂50级命中	一级聚焦胶囊	提升命中93	Mingzhong	1	50	25	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	17
25	胶囊药剂70级命中	二级聚焦胶囊	提升命中370	Mingzhong	1	70	26	-1	100	6	2040	1	2030	30	2031	30	-1	-1	18
26	胶囊药剂90级命中	三级聚焦胶囊	提升命中614	Mingzhong	1	90	27	-1	150	8	2041	1	2031	40	2032	40	-1	-1	19
27	胶囊药剂100级命中	四级聚焦胶囊	提升命中1011	Mingzhong	1	100	28	-1	200	10	2042	1	2032	50	2033	50	-1	-1	20
28	胶囊药剂50级闪避	一级加速胶囊	提升闪避49	Shanbi	1	50	29	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	21
29	胶囊药剂70级闪避	二级加速胶囊	提升闪避192	Shanbi	1	70	30	-1	100	6	2040	1	2030	30	2031	30	-1	-1	22
30	胶囊药剂90级闪避	三级加速胶囊	提升闪避317	Shanbi	1	90	31	-1	150	8	2041	1	2031	40	2032	40	-1	-1	23
31	胶囊药剂100级闪避	四级加速胶囊	提升闪避520	Shanbi	1	100	32	-1	200	10	2042	1	2032	50	2033	50	-1	-1	24
32	胶囊药剂50级暴击	一级弱点聚焦胶囊	提升暴击86	Baoji	1	50	33	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	25
33	胶囊药剂70级暴击	二级弱点聚焦胶囊	提升暴击333	Baoji	1	70	34	-1	100	6	2040	1	2030	30	2031	30	-1	-1	26
34	胶囊药剂90级暴击	三级弱点聚焦胶囊	提升暴击545	Baoji	1	90	35	-1	150	8	2041	1	2031	40	2032	40	-1	-1	27
35	胶囊药剂100级暴击	四级弱点聚焦胶囊	提升暴击892	Baoji	1	100	36	-1	200	10	2042	1	2032	50	2033	50	-1	-1	28
36	胶囊药剂50级血上限	一级生命辅助胶囊	提升生命上限2370	Shengmingshangxian	1	50	37	-1	50	4	2039	1	2030	20	-1	-1	-1	-1	29
37	胶囊药剂70级血上限	二级生命辅助胶囊	提升生命上限9810	Shengmingshangxian	1	70	38	-1	100	6	2040	1	2030	30	2031	30	-1	-1	30
38	胶囊药剂90级血上限	三级生命辅助胶囊	提升生命上限16680	Shengmingshangxian	1	90	39	-1	150	8	2041	1	2031	40	2032	40	-1	-1	31
39	胶囊药剂100级血上限	四级生命辅助胶囊	提升生命上限27720	Shengmingshangxian	1	100	40	-1	200	10	2042	1	2032	50	2033	50	-1	-1	32
40	65级神节	65级神节	65级神节	wenhao	2	65	-1	59296	600000	40	59252	60	-1	-1	-1	-1	-1	-1	1
41	职业神器少林武器(60)	神少林套·净土	少林65神器打造	shaolin6	3	65	-1	59254	600000	40	42606	1	59296	1	-1	-1	-1	-1	1
42	职业神器天山武器(60)	神天山套·灵鹫	天山65神器打造	tianshan6	3	65	-1	59259	600000	40	43606	1	59296	1	-1	-1	-1	-1	1
43	职业神器逍遥武器(60)	神逍遥套·心意	逍遥65神器打造	xiaoyao6	3	65	-1	59264	600000	40	44606	1	59296	1	-1	-1	-1	-1	1
44	职业神器大理武器(60)	神大理套·承影	大理65神器打造	dali6	3	65	-1	59269	600000	40	45606	1	59296	1	-1	-1	-1	-1	1
45	75级神节	75级神节	75级神节	wenhao	2	75	-1	59297	700000	40	59252	100	-1	-1	-1	-1	-1	-1	2
46	职业神器少林武器(70)	神少林套·迦叶	少林75神器打造	shaolin7	3	75	-1	59255	700000	40	42607	1	59297	1	59296	1	-1	-1	2
47	职业神器天山武器(70)	神天山套·无色	天山75神器打造	tianshan7	3	75	-1	59260	700000	40	43607	1	59297	1	59296	1	-1	-1	2
48	职业神器逍遥武器(70)	神逍遥套·独尊	逍遥75神器打造	xiaoyao7	3	75	-1	59265	700000	40	44607	1	59297	1	59296	1	-1	-1	2
49	职业神器大理武器(70)	神大理套·赤霄	大理75神器打造	dali7	3	75	-1	59270	700000	40	45607	1	59297	1	59296	1	-1	-1	2
50	职业神器少林武器(70)	神少林套·迦叶	少林75神器传承	shaolin7	3	75	-1	59255	700000	40	42607	1	59297	1	59254	1	-1	-1	2
51	职业神器天山武器(70)	神天山套·无色	天山75神器传承	tianshan7	3	75	-1	59260	700000	40	43607	1	59297	1	59259	1	-1	-1	2
52	职业神器逍遥武器(70)	神逍遥套·独尊	逍遥75神器传承	xiaoyao7	3	75	-1	59265	700000	40	44607	1	59297	1	59264	1	-1	-1	2
53	职业神器大理武器(70)	神大理套·赤霄	大理75神器传承	dali7	3	75	-1	59270	700000	40	45607	1	59297	1	59269	1	-1	-1	2
54	85级神节	85级神节	85级神节	wenhao	2	85	-1	59298	800000	40	59252	260	-1	-1	-1	-1	-1	-1	3
55	职业神器少林武器(80)	神少林套·精舍	少林85神器打造	shaolin8	3	85	-1	59256	800000	40	42608	1	59298	1	59297	1	-1	-1	3
56	职业神器天山武器(80)	神天山套·无相	天山85神器打造	tianshan8	3	85	-1	59261	800000	40	43608	1	59298	1	59297	1	-1	-1	3
57	职业神器逍遥武器(80)	神逍遥套·八荒	逍遥85神器打造	xiaoyao8	3	85	-1	59266	800000	40	44608	1	59298	1	59297	1	-1	-1	3
58	职业神器大理武器(80)	神大理套·龙渊	大理85神器打造	dali8	3	85	-1	59271	800000	40	45608	1	59298	1	59297	1	-1	-1	3
59	职业神器少林武器(80)	神少林套·精舍	少林85神器传承	shaolin8	3	85	-1	59256	800000	40	42608	1	59298	1	59255	1	-1	-1	3
60	职业神器天山武器(80)	神天山套·无相	天山85神器传承	tianshan8	3	85	-1	59261	800000	40	43608	1	59298	1	59260	1	-1	-1	3
61	职业神器逍遥武器(80)	神逍遥套·八荒	逍遥85神器传承	xiaoyao8	3	85	-1	59266	800000	40	44608	1	59298	1	59265	1	-1	-1	3
62	职业神器大理武器(80)	神大理套·龙渊	大理85神器传承	dali8	3	85	-1	59271	800000	40	45608	1	59298	1	59270	1	-1	-1	3
63	95级神节	95级神节	95级神节	wenhao	2	90	-1	59299	900000	40	59252	580	-1	-1	-1	-1	-1	-1	4
64	职业神器少林武器(90)	神少林套·大乘	少林95神器打造	shaolinwuqi9	3	95	-1	59257	900000	40	42609	1	59299	1	59298	1	-1	-1	4
65	职业神器天山武器(90)	神天山套·同生	天山95神器打造	tianshanwuqi9	3	95	-1	59262	900000	40	43609	1	59299	1	59298	1	-1	-1	4
66	职业神器逍遥武器(90)	神逍遥套·六合	逍遥95神器打造	xiaoyaowuqi9	3	95	-1	59267	900000	40	44609	1	59299	1	59298	1	-1	-1	4
67	职业神器大理武器(90)	神大理套·轩辕	大理95神器打造	daliwuqi9	3	95	-1	59272	900000	40	45609	1	59299	1	59298	1	-1	-1	4
68	职业神器少林武器(90)	神少林套·大乘	少林95神器传承	shaolinwuqi9	3	95	-1	59257	900000	40	42609	1	59299	1	59256	1	-1	-1	4
69	职业神器天山武器(90)	神天山套·同生	天山95神器传承	tianshanwuqi9	3	95	-1	59262	900000	40	43609	1	59299	1	59261	1	-1	-1	4
70	职业神器逍遥武器(90)	神逍遥套·六合	逍遥95神器传承	xiaoyaowuqi9	3	95	-1	59267	900000	40	44609	1	59299	1	59266	1	-1	-1	4
71	职业神器大理武器(90)	神大理套·轩辕	大理95神器传承	daliwuqi9	3	95	-1	59272	900000	40	45609	1	59299	1	59271	1	-1	-1	4
72	Vip神器少林武器(90)	神少林套·降龙	少林90VIP神器打造	shaolinwuqi10	3	90	-1	59274	900000	40	59017	1	59299	1	59298	1	-1	-1	5
73	Vip神器天山武器(90)	神天山套·降龙	天山90VIP神器打造	tianshanwuqi10	3	90	-1	59275	900000	40	59018	1	59299	1	59298	1	-1	-1	5
74	Vip神器逍遥武器(90)	神逍遥套·降龙	逍遥90VIP神器打造	xiaoyaowuqi10	3	90	-1	59276	900000	40	59019	1	59299	1	59298	1	-1	-1	5
75	Vip神器大理武器(90)	神大理套·降龙	大理90VIP神器打造	daliwuqi10	3	90	-1	59277	900000	40	59020	1	59299	1	59298	1	-1	-1	5
76	Vip神器少林武器(90)	神少林套·降龙	少林90VIP神器传承	shaolinwuqi10	3	90	-1	59274	900000	40	59017	1	59299	1	59256	1	-1	-1	5
77	Vip神器天山武器(90)	神天山套·降龙	天山90VIP神器传承	tianshanwuqi10	3	90	-1	59275	900000	40	59018	1	59299	1	59261	1	-1	-1	5
78	Vip神器逍遥武器(90)	神逍遥套·降龙	逍遥90VIP神器传承	xiaoyaowuqi10	3	90	-1	59276	900000	40	59019	1	59299	1	59266	1	-1	-1	5
79	Vip神器大理武器(90)	神大理套·降龙	大理90VIP神器传承	daliwuqi10	3	90	-1	59277	900000	40	59020	1	59299	1	59271	1	-1	-1	5
80	职业神器丐帮武器(60)	神丐帮套·青竹	丐帮65神器打造	wenhao	3	65	-1	68105	600000	40	66606	1	59296	1	-1	-1	-1	-1	1
81	职业神器丐帮武器(70)	神丐帮套·炽炎	丐帮75神器打造	wenhao	3	75	-1	68106	700000	40	66607	1	59297	1	59296	1	-1	-1	2
82	职业神器丐帮武器(70)	神丐帮套·炽炎	丐帮75神器传承	wenhao	3	75	-1	68106	700000	40	66607	1	59297	1	68105	1	-1	-1	2
83	职业神器丐帮武器(80)	神丐帮套·亢龙	丐帮85神器打造	wenhao	3	85	-1	68107	800000	40	66608	1	59298	1	59297	1	-1	-1	3
84	职业神器丐帮武器(80)	神丐帮套·亢龙	丐帮85神器传承	wenhao	3	85	-1	68107	800000	40	66608	1	59298	1	68106	1	-1	-1	3
85	职业神器丐帮武器(90)	神丐帮套·龙战	丐帮95神器打造	wenhao	3	95	-1	68108	900000	40	66609	1	59299	1	59298	1	-1	-1	4
86	职业神器丐帮武器(90)	神丐帮套·龙战	丐帮95神器传承	wenhao	3	95	-1	68108	900000	40	66609	1	59299	1	68107	1	-1	-1	4
87	Vip神器丐帮武器(90)	神丐帮套·降龙	丐帮90VIP神器打造	wenhao	3	90	-1	68110	900000	40	68001	1	59299	1	59298	1	-1	-1	5
88	Vip神器丐帮武器(90)	神丐帮套·降龙	丐帮90VIP神器传承	wenhao	3	90	-1	68110	900000	40	68001	1	59299	1	68108	1	-1	-1	5
89		职业橙套少林头部(80)1阶	少林精舍帽·1阶	maozi08	4	80	-1	12118	8000	40	42108	1	70036	3	70051	1	-1	-1	1
90		职业橙套少林头部(90)1阶	少林大乘帽·1阶	maozi08	4	90	-1	12119	9000	40	42109	1	70037	3	70052	1	-1	-1	1
91		职业橙套少林头部(100)1阶	少林佛语帽·1阶	maozi08	4	100	-1	12120	10000	40	42110	1	70038	3	70053	1	-1	-1	1
92		职业橙套少林头部(80)2阶	少林精舍帽·2阶	maozi08	4	80	-1	12128	8000	40	12118	1	70036	4	70051	1	-1	-1	1
93		职业橙套少林头部(90)2阶	少林大乘帽·2阶	maozi08	4	90	-1	12129	9000	40	12119	1	70037	4	70052	1	-1	-1	1
94		职业橙套少林头部(100)2阶	少林佛语帽·2阶	maozi08	4	100	-1	12130	10000	40	12120	1	70038	4	70053	1	-1	-1	1
95		职业橙套少林头部(80)3阶	少林精舍帽·3阶	maozi08	4	80	-1	12138	8000	40	12128	1	70036	5	70051	1	-1	-1	1
96		职业橙套少林头部(90)3阶	少林大乘帽·3阶	maozi08	4	90	-1	12139	9000	40	12129	1	70037	5	70052	1	-1	-1	1
97		职业橙套少林头部(100)3阶	少林佛语帽·3阶	maozi08	4	100	-1	12140	10000	40	12130	1	70038	5	70053	1	-1	-1	1
98		职业橙套少林头部(80)4阶	少林精舍帽·4阶	maozi08	4	80	-1	12148	8000	40	12138	1	70036	6	70051	1	-1	-1	1
99		职业橙套少林头部(90)4阶	少林大乘帽·4阶	maozi08	4	90	-1	12149	9000	40	12139	1	70037	6	70052	1	-1	-1	1
100		职业橙套少林头部(100)4阶	少林佛语帽·4阶	maozi08	4	100	-1	12150	10000	40	12140	1	70038	6	70053	1	-1	-1	1
101		职业橙套少林头部(80)5阶	少林精舍帽·5阶	maozi08	4	80	-1	12158	8000	40	12148	1	70036	7	70051	1	-1	-1	1
102		职业橙套少林头部(90)5阶	少林大乘帽·5阶	maozi08	4	90	-1	12159	9000	40	12149	1	70037	7	70052	1	-1	-1	1
103		职业橙套少林头部(100)5阶	少林佛语帽·5阶	maozi08	4	100	-1	12160	10000	40	12150	1	70038	7	70053	1	-1	-1	1
104		职业橙套少林头部(100)6阶	少林佛语帽·6阶	maozi08	4	100	-1	12170	10000	40	12160	1	70038	8	70053	1	-1	-1	1
105		职业橙套少林头部(100)7阶	少林佛语帽·7阶	maozi08	4	100	-1	12180	10000	40	12170	1	70038	9	70053	1	-1	-1	1
106		职业橙套少林头部(100)8阶	少林佛语帽·8阶	maozi08	4	100	-1	12190	10000	40	12180	1	70038	10	70053	1	-1	-1	1
107		职业橙套少林头部(100)9阶	少林佛语帽·9阶	maozi08	4	100	-1	12200	10000	40	12190	1	70038	12	70053	1	-1	-1	1
108		职业橙套少林头部(100)10阶	少林佛语帽·10阶	maozi08	4	100	-1	12210	10000	40	12200	1	70038	15	70053	1	-1	-1	1
109		职业橙套少林上衣(80)1阶	少林精舍衣·1阶	fojintao	4	80	-1	12218	8000	40	42208	1	70036	3	70051	1	-1	-1	1
110		职业橙套少林上衣(90)1阶	少林大乘衣·1阶	heshang90	4	90	-1	12219	9000	40	42209	1	70037	3	70052	1	-1	-1	1
111		职业橙套少林上衣(100)1阶	少林佛语衣·1阶	heshang100	4	100	-1	12220	10000	40	42210	1	70038	3	70053	1	-1	-1	1
112		VIP少林上衣(90)1阶	少林降龙衣·1阶	shangyi_shaolin_10	4	90	-1	12221	9000	40	59013	1	70037	3	70052	1	-1	-1	1
113		职业橙套少林上衣(80)2阶	少林精舍衣·2阶	fojintao	4	80	-1	12228	8000	40	12218	1	70036	4	70051	1	-1	-1	1
114		职业橙套少林上衣(90)2阶	少林大乘衣·2阶	heshang90	4	90	-1	12229	9000	40	12219	1	70037	4	70052	1	-1	-1	1
115		职业橙套少林上衣(100)2阶	少林佛语衣·2阶	heshang100	4	100	-1	12230	10000	40	12220	1	70038	4	70053	1	-1	-1	1
