SourceSceneID	Description	DestSceneID	TelePosX	TelePosZ
INT	STRING	INT	FLOAT	FLOAT
#预留				
#本行程序不读 通路图ID，作为场景ID使用	描述（程序不读）	目标场景ID	传送点X	传送点Z
5	暮色雨林传异次元之门	28	12	5
28	异次元之门传呼啸沙漠	23	3	25
23	呼啸沙漠传异次元之门	28	72	89
28	异次元之门传暮色雨林	5	46	25
33	勒克斯港传遗忘废墟	34	77	4
28	异次元之门传勒克斯港	33	24	3
33	勒克斯港传异次元之门	28	13	112
33	勒克斯港传黄昏湖畔	27	48	30
27	黄昏湖畔传勒克斯港	33	57	77.53
38	血色冰封传异次元之门	28	86	59
28	异次元之门传血色冰封	38	24	47
36	黄昏之湖传黄昏湖畔	27	83.13	19.31
27	黄昏湖畔传黄昏之湖	36	23.8	75
36	黄昏之湖传黄昏要塞	12	13.24	61.93
12	黄昏要塞传黄昏之湖	36	30.41	11.29
38	血色冰封传勒克斯港（临时）	33	5	39
33	勒克斯港传血色冰封（临时）	38	105	55
12	黄昏要塞往异次元门	28	81	20
34	遗忘废墟往勒克斯港	33	84	16
34	遗忘废墟往雷纳堡边境	39	17	50
39	雷纳堡边境到遗忘废墟	34	86	19
39	雷纳堡边境到雷纳堡	51	12	24
39	雷纳堡边境到亡灵冰塔	43	34	89
51	雷纳堡到雷纳堡边境	39	63	15
43	亡灵冰塔传雷纳堡边境	39	6	92
