Id	Desc	LimitID	BonusID	MissionType	LogicType	LogicID	ScriptID	NextMissionID	AcceptDataID	CompleteDataID	DalityMissionTabID	GuildMissionTabID
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;												
#任务ID	本列程序不读	任务限制ID	奖励ID（对应BonusTable.txt）	任务类型（0=日常；1=主线；2=支线；3=帮会任务;4=跑环任务）	任务逻辑方式（0=剧情；1=杀怪；2=送信；3=收集；4=探索；5=寻物；6=副本杀怪；7升级；8伙伴操作；9使用物品；10剧情副本；脚本填-1）	对应任务类型表ID	任务脚本ID(不用脚本为-1)	下一个任务ID	任务发布者DataID	任务提交者DataID	对应DalityMission.txt表ID(日常任务用)	对应GuildMission.txt表ID(帮会任务用)
0	{0}【主】{1}苏醒	0	0	1	0	1	-1	324	6	6	-1	-1
1	{0}【主】{1}机车	1	1	1	-1	-1	2000	137	1154	1154	-1	-1
2	{0}【主】{1}难题	2	2	1	0	2	-1	5	1152	1152	-1	-1
3	{0}【主】{1}饲料	3	13	1	5	6	-1	14	10	10	-1	-1
4	{0}【主】{1}能力全无	4	4	1	0	3	-1	7	8	8	-1	-1
5	{0}【主】{1}送食材	5	5	1	2	2	-1	316	1152	1153	-1	-1
6	{0}【主】{1}帮忙	6	6	1	3	2	-1	325	9	9	-1	-1
7	{0}【主】{1}邀请	7	7	1	2	3	-1	8	8	9	-1	-1
8	{0}【主】{1}心中疑惑	8	8	1	0	4	-1	6	9	9	-1	-1
9	{0}【主】{1}独臂难行	9	9	1	0	5	-1	10	9	9	-1	-1
10	{0}【主】{1}寻求帮助	10	10	1	2	4	-1	11	9	10	-1	-1
11	{0}【主】{1}介绍宠物	11	11	1	0	6	-1	12	10	10	-1	-1
12	{0}【主】{1}孤掌难鸣	12	12	1	0	7	-1	3	10	10	-1	-1
13	{0}【主】{1}杀一儆百	13	3	1	1	1	4000	4	8	8	-1	-1
14	{0}【主】{1}赠宠	14	14	1	-1	-1	2002	15	10	10	-1	-1
15	{0}【主】{1}求教	15	15	1	2	5	-1	16	10	7	-1	-1
16	{0}【主】{1}决心	16	16	1	0	9	-1	17	7	7	-1	-1
17	{0}【主】{1}摸底	17	17	1	1	2	-1	18	7	7	-1	-1
18	{0}【主】{1}底子尚可	18	18	1	0	10	-1	19	7	7	-1	-1
19	{0}【主】{1}拯救城镇	19	19	1	-1	-1	2003	397	7	7	-1	-1
20	{0}【主】{1}魔灵碎片	20	20	1	-1	-1	2004	311	1155	1155	-1	-1
21	{0}【主】{1}异次元门	21	21	1	2	6	2012	165	7	165	-1	-1
22	{0}【主】{1}一键升级	22	22	1	-1	-1	5011	9	9	9	-1	-1
23	{0}【主】{1}原因	23	23	1	0	13	-1	24	1155	1155	-1	-1
24	{0}【主】{1}探查变化	24	24	1	1	3	-1	313	1155	1155	-1	-1
25	{0}【主】{1}能力提升	25	25	1	0	14	-1	86	1155	1155	-1	-1
26	{0}【主】{1}挥之不去	26	26	1	4	3	-1	30	12	12	-1	-1
27	{0}【主】{1}孩童失踪	27	27	1	0	16	-1	28	1155	1155	-1	-1
28	{0}【主】{1}调查疑地	28	28	1	-1	-1	2009	20	1155	1155	-1	-1
29	{0}【主】{1}宠物技能升级	29	29	1	-1	-1	2005	217	210	210	-1	-1
30	{0}【主】{1}环境变化	30	30	1	0	19	-1	31	12	12	-1	-1
31	{0}【主】{1}虫卵	31	31	1	3	5	-1	32	12	12	-1	-1
32	{0}【主】{1}研制药剂	32	32	1	0	20	-1	33	12	12	-1	-1
33	{0}【主】{1}驱虫剂	33	33	1	-1	-1	2008	34	12	12	-1	-1
34	{0}【主】{1}消失地点	34	34	1	0	22	-1	35	12	12	-1	-1
35	{0}【主】{1}咨询	35	35	1	2	7	-1	36	12	14	-1	-1
36	{0}【主】{1}孩童去向	36	36	1	0	23	-1	44	14	14	-1	-1
37	{0}【主】{1}益智玩具	37	37	1	-1	-1	2006	38	14	14	-1	-1
38	{0}【主】{1}爱女玩具	38	38	1	0	25	-1	39	14	14	-1	-1
39	{0}【主】{1}女儿失踪	39	39	1	0	26	-1	41	14	14	-1	-1
40	{0}【主】{1}探查情况	40	40	1	4	2	-1	49	14	14	-1	-1
41	{0}【主】{1}事情紧急	41	41	1	2	9	-1	42	14	12	-1	-1
42	{0}【主】{1}我要变强	42	42	1	0	29	-1	309	12	12	-1	-1
43	{0}【主】{1}我要变强	43	43	1	-1	-1	2007	326	9	9	-1	-1
44	{0}【主】{1}测试能力	44	44	1	1	4	-1	123	14	14	-1	-1
45	{0}【主】{1}深入探查	45	45	1	-1	-1	2010	46	12	12	-1	-1
46	{0}【主】{1}女儿未知	46	46	1	0	32	-1	47	12	12	-1	-1
47	{0}【主】{1}突发异变	47	47	1	2	8	-1	1	12	1154	-1	-1
48	{0}【主】{1}保卫城镇	48	48	1	1	5	-1	50	14	13	-1	-1
49	{0}【主】{1}实话实说	49	49	1	0	34	-1	48	14	14	-1	-1
50	{0}【主】{1}故地重游	50	50	1	-1	-1	2011	51	13	13	-1	-1
51	{0}【主】{1}爆炸声	51	51	1	2	10	-1	52	13	31	-1	-1
52	{0}【主】{1}乖僻学者	52	52	1	0	8	-1	55	31	31	-1	-1
53	{0}【主】{1}坏消息	53	53	1	2	41	-1	54	32	31	-1	-1
54	{0}【主】{1}另一处	54	54	1	0	12	-1	61	31	31	-1	-1
55	{0}【主】{1}机械处理	55	55	1	1	6	-1	56	31	31	-1	-1
56	{0}【主】{1}奇怪部件	56	56	1	5	7	-1	57	31	31	-1	-1
57	{0}【主】{1}魔法部件	57	57	1	0	18	-1	58	31	31	-1	-1
58	{0}【主】{1}魔法学徒	58	58	1	2	11	-1	59	31	32	-1	-1
59	{0}【主】{1}冒失少女	59	59	1	0	21	-1	60	32	32	-1	-1
60	{0}【主】{1}部件原理	60	60	1	0	24	-1	62	32	32	-1	-1
61	{0}【主】{1}少女同行	61	61	1	2	42	-1	63	31	32	-1	-1
62	{0}【主】{1}深入探查	62	62	1	4	6	-1	53	32	32	-1	-1
63	{0}【主】{1}久违学者	63	63	1	0	35	-1	192	32	32	-1	-1
64	{0}【主】{1}血色冰封	64	64	1	2	39	-1	154	32	157	-1	-1
65	{0}【主】{1}居心何在	65	65	1	2	12	-1	66	158	33	-1	-1
66	{0}【主】{1}前因	66	66	1	0	37	-1	173	33	33	-1	-1
67	{0}【主】{1}警钟	67	67	1	2	13	-1	68	33	35	-1	-1
68	{0}【主】{1}代为报告	68	68	1	2	14	-1	166	35	36	-1	-1
69	{0}【主】{1}事务繁忙	69	69	1	2	15	-1	70	36	37	-1	-1
70	{0}【主】{1}另一身份	70	70	1	0	39	-1	78	37	37	-1	-1
71	{0}【主】{1}宠物克隆	71	71	1	-1	-1	5018	194	65	65	-1	-1
72	{0}【主】{1}另一委托	72	72	1	0	41	-1	73	36	36	-1	-1
73	{0}【主】{1}湖畔寻人	73	73	1	2	16	-1	75	36	38	-1	-1
74	{0}【主】{1}救人要紧	74	74	2	-1	-1	5019	98	212	212	-1	-1
75	{0}【主】{1}采集水样	75	75	1	3	3	-1	77	38	38	-1	-1
76	{0}【主】{1}竞技场	76	76	1	-1	-1	5007	182	166	166	-1	-1
77	{0}【主】{1}回报组织	77	77	1	0	158	-1	84	38	38	-1	-1
78	{0}【主】{1}主城介绍	78	78	1	4	7	-1	328	37	37	-1	-1
79	{0}【主】{1}设置引导	79	79	2	-1	-1	5021	-1	1155	1155	-1	-1
80	{0}【主】{1}仓库引导	80	80	2	-1	-1	-1	-1	37	1095	-1	-1
81	{0}【主】{1}翘学少女	81	81	1	0	94	5001	158	157	158	-1	-1
82	{0}【主】{1}众木成林	82	82	1	0	95	-1	-1	-1	-1	-1	-1
83	{0}【主】{1}表达感谢	83	83	1	2	20	-1	92	39	42	-1	-1
84	{0}【主】{1}可疑人影	84	84	1	2	21	-1	85	38	41	-1	-1
