Id	Desc	Money	BindYuanBao	Exp	FellowExp	ToolID1	ToolNum1	ToolID2	ToolNum2	ProfessionItemID1	ProfessionNum1	ProfessionItemID2	ProfessionNum2	ProfessionItemID3	ProfessionNum3	ProfessionItemID4	ProfessionNum4	ProfessionItemID5	ProfessionNum5	ChoosedItemNum	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;																										
#唯一标示	策划维护列	金钱	绑定元宝	经验	宠物经验	道具1ID	道具1数量	道具2ID	道具2数量	少林物品ID	少林物品数量	天山物品ID	天山物品数量	大理物品ID	大理物品数量	逍遥物品ID	逍遥物品数量	丐帮物品ID	丐帮物品数量	多选一物品数量	物品1 ID	物品1 数量	物品2 ID	物品2 数量	物品3 ID	物品3 数量
0	{0}【主】{1}苏醒	2000	0	75	0	4011	10	4021	10	18600	1	19600	1	21600	1	20600	1	67501	1	0	-1	0	-1	0	-1	0
1	{0}【主】{1}机车	4725	0	864	288	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
2	{0}【主】{1}难题	55	0	12	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
3	{0}【主】{1}杀一儆百	4500	0	950	0	-1	-1	-1	-1	18500	1	19500	1	21500	1	20500	1	-1	0	0	-1	0	-1	0	-1	0
4	{0}【主】{1}能力全无	137	0	28	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	67401	1	0	-1	0	-1	0	-1	0
5	{0}【主】{1}送食材	400	0	80	0	-1	-1	-1	-1	18200	1	19200	1	21200	1	20200	1	-1	0	0	-1	0	-1	0	-1	0
6	{0}【主】{1}帮忙	263	0	54	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
7	{0}【主】{1}邀请	1400	0	284	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
8	{0}【主】{1}心中疑惑	700	0	142	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
9	{0}【主】{1}独臂难行	480	0	100	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
10	{0}【主】{1}寻求帮助	480	0	100	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
11	{0}【主】{1}介绍宠物	240	0	50	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	67602	1	0	-1	0	-1	0	-1	0
12	{0}【主】{1}孤掌难鸣	240	0	50	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
13	{0}【主】{1}饲料	1364	0	273	0	-1	-1	-1	-1	18100	1	19100	1	21100	1	20100	1	-1	0	0	-1	0	-1	0	-1	0
14	{0}【主】{1}赠宠	4950	0	1058	353	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
15	{0}【主】{1}求教	550	0	118	39	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
16	{0}【主】{1}决心	6600	0	1425	475	4012	10	4022	10	30601	1	31601	1	33601	1	32601	1	-1	0	0	-1	0	-1	0	-1	0
17	{0}【主】{1}摸底	5200	0	567	189	-1	-1	-1	-1	30201	1	31201	1	33201	1	32201	1	-1	0	0	-1	0	-1	0	-1	0
18	{0}【主】{1}底子尚可	2600	0	284	95	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
19	{0}【主】{1}拯救城镇	6563	0	1454	485	-1	-1	-1	-1	30301	1	31301	1	33301	1	32301	1	-1	0	0	-1	0	-1	0	-1	0
20	{0}【主】{1}魔灵碎片	2661	0	359	120	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
21	{0}【主】{1}异次元门	960	0	129	43	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
22	{0}【主】{1}蚊中女王	2160	0	450	0	4011	10	4021	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
23	{0}【主】{1}原因	480	0	65	22	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
24	{0}【主】{1}探查变化	4800	0	642	214	-1	-1	-1	-1	30101	1	31101	1	33101	1	32101	1	-1	0	0	-1	0	-1	0	-1	0
25	{0}【主】{1}能力提升	296	0	40	13	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
26	{0}【主】{1}挥之不去	1350	0	183	61	-1	-1	-1	-1	30401	1	31401	1	33401	1	32401	1	-1	0	0	-1	0	-1	0	-1	0
27	{0}【主】{1}孩童失踪	296	0	40	13	-1	-1	-1	-1	30501	1	31501	1	33501	1	32501	1	-1	0	0	-1	0	-1	0	-1	0
28	{0}【主】{1}调查疑地	4435	0	597	199	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
29	{0}【主】{1}技能书	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
30	{0}【主】{1}环境变化	4050	0	548	183	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
31	{0}【主】{1}虫卵	4050	0	548	183	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
32	{0}【主】{1}研制药剂	450	0	61	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
33	{0}【主】{1}驱虫剂	4050	0	548	183	23	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
34	{0}【主】{1}消失地点	450	0	61	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	67702	1	0	-1	0	-1	0	-1	0
35	{0}【主】{1}咨询	900	0	122	41	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
36	{0}【主】{1}孩童去向	519	0	59	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
37	{0}【主】{1}益智玩具	4664	0	529	176	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	65202	1	0	-1	0	-1	0	-1	0
38	{0}【主】{1}爱女玩具	519	0	59	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
39	{0}【主】{1}女儿失踪	519	0	59	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
