Id	MissionType	MissionName	MissionDesc	MissionDoneDesc	FollowText	TargetNpcPosX	TargetNpcPosZ	TargetNpcSceneID	TargetNpcDataID	AccepteNpcPosX	AccepteNpcPosZ	AccepteNpcSceneID	AcceptNpcDataID	CompleteNpcPosX	CompleteNpcPosZ	CompleteNpcSceneID	CompleteNpcDataID	IsAcceptAutoFindPath	AcceptTalkID	MissionIcon	IsDifficult
INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	BOOL	INT	STRING	BOOL
#																					
#ID	"任务类型，只用于显示类型用(0:剧情,1:送信,2:杀怪,3:寻物,4:探索,5:其他"	任务名称$22$	任务接取描述$1$	任务完成描述$1$	任务过程跟踪0$22$	任务目标NPC位置X	任务目标NPC位置Z	任务目标NPC场景	任务目标NPCDATAID	接受任务NPC位置X	接受任务NPC位置Z	接受任务NPC场景	发布者DATAID	任务完成交任务NPC位置X	任务完成交任务NPC位置Z	任务交付NPC场景	完成者DATAID	接任务时否自动走向目标NPC	接任务时候播放的语音ID	任务显示的图标	是否是难的(是：1，否：0)
0	0	{0}【主】{1}苏醒	你醒了啊？你刚醒过来不要这么着急动，伤口会裂开的！	还有贤者之塔的修士们，最近贤者之塔的修士们都已经去守护各个城镇了，真是上天保佑。	和贝因对话：{0}{1}/1	64.47	9.28	5	6	64.47	9.28	5	6	64.47	9.28	5	6	1	0	Equip-hand	0
1	2	{0}【主】{1}机车	先别说话！你这个滑板是斯卡伊德那个穷鬼给你的吧！简直搓到爆！我这就送你一个更好的！	快递已经在路上了，明天就到！	和贝蕾格莉对话：{0}{1}/1	7.88	71.87	23	1154	7.88	71.87	23	1154	7.88	71.87	23	1154	1	0	Equip-hand	0
2	1	{0}【主】{1}永不言弃	来来来！快跟姐姐说说魔王的事情！	是这样啊~看来你恢复精神了呢，那就好~	和卡娜对话：{0}{1}/1	79.1	22.6	5	1152	79.1	22.6	5	1152	79.1	22.6	5	1152	1	0	Equip-hand	0
3	2	{0}【主】{1}饲料	狗崽们得吃些新鲜的食物，年轻人去帮我这个老太婆去弄些[0afb04]野猪肉[b4ffd1]回来可好？	哎呀，年轻人你可真是好心啊，还多弄了这么多食材回来。	获得野猪肉：{0}{1}/6	17.1	57.1	5	15	45.2	86	5	10	45.2	86	5	10	1	0	Equip-hand	0
4	0	{0}【主】{1}能力全无	咦……你看起来似乎很消沉呢。发生了什么事儿吗？	不要放弃的太早，一切都不是绝对的坏，肯定还有更好的事情等着你哦~	和杰西卡对话：{0}{1}/1	82.81	58.83	5	8	82.81	58.83	5	8	82.81	58.83	5	8	1	0	Equip-hand	0
5	2	{0}【主】{1}迷途旅者	说起来有一个和你一样被卷进魔王的招数中的旅行者在这里修养，你去认识认识怎么样？	嘿！本大爷就是传说中的冒险家弗里德！	和弗里德对话：{0}{1}/1	71.17	37.69	5	1153	71.17	37.69	5	1152	71.17	37.69	5	1153	1	0	Equip-hand	0
6	3	{0}【主】{1}帮忙	不过话说回来，能麻烦你帮我采集一些[0afb04]提神草[b4ffd1]吗？也算是报答一下这个村子里的人们的照顾哦~	嗯，这样就差不多了，村子里的人们也一定会感激你的~	采集提神草：{0}{1}/1	77.7	66.9	5	-1	77.52	84.11	5	9	77.52	84.11	5	9	1	0	Equip-hand	0
