Id	Desc	TargetSceneID1	TargetPosX1	TargetPosY1	TargetPosRadius1	PlayCutsceneID1	TargetSceneID2	TargetPosX2	TargetPosY2	TargetPosRadius2	PlayCutsceneID2	TargetSceneID3	TargetPosX3	TargetPosY3	TargetPosRadius3	PlayCutsceneID3
INT	STRING	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;																
#ID	策划维护	区域场景1	目标X坐标	目标Y坐标	目标半径	进入时播放的过场动画ID（暂时还没表，需要填的时候让告诉程序）										
0		-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	测试功能	5	85.58	16.13	3	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	【主】探查情况	23	17.75	14.46	5	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	【主】挥之不去	23	39.2	63.8	5	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	【主】奇妙空间	28	24.28	27.09	20	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	重重守护	38	47.7	4.8	5	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	深入探查	23	87.85	46.97	5	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	主城介绍	33	106.1	84.6	20	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	兽人祭司	34	33.7	28.17	5	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	探查异常	39	60.66	22.67	5	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	巨猿军队	39	29.17	18.2	5	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	机械反叛	51	28.9	44.45	5	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
