Index	Desc	MonsterName	MonsterDataID	MonsterCount
INT	STRING	STRING	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;				
#ID唯一标识	策划维护	怪物（废弃）	怪物ID	杀怪数
1	任务3	猿猴	16	4
2	任务17	顶角豹	17	6
3	任务24	蚊子	18	6
4	任务44	嗜血半兽人	19	10
5	任务48	嗜血土著	20	15
6	任务55	失控机器人	34	15
7	任务87	石锤兽	43	20
8	任务97	狗头人	44	25
9	任务109	鸟兽	57	25
10	任务115	酒翁土人	58	30
11	任务122	半兽人	59	30
12	任务126	黄昏食人魔	67	30
13	任务133	僵尸囚犯	68	25
14	任务136	残暴食人魔	69	30
15	任务143	双斧巨魔	70	35
16	任务149	改装型X02	71	1
17	任务150	机械蜘蛛	72	30
18	【主】雪地生物	猫又	156	20
19	【主】清理僵尸	僵尸囚犯	159	20
20	【主】蚊中女王	枯树蚊女王	153	1
21	魔界傀儡	魔王兵	167	20
22	碍事生物	雪地巨猿	173	20
23	消除隐患	备用机器人	174	17
24	沙狼泛滥	沙漠狼	207	40
25	清除毒蝎	毒蝎	209	45
26	入侵者	雷装顶角兽	214	45
27	阴魂不散	废墟卫士	216	1
28	融合种	机械长炮怪	218	50
29	融合生物	长臂怪	318	50
30	高级融合	牛头怪	320	50
31	于心不忍	机器人	324	50
32	防御程式	罗塔战车	326	50
33	顶角怪狮	顶角狮	1099	55
34	试探	封印巨人	1101	55
35	恶魔守卫	地狱猎犬	1106	55
36	一箭之仇	半兽人战士	1107	45
37	魔石巨人	陨石巨人	1142	1
38	转换失控	失控B02	1143	50
39	僵尸追兵	僵尸追兵	1148	20
40	【野外】敦煌除恶	盗贼	179	80
41	【野外】雪原除恶	女真猎手	180	80
42	【野外】雪原除恶	冰原狼	181	80
43	【野外】雪原除恶	雪豹	182	80
44	【野外】缥缈峰除恶	玄天部众	183	80
45	【野外】缥缈峰除恶	昊天部众	184	80
46	【野外】缥缈峰除恶	叛乱洞主	185	80
47	【主】磨练12	红熊	154	20
48	【主】降怪13	红熊王	155	1
49	【主】解困15	蕃邦探子	152	20
50	【主】威胁17	明王随从	153	20
51	【主】恶奴32	恶奴	158	30
52	【主】出手43	秦家寨弟子	156	30
53	【主】【30-40】1教训	青城弟子	157	30
54	【主】11	宵小	161	40
55	【主】12	漕运强盗	163	40
56	【主】16	木桩	220	1
57	【主】18	马贼	162	40
58	【主】22	丐帮叛徒	164	50
59	【主】25	西夏武士	165	50
60	【主】28	一品堂高手	166	50
61	【主】犯险42	刀客	169	50
62	【主】担忧43	剑客	168	60
63	【主】埋伏45	家丁	170	60
64	【主】寻乐52	少林铜人	171	60
65	【支】帮规	一袋弟子	1033	10
66	【支】制止	净衣弟子	1032	10
67	【支】野心	庄聚贤	1031	1
68	【支】奸细	丐帮奸细	1030	10
69	【野外】丐帮除恶		1030	80
70	【野外】丐帮除恶		1032	80
71	【野外】丐帮除恶		1033	80
72	【野外】琅嬛福地除恶		906	80
73	【野外】琅嬛福地除恶		907	80
74	【野外】琅嬛福地除恶		908	80
10001	任务3	魔王仆从	1079	4
75	【环】杀一儆百	猿猴	16	10
76	【环】杀一儆百	猿猴	16	20
77	【环】杀一儆百	猿猴	16	30
78	【环】杀一儆百	猿猴	16	40
79	【环】杀一儆百	猿猴	16	50
80	【环】保护庄稼	野猪	15	10
81	【环】保护庄稼	野猪	15	20
82	【环】保护庄稼	野猪	15	30
83	【环】保护庄稼	野猪	15	40
84	【环】保护庄稼	野猪	15	50
85	【环】证明自己	顶角豹	17	10
86	【环】证明自己	顶角豹	17	20
87	【环】证明自己	顶角豹	17	30
88	【环】证明自己	顶角豹	17	40
89	【环】证明自己	顶角豹	17	50
90	【环】消灭蚊子	蚊子	18	10
91	【环】消灭蚊子	蚊子	18	20
92	【环】消灭蚊子	蚊子	18	30
93	【环】消灭蚊子	蚊子	18	40
94	【环】消灭蚊子	蚊子	18	50
95	【环】危险土著	嗜血土著	20	10
96	【环】危险土著	嗜血土著	20	20
97	【环】危险土著	嗜血土著	20	30
98	【环】危险土著	嗜血土著	20	40
99	【环】危险土著	嗜血土著	20	50
100	【环】消灭兽人	黄昏半兽人	19	10
101	【环】消灭兽人	黄昏半兽人	19	20
102	【环】消灭兽人	黄昏半兽人	19	30
103	【环】消灭兽人	黄昏半兽人	19	40
104	【环】消灭兽人	黄昏半兽人	19	50
