Id	Desc	LowLevel	PreMission	ItemNeed	ItemCount	IsLoop	PreMission2
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;							
#ID	限制描述(策划填写作为维护的标志，程序不关心这一列)	等级（最小值）	前续任务（无前续填999）	需求道具	需求道具数	是否能重复完成	前续任务（无前续填-1）
0	【主】苏醒	1	-1	-1	-1	0	-1
1	【主】机车	1	47	-1	-1	0	-1
2	【主】难题	1	307	-1	-1	0	-1
3	【主】杀一儆百	1	12	-1	-1	0	-1
4	【主】能力全无	1	13	-1	-1	0	-1
5	【主】送食材	1	2	-1	-1	0	-1
6	【主】帮忙	1	8	-1	-1	0	-1
7	【主】邀请	1	4	-1	-1	0	-1
8	【主】心中疑惑	1	7	-1	-1	0	-1
9	【主】独臂难行	1	22	-1	-1	0	-1
10	【主】寻求帮助	1	9	-1	-1	0	-1
11	【主】介绍宠物	1	10	-1	-1	0	-1
12	【主】孤掌难鸣	1	11	-1	-1	0	-1
13	【主】饲料	1	317	-1	-1	0	-1
14	【主】增宠	1	3	-1	-1	0	-1
15	【主】求教	1	14	-1	-1	0	-1
16	【主】决心	1	15	-1	-1	0	-1
17	【主】摸底	1	16	-1	-1	0	-1
18	【主】底子尚可	1	17	-1	-1	0	-1
19	【主】实战	1	18	-1	-1	0	-1
20	【主】魔灵碎片	1	28	-1	-1	0	-1
21	【主】身体变化	1	397	-1	-1	0	-1
22	【主】蚊中女王	1	326	-1	-1	0	-1
23	【主】产生原因	1	165	-1	-1	0	-1
24	【主】探查变化	1	23	-1	-1	0	-1
25	【主】能力提升	1	311	-1	-1	0	-1
26	【主】挥之不去	1	308	-1	-1	0	-1
27	【主】孩童失踪	1	313	-1	-1	0	-1
28	【主】调查疑地	1	27	-1	-1	0	-1
29	【主】技能书	1	216	-1	-1	0	-1
30	【主】环境变化	1	26	-1	-1	0	-1
31	【主】虫卵	1	30	-1	-1	0	-1
32	【主】研制药剂	1	31	-1	-1	0	-1
33	【主】驱虫剂	1	32	-1	-1	0	-1
34	【主】消失地点	1	33	-1	-1	0	-1
35	【主】咨询	1	34	-1	-1	0	-1
36	【主】孩童去向	1	35	-1	-1	0	-1
37	【主】益智玩具	1	123	-1	-1	0	-1
38	【主】爱女玩具	1	37	-1	-1	0	-1
39	【主】女儿失踪	1	38	-1	-1	0	-1
40	【主】探查情况	1	137	-1	-1	0	-1
41	【主】事情紧急	1	39	-1	-1	0	-1
42	【主】我要变强	1	41	-1	-1	0	-1
43	【主】更加强大	1	325	-1	-1	0	-1
44	【主】验证能力	1	36	-1	-1	0	-1
45	【主】深入探查	1	309	-1	-1	0	-1
46	【主】女儿未知	1	45	-1	-1	0	-1
47	【主】突发异变	1	46	-1	-1	0	-1
48	【主】保卫城镇	1	49	-1	-1	0	-1
49	【主】实话实说	1	40	-1	-1	0	-1
50	【主】故地重游	1	48	-1	-1	0	-1
51	【主】爆炸声	1	50	-1	-1	0	-1
52	【主】乖僻学者	1	51	-1	-1	0	-1
53	【主】坏消息	1	62	-1	-1	0	-1
54	【主】另一处	1	53	-1	-1	0	-1
55	【主】机械处理	1	52	-1	-1	0	-1
56	【主】奇怪部件	1	55	-1	-1	0	-1
57	【主】魔法部件	1	56	-1	-1	0	-1
58	【主】魔法学徒	1	57	-1	-1	0	-1
59	【主】冒失少女	1	58	-1	-1	0	-1
60	【主】部件原理	1	59	-1	-1	0	-1
61	【主】少女同行	1	54	-1	-1	0	-1
62	【主】深入探查	1	60	-1	-1	0	-1
63	【主】久违学者	1	61	-1	-1	0	-1
64	【主】血色冰封	1	192	-1	-1	0	-1
65	【主】居心何在	1	175	-1	-1	0	-1
66	【主】前因	1	65	-1	-1	0	-1
67	【主】警钟	1	173	-1	-1	0	-1
68	【主】代为报告	1	67	-1	-1	0	-1
69	【主】事务繁忙	1	166	-1	-1	0	-1
70	【主】另一身份	1	69	-1	-1	0	-1
71	【主】宠物繁殖	1	167	-1	-1	0	-1
72	【主】另一委托	1	182	-1	-1	0	-1
73	【主】湖畔寻人	1	72	-1	-1	0	-1
74	【主】救人要紧	1	303	-1	-1	0	-1
75	【主】采集水样	1	73	-1	-1	0	-1
76	【主】微型机械	1	181	-1	-1	0	-1
77	【主】回报组织	1	75	-1	-1	0	-1
78	【主】主城介绍	1	70	-1	-1	0	-1
79	【主】寻求引荐	1	23	-1	-1	0	-1
80	【主】引荐信	1	78	-1	-1	0	-1
81	【主】持之以恒	1	155	-1	-1	0	-1
82	【主】众木成林	1	999	-1	-1	0	-1
83	【主】表达感谢	1	422	-1	-1	0	-1
84	【主】可疑人影	1	77	-1	-1	0	-1
85	【主】伙伴失散	1	84	-1	-1	0	-1
86	【主】冰冻墓地	1	25	-1	-1	0	-1
87	【主】清除障碍	1	85	-1	-1	0	-1
88	【主】求助贤者	1	87	-1	-1	0	-1
89	【主】湖畔概况	1	88	-1	-1	0	-1
90	【主】变装	1	999	-1	-1	0	-1
91	【主】探查营地	1	310	-1	-1	0	-1
92	【主】小队现状	1	83	-1	-1	0	-1
93	【主】报告情况	1	92	-1	-1	0	-1
94	【主】怀疑	1	93	-1	-1	0	-1
95	【主】魔力受限	1	164	-1	-1	0	-1
96	【主】求助女贼	1	95	-1	-1	0	-1
97	【主】清除守卫	1	96	-1	-1	0	-1
98	【主】调查遗迹	1	74	-1	-1	0	-1
99	【主】机械损坏	1	97	-1	-1	0	-1
100	【主】快去快回	1	99	-1	-1	0	-1
101	【主】不信任	1	100	-1	-1	0	-1
102	【主】避免起疑	1	101	-1	-1	0	-1
103	【主】前往湖泊	1	102	-1	-1	0	-1
104	【主】缺少工具	1	999	-1	-1	0	-1
105	【主】兽人交流	1	103	-1	-1	0	-1
106	【主】兽人求助	1	423	-1	-1	0	-1
107	【主】兽人异变	1	106	-1	-1	0	-1
