Id	Desc	ItemDataID	ItemCount	NpcDateID	ItemDropRate	IsDelMissionItem
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;						
#ID	策划维护	物品	物品数	掉落怪DataID（如果不是怪物掉落，这里空这就可以）	物品掉落概率（0--10000）	是否删除所有任务道具（1表示删除，0表示否）
1	任务19	41	5	38	5000	1
2	任务31	42	1	47	4000	1
3	日常-收集物资	56	5	158	5000	1
4	日常-收集物资	57	5	156	5000	1
5	遗忘废墟驱蚊草	43	1	153	10000	1
6	【主】13饲料	51	6	15	5000	1
7	【主】奇怪部件	54	1	34	1000	1
8	【主】搜集证据	41	20	314	3000	1
9	收集矿石	55	30	1103	3000	1
10	【主】纸条	4573	5	59	1500	1
11	【主】丹药	4014	20	-1	0	0
12	【环】储备饲料	51	10	15	5000	1
13	【环】储备饲料	51	20	15	5000	1
14	【环】储备饲料	51	30	15	5000	1
15	【环】储备饲料	51	40	15	5000	1
16	【环】储备饲料	51	50	15	5000	1
