Id	Desc	Money	BindYuanbao
INT	STRING	INT	INT
#MAX_ID=49;MAX_RECORD=50;TableType=Index;			
#ID(索引不可跳跃)	策划维护	奖励金钱(单位金)	消耗元宝
0	Vip8领取	100000	220
1	Vip9领取	100000	250
2	Vip10领取	100000	280
3	Vip10领取	100000	310
4	Vip11领取	100000	350
5	Vip11领取	100000	390
6	Vip12领取	100000	440
7	Vip12领取	100000	490
8	Vip13领取	100000	550
9	Vip13领取	100000	620
10	Vip13领取	100000	690
11	Vip13领取	100000	770
12	Vip14领取	100000	860
13	Vip14领取	100000	960
14	Vip14领取	100000	1080
15	Vip14领取	100000	1210
16	Vip15领取	100000	1360
17	Vip15领取	100000	1520
18	Vip15领取	100000	1700
19	Vip15领取	100000	1900
