Id	Desc	Dialog	OptionDialogId	OptionDialogType	MissionID1	MissionID2	MissionID3	MissionID4	MissionID5	MissionID6	MissionID7	MissionID8	MissionID9	MissionID10	MissionID11	MissionID12	MissionID13	MissionID14	MissionID15	MissionID16	MissionID17	MissionID18	MissionID19	MissionID20	MissionID21	MissionID22	MissionID23	MissionID24	MissionID25	MissionID26	MissionID27	MissionID28	MissionID29	MissionID30	MissionID31	MissionID32	MissionID33	MissionID34	MissionID35	MissionID36	MissionID37	MissionID38	MissionID39	MissionID40	MissionID41	MissionID42	MissionID43	MissionID44	MissionID45	MissionID46	MissionID47	MissionID48	MissionID49	MissionID50	TalkID
SHORT	STRING	STRING	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT
#																																																							
#唯一标示	策划维护	对话内容	选项对话索引	选项对话的类型（由程序提供）	任务1（对应MissionBase.txt中的ID）	任务2	任务3	任务4	任务5	任务6	任务7	任务8	任务9	任务10	任务11	任务12	任务13	任务14	任务15	任务16	任务17	任务18	任务19	任务20	任务21	任务22	任务23	任务24	任务25	任务26	任务27	任务28	任务29	任务30	任务31	任务32	任务33	任务34	任务35	任务36	任务37	任务38	任务39	任务40	任务41	任务42	任务43	任务44	任务45	任务46	任务47	任务48	任务49	任务50	语音编号
0	韦春花	等我长大了，我想嫁给白公子做婆姨。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	韦小宝	天气不错，听说佟掌柜又新进了上等的绸缎，我得去看看。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	路人甲	多盼望能有一位风度翩翩的英俊$R带我离开这里啊，可怎么看见的总是高屠户那胖胖的身影。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	路人乙	廖大师算卦可真灵验，我真的有喜了！你不去找他算一卦么？	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	酱油	好久没见冷捕头了，不知道是不是去横店拍四大名捕了。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	小男孩	太暴力了太暴力了，我要找个安全的地方躲起来！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	贝因	出门在外一定要小心，万一受伤了就来找我吧！	-1	-1	0	324	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	234
7	斯卡伊德	任何有关于机车的事情都可以来找我！	-1	-1	15	16	17	18	19	397	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	237
8	杰西卡	你说乔安娜大人会不会喜欢吃我做的食物呢~	-1	-1	317	13	4	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	236
9	莉莉丝	这地方一直在下雨，衣服都湿透了呢~哎呀！你在看哪里啊~	-1	-1	7	8	6	325	43	326	22	9	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	235
10	派特太太	我的孙女很可爱，但是我好久没看到她了，如果你看到她能不能帮我告诉她，我很想她	-1	-1	10	11	12	3	14	15	357	358	359	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	238
11	瑟克萨斯	训练训练再训练！一天都不能懈怠！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	239
12	莉莉丝	刚才还在那么潮湿的雨林，忽然就到了这样干旱的沙漠，人家身体吃不消可怎么办啊~	-1	-1	308	26	30	31	32	33	34	35	41	42	309	45	46	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	235
13	贝因	多亏了贤者和科学，我们才能这么快的赶到这里！	-1	-1	48	50	1	51	201	202	203	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	234
14	瑟克萨斯	这样的沙漠正好是修炼的好地方！	-1	-1	35	36	44	123	37	38	39	41	137	40	49	48	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	239
15	特斯基	去去去！没事别来打扰我！	-1	-1	51	52	55	56	57	58	53	54	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339
16	阿里奥奈尔	偷偷告诉你，我是从魔法研究院溜出来的，可不许告诉别人啊~	-1	-1	58	59	60	62	53	53	61	63	192	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	308
17	黑伊尔	哎……想不到出了这种事……	-1	-1	165	65	66	315	67	172	173	174	126	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	330
