Id	Desc	CenterText	Option1Text	Option2Text	Option1NextDialog	Option2NextDialog
SHORT	STRING	STRING	STRING	STRING	SHORT	SHORT
#						
#对话选项ID	策划维护	中央对白	选项1对话内容	选项2对话内容	点击选项1继续的对话选项ID	点击选项2继续的对话选项ID
1	苏州黑市商人	每天的12：00、16：00、20:00、00:00都会在苏州上架优惠商品，价格公道，童叟无欺，欲购从速哟~	黑市	算了，不看了	-1	-1
2	仓库NPC	可以将零散的物品放在仓库中，花费金币和元宝可以扩大仓库上限。	打开仓库	算了，不看了	-1	-1
3	洱海黑市商人	每天的14:00、18:00、22:00都会在洱海上架优惠商品，价格公道，童叟无欺，欲购从速哟~	黑市	算了，不看了	-1	-1
4	洱海奖励NPC	可在此处领取老玩家回馈奖励。	老玩家回馈	算了，不看了	-1	-1
5	江湖郎中	祖传医术，假一赔十！客官，生命可贵，来一发么？	全部恢复（生命，法力）	算了	-1	-1
6	合服改名道具	因为合服导致角色名字被更改的玩家，可来我这里修改角色名称一次。	角色改名	算了	-1	-1
7	戒指铭刻	戒指：鸳鸯戏水上没有铭刻对方名字可以和配偶组队到我这里补刻。	戒指铭刻	补领戒指	-1	-1
8	跑商领取	帮会的商路目前有两条，选择一条适合自己的吧#r[ffffff]请注意：雁门关外和雪原为不涨杀气场景#r[ffffff](商路中被玩家击杀会损失金币哦)[-]	洱海路线（危险系数低）	缥缈峰路线（危险系数高）	-1	-1
9	恶人-四大恶人接引	恶人已逃脱，英雄是否追击？	义不容辞，奋勇追击	穷寇莫追，还是算了	-1	-1
10	恶人精英-四大恶人接引	恶人精英看似凶狠异常，是否上前？	大侠无所畏惧，追击	还是少惹是非为妙	-1	-1
11	接引-年兽	年兽幻影遁走，英雄是否追击？	杀年兽，过大年！	穷寇莫追，还是算了	-1	-1
12	军需官	少侠，是否需要兑换些军备？	查看有哪些可兑换	算了，不看了	-1	-1
