Id	Desc	GroupNum	MinLevelLimit	MaxLevelLimit	MissionID
INT	STRING	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;					
#ID	本列程序不读	组数	最小等级限制	最大等级限制	任务ID（对应MissionBase.txt）
0	30-40级周跑环	3	30	39	329
1	30-40级周跑环	3	30	39	330
2	30-40级周跑环	3	30	39	331
3	30-40级周跑环	3	30	39	332
4	30-40级周跑环	3	30	39	333
5	30-40级周跑环	3	30	39	334
6	30-40级周跑环	3	30	39	335
7	30-40级周跑环	3	30	39	336
8	30-40级周跑环	3	30	39	337
9	30-40级周跑环	3	30	39	338
10	30-40级周跑环	3	30	39	339
11	30-40级周跑环	3	30	39	340
12	30-40级周跑环	3	30	39	341
13	30-40级周跑环	3	30	39	342
14	30-40级周跑环	3	30	39	343
15	30-40级周跑环	3	30	39	344
16	30-40级周跑环	3	30	39	345
17	30-40级周跑环	3	30	39	346
18	30-40级周跑环	3	30	39	347
19	30-40级周跑环	3	30	39	348
20	30-40级周跑环	3	30	39	349
21	30-40级周跑环	3	30	39	350
22	30-40级周跑环	3	30	39	351
23	30-40级周跑环	3	30	39	352
24	30-40级周跑环	3	30	39	353
25	30-40级周跑环	3	30	39	354
26	30-40级周跑环	3	30	39	355
27	30-40级周跑环	3	30	39	356
28	30-40级周跑环	3	30	39	357
29	30-40级周跑环	3	30	39	358
30	30-40级周跑环	3	30	39	359
31	30-40级周跑环	3	30	39	360
32	30-40级周跑环	3	30	39	361
33	30-40级周跑环	3	30	39	362
34	30-40级周跑环	3	30	39	363
35	30-40级周跑环	3	30	39	364
36	30-40级周跑环	3	30	39	365
37	30-40级周跑环	3	30	39	366
38	30-40级周跑环	3	30	39	367
39	30-40级周跑环	3	30	39	368
40	40-45级周跑环	3	30	39	369
41	40-45级周跑环	3	30	39	370
42	40-45级周跑环	3	30	39	371
43	40-45级周跑环	3	30	39	372
44	40-45级周跑环	3	30	39	-1
45	40-45级周跑环	3	30	39	-1
46	40-45级周跑环	3	30	39	-1
47	40-45级周跑环	3	30	39	-1
48	40-45级周跑环	3	30	39	-1
49	40-45级周跑环	3	30	39	378
50	40-45级周跑环	3	30	39	379
51	40-45级周跑环	3	30	39	380
52	40-45级周跑环	3	30	39	381
53	40-45级周跑环	3	30	39	382
54	40-45级周跑环	3	30	39	383
55	40-45级周跑环	3	30	39	384
56	40-45级周跑环	3	30	39	385
57	40-45级周跑环	3	30	39	386
58	40-45级周跑环	3	30	39	387
59	40-45级周跑环	3	30	39	388
60	40-45级周跑环	3	30	39	389
61	40-45级周跑环	3	30	39	390
62	40-45级周跑环	3	30	39	391
63	40-45级周跑环	3	30	39	392
64	40-45级周跑环	3	30	39	393
65	40-45级周跑环	3	30	39	-1
66	40-45级周跑环	3	30	39	-1
67	40-45级周跑环	3	30	39	-1
68	40-45级周跑环	3	40	44	-1
69	40-45级周跑环	3	40	44	-1
70	40-45级周跑环	3	40	44	-1
71	40-45级周跑环	3	40	44	-1
72	40-45级周跑环	3	40	44	-1
73	40-45级周跑环	3	40	44	-1
74	40-45级周跑环	3	40	44	-1
75	40-45级周跑环	3	40	44	-1
76	40-45级周跑环	3	40	44	-1
77	40-45级周跑环	3	40	44	-1
78	40-45级周跑环	3	40	44	-1
79	40-45级周跑环	3	40	44	-1
80	45-50级周跑环	3	45	49	-1
81	45-50级周跑环	3	45	49	-1
82	45-50级周跑环	3	45	49	-1
83	45-50级周跑环	3	45	49	-1
84	45-50级周跑环	3	45	49	-1
85	45-50级周跑环	3	45	49	-1
86	45-50级周跑环	3	45	49	-1
87	45-50级周跑环	3	45	49	-1
88	45-50级周跑环	3	45	49	-1
89	45-50级周跑环	3	45	49	-1
90	45-50级周跑环	3	45	49	-1
91	45-50级周跑环	3	45	49	-1
92	45-50级周跑环	3	45	49	-1
93	45-50级周跑环	3	45	49	-1
94	45-50级周跑环	3	45	49	-1
95	45-50级周跑环	3	45	49	-1
96	45-50级周跑环	3	45	49	-1
97	45-50级周跑环	3	45	49	-1
98	45-50级周跑环	3	45	49	-1
99	45-50级周跑环	3	45	49	-1
100	45-50级周跑环	3	45	49	-1
101	45-50级周跑环	3	45	49	-1
102	45-50级周跑环	3	45	49	-1
103	45-50级周跑环	3	45	49	-1
104	45-50级周跑环	3	45	49	-1
105	45-50级周跑环	3	45	49	-1
106	45-50级周跑环	3	45	49	-1
107	45-50级周跑环	3	45	49	-1
108	45-50级周跑环	3	45	49	-1
109	45-50级周跑环	3	45	49	-1
110	45-50级周跑环	3	45	49	-1
111	45-50级周跑环	3	45	49	-1
112	45-50级周跑环	3	45	49	-1
113	45-50级周跑环	3	45	49	-1
114	45-50级周跑环	3	45	49	-1
115	45-50级周跑环	3	45	49	-1
116	45-50级周跑环	3	45	49	-1
117	45-50级周跑环	3	45	49	-1
118	45-50级周跑环	3	45	49	-1
119	45-50级周跑环	3	45	49	-1
120	45-50级周跑环	3	45	49	-1
121	45-50级周跑环	3	45	49	-1
122	45-50级周跑环	3	45	49	-1
123	45-50级周跑环	3	45	49	-1
124	45-50级周跑环	3	45	49	-1
125	45-50级周跑环	3	45	49	-1
126	45-50级周跑环	3	45	49	-1
127	45-50级周跑环	3	45	49	-1
128	45-50级周跑环	3	45	49	-1
129	45-50级周跑环	3	45	49	-1
130	50-55级周跑环	4	50	54	-1
131	50-55级周跑环	4	50	54	-1
132	50-55级周跑环	4	50	54	-1
133	50-55级周跑环	4	50	54	-1
134	50-55级周跑环	4	50	54	-1
135	50-55级周跑环	4	50	54	-1
136	50-55级周跑环	4	50	54	-1
137	50-55级周跑环	4	50	54	-1
138	50-55级周跑环	4	50	54	-1
139	50-55级周跑环	4	50	54	-1
140	50-55级周跑环	4	50	54	-1
141	50-55级周跑环	4	50	54	-1
142	50-55级周跑环	4	50	54	-1
143	50-55级周跑环	4	50	54	-1
144	50-55级周跑环	4	50	54	-1
145	50-55级周跑环	4	50	54	-1
146	50-55级周跑环	4	50	54	-1
147	50-55级周跑环	4	50	54	-1
148	50-55级周跑环	4	50	54	-1
149	50-55级周跑环	4	50	54	-1
150	50-55级周跑环	4	50	54	-1
151	50-55级周跑环	4	50	54	-1
152	50-55级周跑环	4	50	54	-1
153	50-55级周跑环	4	50	54	-1
154	50-55级周跑环	4	50	54	-1
155	50-55级周跑环	4	50	54	-1
156	50-55级周跑环	4	50	54	-1
157	50-55级周跑环	4	50	54	-1
158	50-55级周跑环	4	50	54	-1
159	50-55级周跑环	4	50	54	-1
160	50-55级周跑环	4	50	54	-1
161	50-55级周跑环	4	50	54	-1
162	50-55级周跑环	4	50	54	-1
163	50-55级周跑环	4	50	54	-1
164	50-55级周跑环	4	50	54	-1
165	50-55级周跑环	4	50	54	-1
166	50-55级周跑环	4	50	54	-1
167	50-55级周跑环	4	50	54	-1
168	50-55级周跑环	4	50	54	-1
169	50-55级周跑环	4	50	54	-1
170	50-55级周跑环	4	50	54	-1
171	50-55级周跑环	4	50	54	-1
172	50-55级周跑环	4	50	54	-1
173	50-55级周跑环	4	50	54	-1
174	50-55级周跑环	4	50	54	-1
175	50-55级周跑环	4	50	54	-1
176	50-55级周跑环	4	50	54	-1
177	50-55级周跑环	4	50	54	-1
178	50-55级周跑环	4	50	54	-1
179	50-55级周跑环	4	50	54	-1
180	55-60级周跑环	4	55	59	-1
181	55-60级周跑环	4	55	59	-1
182	55-60级周跑环	4	55	59	-1
183	55-60级周跑环	4	55	59	-1
184	55-60级周跑环	4	55	59	-1
185	55-60级周跑环	4	55	59	-1
186	55-60级周跑环	4	55	59	-1
187	55-60级周跑环	4	55	59	-1
188	55-60级周跑环	4	55	59	-1
189	55-60级周跑环	4	55	59	-1
190	55-60级周跑环	4	55	59	-1
191	55-60级周跑环	4	55	59	-1
192	55-60级周跑环	4	55	59	-1
193	55-60级周跑环	4	55	59	-1
194	55-60级周跑环	4	55	59	-1
195	55-60级周跑环	4	55	59	-1
196	55-60级周跑环	4	55	59	-1
197	55-60级周跑环	4	55	59	-1
198	55-60级周跑环	4	55	59	-1
199	55-60级周跑环	4	55	59	-1
200	55-60级周跑环	4	55	59	-1
201	55-60级周跑环	4	55	59	-1
202	55-60级周跑环	4	55	59	-1
203	55-60级周跑环	4	55	59	-1
204	55-60级周跑环	4	55	59	-1
205	55-60级周跑环	4	55	59	-1
206	55-60级周跑环	4	55	59	-1
207	55-60级周跑环	4	55	59	-1
208	55-60级周跑环	4	55	59	-1
209	55-60级周跑环	4	55	59	-1
210	55-60级周跑环	4	55	59	-1
211	55-60级周跑环	4	55	59	-1
212	55-60级周跑环	4	55	59	-1
213	55-60级周跑环	4	55	59	-1
214	55-60级周跑环	4	55	59	-1
215	55-60级周跑环	4	55	59	-1
216	55-60级周跑环	4	55	59	-1
217	55-60级周跑环	4	55	59	-1
218	55-60级周跑环	4	55	59	-1
219	55-60级周跑环	4	55	59	-1
220	55-60级周跑环	4	55	59	-1
221	55-60级周跑环	4	55	59	-1
222	55-60级周跑环	4	55	59	-1
223	55-60级周跑环	4	55	59	-1
224	55-60级周跑环	4	55	59	-1
225	55-60级周跑环	4	55	59	-1
226	55-60级周跑环	4	55	59	-1
