Index	Desc	Profession	PosMin	PosMax	TitleId	Money	BindYuanBao
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;							
#索引	程序不读	职业	最小排名	最大排名	称号ID	金币	绑定元宝
1	少林第1名	0	1	1	8	5000	300
2	少林第2名	0	2	2	9	3000	200
3	少林第3名	0	3	3	10	1500	100
4	少林4至20	0	4	20	11	0	0
5	天山第1名	1	1	1	12	5000	300
6	天山第2名	1	2	2	13	3000	200
7	天山第3名	1	3	3	14	1500	100
8	天山4至20	1	4	20	15	0	0
9	大理第1名	2	1	1	16	5000	300
10	大理第2名	2	2	2	17	3000	200
11	大理第3名	2	3	3	18	1500	100
12	大理4至20	2	4	20	19	0	0
13	逍遥第1名	3	1	1	20	5000	300
14	逍遥第2名	3	2	2	21	3000	200
15	逍遥第3名	3	3	3	22	1500	100
16	逍遥4至20	3	4	20	23	0	0
17	丐帮第1名	4	1	1	140	5000	300
18	丐帮第2名	4	2	2	141	3000	200
19	丐帮第3名	4	3	3	142	1500	100
20	丐帮4至20	4	4	20	143	0	0
