Index	Desc	Block	ItemId	MoneyType	MoneyCount	ItemCount
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=10000;TableType=Index;						
#索引	策划维护	区域索引	物品id	积分	积分数量	物品可以购买数量
0	双剑士罗刹冲击	1	120002	1	800	1
1	狂战士舍命一击	1	140003	1	800	1
2	魔导师静默立场	1	160002	1	800	1
3	技能书材料	1	100001	1	100	3
4	磁心碎片	1	23	1	50	10
5	打星石	1	24	1	50	10
6	完整磁心	1	60	1	500	10
7	废墟之主	1	59218	1	30	10
8	双剑士百裂拳	2	120003	1	3000	1
9	狂战士天崩地裂	2	140004	1	3000	1
10	魔导师冰霜轰爆	2	160003	1	3000	1
11	技能书材料	2	100001	1	100	3
12	磁心碎片	2	23	1	50	10
13	打星石	2	24	1	50	10
14	完整磁心	2	60	1	500	10
15	废墟之主	2	59218	1	30	10
16	双剑士罗刹冲击	11	120002	1	800	1
17	双剑士百裂拳	11	140003	1	3000	1
18	技能书材料	11	100001	1	30	1
19	宠物火元素升级技能书	11	71009	1	50	3
20	一级合金	11	2012	1	50	10
21	一级魔晶	11	2021	1	50	10
22	一级维生素	11	2030	1	50	10
23	40级戒指打造图	11	2000	1	400	5
24	狂战士舍命一击	12	140003	1	800	1
25	狂战士天崩地裂	12	140004	1	3000	1
26	技能书材料	12	100001	1	60	2
27	宠物气元素升级技能书	12	71010	1	50	3
28	二级合金	12	2013	1	200	10
29	二级魔晶	12	2022	1	200	10
30	二级维生素	12	2031	1	200	10
31	40级耳环打造图	12	2006	1	400	5
32	魔导师静默立场	13	160002	1	800	1
33	魔导师冰霜轰爆	13	160003	1	3000	1
34	技能书材料	13	100001	1	90	3
35	宠物水元素升级技能书	13	71011	1	50	3
36	三级合金	13	2014	1	500	10
37	三级魔晶	13	2023	1	500	10
38	三级维生素	13	2032	1	500	10
39	60级戒指打造图	13	2001	1	600	5
40	致盲	14	4511	1	500	1
41	晕眩术	14	4504	1	500	1
42	磁心碎片	14	23	1	50	10
43	完整磁心	14	60	1	480	10
44	宠物水元素升级技能书	14	71011	1	50	3
45	技能书材料	14	100001	1	55	2
46	60级耳环打造图	14	2007	1	600	5
47	打星石	14	24	1	75	5
48	海啸之力	15	4518	1	500	1
49	针刺护甲	15	4525	1	500	1
50	磁心碎片	15	23	1	50	10
51	完整磁心	15	60	1	450	10
52	宠物地元素升级技能书	15	71012	1	50	3
53	技能书材料	15	100001	1	100	4
54	80级戒指打造图	15	2002	1	800	1
55	80级耳环打造图	15	2008	1	800	1
