Id	Desc	Name	Type	ProductStart	ProductEnd	Money	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4	StuffID5	StuffCount5	StuffID6	StuffCount6	FilterType
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=10000;TableType=Index;																			
#索引	策划维护	配方名	配方类型(1宝石升级 2洗宝石 3一般物品合成 4圣诞袜限时)	产出物ID起始	产出物ID结束(确定产出物范围 start和end都包括)	金钱消耗	材料1ID(类型为1 2时 此列表示宝石等级)	材料1数量(类型为1时 填需要宝石数量 2时填需要的宝石种类)	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	材料6ID	材料6数量	配方过滤标签类型(1宝石升级 2宝石炼化 3魔灵合成 4魔灵分解 5结婚戒指 6汗血宝马 7赤焰麒麟 8强化道具)
1	1级宝石升级	1级宝石升级	1	2	2	600	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
2	2级宝石升级	2级宝石升级	1	3	3	600	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
3	3级宝石升级	3级宝石升级	1	4	4	600	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
4	4级宝石升级	4级宝石升级	1	5	5	600	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
5	5级宝石升级	5级宝石升级	1	6	6	600	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
6	6级宝石升级	6级宝石升级	1	7	7	600	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
7	7级宝石升级	7级宝石升级	1	8	8	600	7	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
8	8级宝石升级	8级宝石升级	1	9	9	600	8	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
9	9级宝石升级	9级宝石升级	1	10	10	600	9	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
10	10级宝石升级	10级宝石升级	-1	-1	-1	600	10	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
11	11级宝石升级	11级宝石升级	-1	-1	-1	600	11	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
12	废墟卫士碎片	废墟卫士碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
