Index	Desc	RankType	PosMin	PosMax	StartTime	EndTime	TitleId	Money	BindYuanBao	Reputation	RewardDesc	RewardItemID1	RewardItemCount1	RewardItemID2	RewardItemCount2
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;															
#索引	程序不读	排行榜类型 1藏经阁副本/2帮战海选/3帮战海选 击杀人数/4华山-战绩/5华山-金腰带/6等级/7战斗力/8血量/9帮会战斗力/10华山-排行/11少林/12天山/13大理/14逍遥/15金币/16宗师/17消费/18攻击力/22在线时间	最小排名	最大排名	奖励开始时间(时间单位天，既开服第几天开始奖励)	奖励结束时间（时间单位天，及即开服第几天结束奖励）	称号ID	金币	绑定元宝	声望	奖励描述	奖励道具ID	奖励道具数量	奖励道具ID	奖励道具数量
1	少林大弟子	11	1	1	1	9999	-1	0	100	0	3257	-1	0	-1	0
2	少林二弟子	11	2	2	1	9999	-1	0	60	0	3258	-1	0	-1	0
3	少林三弟子	11	3	3	1	9999	-1	0	30	0	3259	-1	0	-1	0
4	少林弟子排行上榜	11	4	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
5	天山大弟子	12	1	1	1	9999	-1	0	100	0	3257	-1	0	-1	0
6	天山二弟子	12	2	2	1	9999	-1	0	60	0	3258	-1	0	-1	0
7	天山三弟子	12	3	3	1	9999	-1	0	30	0	3259	-1	0	-1	0
8	天山弟子排行上榜	12	4	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
9	大理大弟子	13	1	1	1	9999	-1	0	100	0	3257	-1	0	-1	0
10	大理二弟子	13	2	2	1	9999	-1	0	60	0	3258	-1	0	-1	0
11	大理三弟子	13	3	3	1	9999	-1	0	30	0	3259	-1	0	-1	0
12	大理弟子排行上榜	13	4	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
13	逍遥大弟子	14	1	1	1	9999	-1	0	100	0	3257	-1	0	-1	0
14	逍遥二弟子	14	2	2	1	9999	-1	0	60	0	3258	-1	0	-1	0
15	逍遥三弟子	14	3	3	1	9999	-1	0	30	0	3259	-1	0	-1	0
16	逍遥弟子排行上榜	14	4	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
17	战力榜1持续声望	7	1	1	1	9999	-1	0	0	0	3196	-1	0	-1	0
18	战力榜2持续声望	7	2	2	1	9999	-1	0	0	0	3196	-1	0	-1	0
19	战力榜3持续声望	7	3	3	1	9999	-1	0	0	0	3196	-1	0	-1	0
20	战力榜4持续声望	7	4	4	1	9999	-1	0	0	0	3196	-1	0	-1	0
21	战力榜5持续声望	7	5	5	1	9999	-1	0	0	0	3196	-1	0	-1	0
22	战力榜6持续声望	7	6	6	1	9999	-1	0	0	0	3196	-1	0	-1	0
23	战力榜7持续声望	7	7	7	1	9999	-1	0	0	0	3196	-1	0	-1	0
24	战力榜8持续声望	7	8	8	1	9999	-1	0	0	0	3196	-1	0	-1	0
25	战力榜9持续声望	7	9	9	1	9999	-1	0	0	0	3196	-1	0	-1	0
26	战力榜10持续声望	7	10	10	1	9999	-1	0	0	0	3196	-1	0	-1	0
27	战力榜11持续声望	7	11	11	1	9999	-1	0	0	0	3196	-1	0	-1	0
28	战力榜12持续声望	7	12	12	1	9999	-1	0	0	0	3196	-1	0	-1	0
29	战力榜13持续声望	7	13	13	1	9999	-1	0	0	0	3196	-1	0	-1	0
30	战力榜14持续声望	7	14	14	1	9999	-1	0	0	0	3196	-1	0	-1	0
31	战力榜15持续声望	7	15	15	1	9999	-1	0	0	0	3196	-1	0	-1	0
32	战力榜16持续声望	7	16	16	1	9999	-1	0	0	0	3196	-1	0	-1	0
33	战力榜17持续声望	7	17	17	1	9999	-1	0	0	0	3196	-1	0	-1	0
34	战力榜18持续声望	7	18	18	1	9999	-1	0	0	0	3196	-1	0	-1	0
35	战力榜19持续声望	7	19	19	1	9999	-1	0	0	0	3196	-1	0	-1	0
36	战力榜20持续声望	7	20	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
37	战力榜21至100持续声望	7	21	100	1	9999	-1	0	0	0	3196	-1	0	-1	0
38	战力榜第一7天元宝	7	1	1	1	7	-1	0	300	0	3253	-1	0	-1	0
39	战力榜第二7天元宝	7	2	2	1	7	-1	0	200	0	3254	-1	0	-1	0
40	战力榜第三7天元宝	7	3	3	1	7	-1	0	100	0	3255	-1	0	-1	0
41	战力榜上榜7天元宝	7	4	100	1	7	-1	0	30	0	3256	-1	0	-1	0
42	等级榜第一持续	6	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
43	等级榜第二持续	6	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
44	等级榜第三持续	6	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
45	等级榜前列持续	6	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
46	等级榜上榜持续	6	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
47	等级榜第一7天元宝	6	1	1	1	7	-1	0	300	0	3249	-1	0	-1	0
