Id	Desc	Name	CookDuration	OpenLevel	RewardItemID_1	RewardItemNum_1	RewardItemID_2	RewardItemNum_2	RewardItemID_3	RewardItemNum_3	Money	BindYuanBao	PlayerExp	RestaurantExp	CostYuanBao	Icon
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
#MAX_ID=512;MAX_RECORD=512;TableType=Index;																
#食物ID	程序不读	食品名称	烹饪时间（秒）	开放等级	奖励物品1	物品1数量	奖励物品2	物品2数量	奖励物品3	物品3数量	金币	绑定元宝	玩家经验	酒楼经验	完成上菜消耗的元宝数量	食品图标
0	经验晶体1	经验粗晶	1800	1	-1	0	-1	0	-1	0	0	0	792	6	5	playerexp
1	经验晶体1	经验粗晶	14400	1	-1	0	-1	0	-1	0	0	0	5068	48	5	playerexp
2	经验晶体1	经验粗晶	28800	1	-1	0	-1	0	-1	0	0	0	7603	96	5	playerexp
3	金币晶体1	黄水晶	1800	1	-1	0	-1	0	-1	0	72	0	0	6	5	jinbi
4	金币晶体1	黄水晶	14400	1	-1	0	-1	0	-1	0	460	0	0	48	5	jinbi
5	金币晶体1	黄水晶	28800	1	-1	0	-1	0	-1	0	691	0	0	96	5	jinbi
6	道具晶体1（合金）	樱草合金	1800	1	2012	10	-1	0	-1	0	0	0	0	6	5	Hejin
7	道具晶体1（合金）	樱草合金	14400	1	2012	60	-1	0	-1	0	0	0	0	48	5	Hejin
8	道具晶体1（合金）	樱草合金	28800	1	2012	90	-1	0	-1	0	0	0	0	96	5	Hejin
9	道具晶体1（魔晶）	黄锆石	1800	1	2021	10	-1	0	-1	0	0	0	0	6	5	Hechengjingti_1
10	道具晶体1（魔晶）	黄锆石	14400	1	2021	60	-1	0	-1	0	0	0	0	48	5	Hechengjingti_1
11	道具晶体1（魔晶）	黄锆石	28800	1	2021	90	-1	0	-1	0	0	0	0	96	5	Hechengjingti_1
12	道具晶体1（维生素）	维生素B2	600	1	2030	10	-1	0	-1	0	0	0	0	6	5	Weishengsu
13	道具晶体1（维生素）	维生素B2	4800	1	2030	60	-1	0	-1	0	0	0	0	48	5	Weishengsu
14	道具晶体1（维生素）	维生素B2	9600	1	2030	90	-1	0	-1	0	0	0	0	96	5	Weishengsu
15	经验晶体2	经验细晶	1800	2	-1	0	-1	0	-1	0	0	0	1512	6	5	playerexp
16	经验晶体2	经验细晶	14400	2	-1	0	-1	0	-1	0	0	0	9676	48	5	playerexp
17	经验晶体2	经验细晶	28800	2	-1	0	-1	0	-1	0	0	0	14515	96	5	playerexp
18	金币晶体2	红宝石	1800	2	-1	0	-1	0	-1	0	144	0	0	6	5	jinbi
19	金币晶体2	红宝石	14400	2	-1	0	-1	0	-1	0	921	0	0	48	5	jinbi
20	金币晶体2	红宝石	28800	2	-1	0	-1	0	-1	0	1382	0	0	96	5	jinbi
21	道具晶体1（合金）	铬金合金	1800	2	2012	20	-1	0	-1	0	0	0	0	6	5	Hejin
22	道具晶体1（合金）	铬金合金	14400	2	2012	100	-1	0	-1	0	0	0	0	48	5	Hejin
23	道具晶体1（合金）	铬金合金	28800	2	2012	150	-1	0	-1	0	0	0	0	96	5	Hejin
24	道具晶体2（合金）	玫瑰合金	1800	2	2013	10	-1	0	-1	0	0	0	0	6	5	Hejin
25	道具晶体2（合金）	玫瑰合金	14400	2	2013	20	-1	0	-1	0	0	0	0	48	5	Hejin
26	道具晶体2（合金）	玫瑰合金	28800	2	2013	30	-1	0	-1	0	0	0	0	96	5	Hejin
27	道具晶体1（魔晶）	电气石	1800	2	2021	20	-1	0	-1	0	0	0	0	6	5	Hechengjingti_1
28	道具晶体1（魔晶）	电气石	14400	2	2021	100	-1	0	-1	0	0	0	0	48	5	Hechengjingti_1
29	道具晶体1（魔晶）	电气石	28800	2	2021	150	-1	0	-1	0	0	0	0	96	5	Hechengjingti_1
30	道具晶体2（魔晶）	蔷薇辉石	1800	2	2022	10	-1	0	-1	0	0	0	0	6	5	Hechengjingti_2
31	道具晶体2（魔晶）	蔷薇辉石	14400	2	2022	20	-1	0	-1	0	0	0	0	48	5	Hechengjingti_2
32	道具晶体2（魔晶）	蔷薇辉石	28800	2	2022	30	-1	0	-1	0	0	0	0	96	5	Hechengjingti_2
33	道具晶体1（维生素）	维生素A	600	2	2030	20	-1	0	-1	0	0	0	0	6	5	Weishengsu
34	道具晶体1（维生素）	维生素A	4800	2	2030	100	-1	0	-1	0	0	0	0	48	5	Weishengsu
35	道具晶体1（维生素）	维生素A	9600	2	2030	150	-1	0	-1	0	0	0	0	96	5	Weishengsu
36	道具晶体2（维生素）	维生素B5	600	2	2031	10	-1	0	-1	0	0	0	0	6	5	Weishengsu
37	道具晶体2（维生素）	维生素B5	4800	2	2031	20	-1	0	-1	0	0	0	0	48	5	Weishengsu
38	道具晶体2（维生素）	维生素B5	9600	2	2031	30	-1	0	-1	0	0	0	0	96	5	Weishengsu
39	经验晶体3	经验水晶	1800	3	-1	0	-1	0	-1	0	0	0	2232	6	5	playerexp
40	经验晶体3	经验水晶	14400	3	-1	0	-1	0	-1	0	0	0	14284	48	5	playerexp
41	经验晶体3	经验水晶	28800	3	-1	0	-1	0	-1	0	0	0	21427	96	5	playerexp
42	金币晶体3	青金石	1800	3	-1	0	-1	0	-1	0	216	0	0	6	5	jinbi
