Id	Description	CharModelID	Name	Sex	NpcType	Level	AttackType	AttackDisType	SkillstrategyIndex	MaxHP	MaxMP	MaxXP	PDefense	PAttack	MDefense	MAttack	Hit	Dodge	Critical	DeCritical	Strike	Ductical	CritiAdd	CritiMis	AttackTime	MoveSpeed	Camp	PathRadius	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	DialogID	DialogRadius	DropItemId	Exp	IsAttackFly	BornEffctID	DieEffectID	RampType	EnhanceID	BelongType	IsImmuneJT	CombatNPC	MissionNpcFlag	HpCount	ShowBornEffect
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																																																
#角色ID	描述（程序不读）	CharModel表ID	名称	性别	类别（0普通 1精英 2 BOSS）	等级	攻击类型(0物攻 1法攻)	近战或远程（0近战 1远程）	技能选择策略	生命值	魔法值	战意	物理防御	物理攻击	法力防御	法力攻击	命中	闪避	暴击	暴抗	穿透	韧性	暴击伤害加成	暴击伤害减免	攻击频率（毫秒）	移动速度	阵营 （0玩家1友好2中立3敌对）	脱战范围	警戒范围	是否随机游荡	随机游荡范围	尸体时间（单位：毫秒）	复活时间（尸体消散后开始计时 单位：毫秒）	Npc对话ID	Npc对话半径	"掉落包表索引ID(NPC有属性自适应ID的话,走CopySceneDrop表掉落,配置成CopySceneDropID.没有的话配置成RecursionDropID)"	"怪物经验(NPC有属性自适应ID的话,走CopySceneRoleBaseAttrEnhance表掉落,且当前表格exp配置失效)"	是否死亡必击飞	出生特效ID	死亡特效ID	渐变效果类型（1出生渐变 2死亡渐变 3出生死亡都渐变）	属性自适应ID	"归属类型(NPC死亡后奖励的归属规则类型1:最后一击,2:组队或个人的打血量最多,3:组队或个人先打的血量达到%10)"	是否免疫击退	是否为战斗NPC（0-不是，1-是）	任务相关NPC标记（做仇恨计数用）	血条数量	出生特效显示时间，0为无出生特效（单位:毫秒）
0	测试用	0	主角：狂战士	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	0	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
1	测试用	1	主角：双剑士	1	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
2	测试用	2	主角：弓箭手	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	0	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
3	测试用	3	主角：魔导师	1	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	0	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
4	测试用	4	主角：丐帮	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	3	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
5	洱海—NPC	5	小七	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	5	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
6	暮色雨林—NPC	6	贝因	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	6	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
