Id	Desc	Name
STRING	STRING	STRING
#		
#唯一标示	策划描述，程序不读	名字
1		艾伦
		亚伯
		亚当
		亚恒
		安迪
		阿诺
		亚瑟
		艾文
		亚撒
		巴德
		巴罗
		巴伦
		巴里
		巴特
		巴顿
		科比
		班
		贝克
		班森
		韦德
		格纳
		伯尼
		伯特
		伯顿
		宾
		鲍伯
		布兹
		柏格
		波文
		布德
		巴克
		波顿
		拜伦
		凯里
		卡尔
		凯宾
		沙德
		凯希
		夏佐
		查德
		强尼
		科林
		寇里
		戴纳
		达伦
		迪夫
		大卫
		迪恩
		得文
		狄克
		唐
		杜鲁
		杜克
		邓肯
		唐恩
		狄伦
		额尔
		艾德
		伊登
		伊莱
		尤金
		尔文
		费奇
		福特
		加尔
		盖理
		盖文
		吉恩
		杰夫
		乔治
		葛兰
		戈登
		盖
		霍尔
		哈利
		哈帝
		哈伦
		哈里
		哈威
		海登
		享利
		海勒
		霍根
		修
		雨果
		汉特
		海曼
		伊恩
		艾勒
		艾凡
		杰克
		雅各
		杰森
		杰
		哈登
		杰理
		吉姆
		乔克
		约翰
		基斯
		凯利
		肯恩
		肯特
		科尔
		金姆
		金
		科克
		凯尔
		凯文
		蓝斯
		劳瑞
		列夫
		伦恩
		蓝侬
		利奥
		勒斯
		李维
		路
		路德
		赖尔
		林恩
		麦基
		马克
		马伦
		玛希
		马丁
		马文
		马特
		马休
		斯特
		莫林
		佩瑞
		密克
		麦克
		米路
		门罗
		莫尔
		摩顿
		摩西
		摩菲
		莫雷
		麦伦
		纳特
		奈登
		尼尔
		纽曼
		尼克
		诺亚
		诺尔
		诺曼
		诺顿
		奥玛
		奥特
		欧恩
		裴吉
		派克
		培迪
		保罗
		派恩
		斐瑞
		皮特
		彼得
		菲尔
		波特
		昆特
		昆西
		昆
		昆顿
		雷哲
		鲁宾
		理查
		罗宾
		洛克
		罗德
		罗恩
		罗里
		罗伊
		莱安
		山姆
		山迪
		肖恩
		锡德
		赛门
		史丹
		塔伯
		卓戈
		泰德
		堤姆
		托比
		陶德
		汤姆
