Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection	GroupID	MutexID	IsHideAndSeekNpc
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;									
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)	GroupID	MutexID	能否被选为公会捉迷藏NPC
0	贝因	5	6	64.47	9.28	-2.36	-1	-1	0
1	卡娜	5	1152	79.1	22.6	-1.57	-1	-1	0
2	杰西卡	5	8	82.81	58.83	0	-1	-1	0
3	弗里德	5	1153	71.17	37.69	-1.57	-1	-1	0
4	莉莉丝	5	9	77.52	84.11	-1.57	-1	-1	0
5	斯卡伊德	5	7	13.63	44.79	1.57	-1	-1	0
6	丛林野猪	5	15	14.44	64.66	-3.13	-1	-1	0
7	丛林野猪	5	15	12.58	66.77	-3.13	-1	-1	0
8	丛林野猪	5	15	11.01	66.62	-3.13	-1	-1	0
9	丛林野猪	5	15	11.09	65.34	-3.13	-1	-1	0
10	丛林野猪	5	15	12.72	65.32	-1.57	-1	-1	0
11	丛林野猪	5	15	12.35	62.37	-1.57	-1	-1	0
12	丛林野猪	5	15	11.56	68.09	-3.13	-1	-1	0
13	猿猴	5	16	73.7	67.6	-3.13	-1	-1	0
14	猿猴	5	16	73.5	70.4	1.57	-1	-1	0
15	猿猴	5	16	76.7	69.5	-3.13	-1	-1	0
16	猿猴	5	16	75.8	72.9	1.57	-1	-1	0
17	猿猴	5	16	72.2	70.9	-3.13	-1	-1	0
18	猿猴	5	16	82	73.1	-1.57	-1	-1	0
19	派特太太	5	10	45.2	86	-1.57	-1	-1	0
20	猿猴	5	16	84.3	72.6	-3.13	-1	-1	0
21	猿猴	5	16	80.7	71.9	1.57	-1	-1	0
22	猿猴	5	16	82.7	69.9	-3.13	-1	-1	0
23	猿猴	5	16	78	73.2	1.57	-1	-1	0
24	猿猴	5	16	86.9	72.5	-3.13	-1	-1	0
25	猿猴	5	16	84.4	69.9	-1.57	-1	-1	0
26	丛林野猪	5	15	11.13	69.19	-3.13	-1	-1	0
27	丛林野猪	5	15	16.1	60.5	-3.13	-1	-1	0
28	丛林野猪	5	15	15.9	62.4	-3.13	-1	-1	0
29	丛林野猪	5	15	18.5	61.6	-3.13	-1	-1	0
30	丛林野猪	5	15	16.57	66.9	-1.57	-1	-1	0
31	丛林野猪	5	15	17.88	65.75	-1.57	-1	-1	0
32	丛林野猪	5	15	17.03	65.57	-3.13	-1	-1	0
33	顶角豹	5	17	14.48	22.48	-3.13	-1	-1	0
34	顶角豹	5	17	13.13	24.08	1.57	-1	-1	0
35	顶角豹	5	17	13.73	28.42	-3.13	-1	-1	0
36	顶角豹	5	17	14.1	19.4	-1.57	-1	-1	0
37	顶角豹	5	17	15.39	25.08	-3.13	-1	-1	0
38	顶角豹	5	17	16	21.6	1.57	-1	-1	0
39	顶角豹	5	17	17.2	28	-3.13	-1	-1	0
40	顶角豹	5	17	16.74	29.8	1.57	-1	-1	0
41	顶角豹	5	17	17.92	24.01	-3.13	-1	-1	0
42	顶角豹	5	17	18.04	26.85	-1.57	-1	-1	0
43	顶角豹	5	17	20.42	28.4	-3.13	-1	-1	0
44	顶角豹	5	17	15.39	26.42	1.57	-1	-1	0
