Id	Desc	Day	Index	Name	Description	LinkUI	LogicId	LogicParam1	LogicParam2	LogicParam3	OpCount	Money	Yuanbao	ItemID_1	ItemCount_1	ItemIsBind_1	ItemID_2	ItemCount_2	ItemIsBind_2	ItemID_3	ItemCount_3	ItemIsBind_3	ItemID_4	ItemCount_4	ItemIsBind_4
INT	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;																									
#ID	策划维护	第几天	任务索引（第0个代表每日的计数奖励）	显示名称	描述	跳转UI	逻辑类型 对应SevenDayLogicType.txt	逻辑参数1	逻辑参数2	逻辑参数3	目标次数	奖励金币	奖励元宝	奖励物品1	奖励物品1数量	奖励物品1是否绑定	奖励物品2	奖励物品2数量	奖励物品2是否绑定	奖励物品3	奖励物品3数量	奖励物品3是否绑定	奖励物品4	奖励物品4数量	奖励物品4是否绑定
1		1	0	完成7个任务	完成第一天全部任务	RoleView	0	-1	-1	-1	7	-1	100	59054	30	1	-1	0	1	-1	0	1	-1	0	1
2		1	1	角色达到40级	提升角色等级到40级	ActivityController	1	-1	-1	-1	40	10000	-1	4015	20	1	-1	0	1	-1	0	1	-1	0	1
3		1	2	穿戴6件装备	身上穿戴6件装备	ActivityController	4	-1	-1	-1	6	20000	-1	23	5	1	-1	0	1	-1	0	1	-1	0	1
4		1	3	完成剧情副本2-4	完成剧情副本2-4	ActivityController	2	2	4	-1	1	20000	-1	8002	1	1	-1	0	1	-1	0	1	-1	0	1
5		1	4	三星通关剧情副本2-4	通关剧情副本2-4并满足3星要求	ActivityController	2	2	4	3	1	-1	100	4025	20	1	-1	0	1	-1	0	1	-1	0	1
6		1	5	参加5次竞技场	累积参加5次竞技场	ActivityController	5	-1	-1	-1	5	10000	-1	100001	3	1	-1	0	1	-1	0	1	-1	0	1
7		1	6	获得2个魔灵	累积获得2个魔灵	ActivityController	14	-1	-1	-1	2	20000	-1	125	5	1	-1	0	1	-1	0	1	-1	0	1
8		1	7	拥有4个达到25级的技能	4个技能全部达到25级以上	ActivityController	16	25	-1	-1	4	10000	-1	111	3	1	-1	0	1	-1	0	1	-1	0	1
9		2	0	完成7个任务	完成第二天全部任务	RoleView	0	-1	-1	-1	7	-1	200	130003	1	1	110003	1	1	150003	1	1	-1	0	1
10		2	1	升级到45级	提升角色等级到45级	ActivityController	1	-1	-1	-1	45	10000	-1	4015	20	1	-1	0	1	-1	0	1	-1	0	1
11		2	2	通关剧情副本3-4	完成剧情副本3-4挑战	ActivityController	2	3	4	-1	1	20000	-1	149	5	1	-1	0	1	-1	0	1	-1	0	1
12		2	3	魂器阵法	激活一个魂器阵法	ActivityController	15	-1	-1	-1	1	20000	-1	111	3	1	-1	0	1	-1	0	1	-1	0	1
