Id	Desc	MaxAttrNum	InitSkillExId	MaxSkillLev	AttrRandIndex	ShenQiEffctId	ShenQiRefixPer	CoinCostMoney	CoinCostItemId	CoinCostItemNum	CoinCostQualityIndex	YBCostMoney	YBCostItemId	YBCostItemNum	YBCostQualityIndex	ExpCostNum	ExpCostItemId	ExpCostItemNum	ExpCostQualityIndex	LockNeedItemId	LockNeedItemNum	AttrMaxValue1	AttrMaxValue2	AttrMaxValue3	AttrMaxValue4	AttrMaxValue5	AttrMaxValue6	AttrMaxValue7	AttrMaxValue8	AttrMaxValue9	AttrMaxValue10	AttrMaxValue11	AttrMaxValue12	AttrMaxValue13	AttrMaxValue14	AttrMaxValue15	AttrMaxValue16	AttrMaxValue17
INT	STRING	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=500;TableType=Hash;																																						
#本行程序不读 神器ID	描述（程序不读）	最大属性条数	制造出来时的初始技能ID 无则填-1	技能最大等级上限	属性类型权重和数值随机的索引	神器特效ID	神器属性的额外百分比修正	金币洗属性消耗的金币数	金币洗属性消耗的物品ID	金币洗属性消耗的物品数量	金币洗属性品质随机对应的索引	元宝洗属性消耗的元宝数	元宝洗属性消耗的物品ID	元宝洗属性消耗的物品数量	元宝洗属性品质随机对应的索引	经验洗属性消耗的经验	经验洗属性消耗的物品ID	经验洗属性消耗的物品数量	经验洗属性品质随机对应的索引	锁定属性条需要逍遥的物品ID	锁定属性条消耗的物品数量	血上限最大值	蓝上限最大值	战意上限最大值	物理攻击最大值	魔法攻击最大值	物理防御最大值	魔法防御最大值	命中最大值	闪避最大值	暴击最大值	暴抗最大值	穿透最大值	韧性最大值	暴击伤害加成最大值	暴击伤害减免最大值	移动速度最大值	攻击速度最大值
59254	职业神器少林武器(60)	3	10901	10	1	245	0	5000	-1	-1	2	5	-1	-1	9	300000	-1	-1	1	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59255	职业神器少林武器(70)	3	10901	10	2	246	0.0833	5000	-1	-1	5	5	-1	-1	18	300000	-1	-1	4	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59256	职业神器少林武器(80)	3	10901	10	3	247	0.1666	5000	-1	-1	8	5	-1	-1	27	300000	-1	-1	7	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59257	职业神器少林武器(90)	3	10901	10	4	248	0.25	5000	-1	-1	11	5	-1	-1	36	300000	-1	-1	10	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59259	职业神器天山武器(60)	3	20901	10	5	249	0	5000	-1	-1	2	5	-1	-1	9	300000	-1	-1	1	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59260	职业神器天山武器(70)	3	20901	10	6	250	0.0833	5000	-1	-1	5	5	-1	-1	18	300000	-1	-1	4	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59261	职业神器天山武器(80)	3	20901	10	7	251	0.1666	5000	-1	-1	8	5	-1	-1	27	300000	-1	-1	7	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59262	职业神器天山武器(90)	3	20901	10	8	252	0.25	5000	-1	-1	11	5	-1	-1	36	300000	-1	-1	10	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59264	职业神器逍遥武器(60)	3	40901	10	9	253	0	5000	-1	-1	2	5	-1	-1	9	300000	-1	-1	1	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59265	职业神器逍遥武器(70)	3	40901	10	10	254	0.0833	5000	-1	-1	5	5	-1	-1	18	300000	-1	-1	4	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59266	职业神器逍遥武器(80)	3	40901	10	11	255	0.1666	5000	-1	-1	8	5	-1	-1	27	300000	-1	-1	7	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59267	职业神器逍遥武器(90)	3	40901	10	12	256	0.25	5000	-1	-1	11	5	-1	-1	36	300000	-1	-1	10	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59269	职业神器大理武器(60)	3	30901	10	13	257	0	5000	-1	-1	2	5	-1	-1	9	300000	-1	-1	1	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
